serial_id,weakest,second,third
1,2.3806139477766987e-06,-1.2488707994561528e-05,9.329149943162773e-07
2,-0.021394706840796671,0.99757015289314999,-0.066302760837777822
3,-2.0324188268320651e-07,-8.6920523091429765e-06,-9.4615329186505672e-06
4,-3.1812382858672406e-06,6.1407751680618676e-06,1.7403658285424275e-05
5,3.0475753321405157e-06,-1.0359308456952885e-05,-1.6420299277952628e-05
6,-0.0032491511822059253,0.066248212467952608,0.99779788357383081
7,-3.1660443602413318e-06,5.535129662793514e-06,-2.0988698850935678e-06
8,3.0349820119713848e-06,-9.8573257626525954e-06,-2.5584094132948403e-07
9,-2.505160704545771e-07,3.6591986979787998e-06,4.2831067113451109e-06
10,0.99976582729669949,0.021563021050583449,0.0018238953372832895
11,-6.47019422245646e-06,2.4696819708747816e-06,7.1207232662767059e-06
12,4.389015099762115e-06,-9.3603172020182412e-07,-1.0499997383302576e-05
