serial_id,weakest,second,third
1,2.3806258335137392e-06,-1.2488906584478919e-05,9.3296273659532761e-07
2,-0.021392636763671216,0.99756990695123571,-0.066307129001052373
3,-2.0328790864568503e-07,-8.6922089302396345e-06,-9.4614259474143397e-06
4,-3.1809030265479796e-06,6.1409316230967167e-06,1.740345697870081e-05
5,3.0474742000611059e-06,-1.0359527324200692e-05,-1.6420140976503903e-05
6,-0.0032483094540035509,0.066252603558406828,0.99779759476080887
7,-3.1657131899667817e-06,5.5352292626262695e-06,-2.0988526124353686e-06
8,3.034884069088299e-06,-9.8574934683915838e-06,-2.5578705093606514e-07
9,-2.5044574506091336e-07,3.6592719284719935e-06,4.2830738257566638e-06
10,0.99976587432881503,0.021560907733774729,0.0018230980573514253
11,-6.4699548215526858e-06,2.4697749257087244e-06,7.1206811077550804e-06
12,4.3889447741459747e-06,-9.3609166849850925e-07,-1.0499939483188426e-05
