serial_id,weakest,second,third
1,2.3806258365816184e-06,-1.2488906595688896e-05,9.3296276313587184e-07
2,-0.02139263666265832,0.99756990695711889,-0.066307128945135824
3,-2.0328791294019107e-07,-8.6922089372017185e-06,-9.461425916145495e-06
4,-3.1809029996326916e-06,6.1409316338354123e-06,1.7403457037797327e-05
5,3.047474192996796e-06,-1.035952733773597e-05,-1.6420140936203448e-05
6,-0.0032483092857613577,0.066252603506290059,0.99779759476481678
7,-3.1657131641732758e-06,5.5352292641687572e-06,-2.098852651819151e-06
8,3.0348840632088756e-06,-9.8574934803426512e-06,-2.5578704753728245e-07
9,-2.5044573912491986e-07,3.6592719327151924e-06,4.2830737910513429e-06
10,0.9997658743315232,0.021560907621732756,0.0018230978973444701
11,-6.4699548052937258e-06,2.4697749338846671e-06,7.1206810872329518e-06
12,4.3889447705030063e-06,-9.3609167065266121e-07,-1.0499939453475759e-05
