serial_id,weakest,second,third
1,2.3806258367287633e-06,-1.2488906589819263e-05,9.3296276017193765e-07
2,-0.021392636667310866,0.99756990696161685,-0.066307128875957869
3,-2.0328791292663283e-07,-8.6922089347690856e-06,-9.4614259180091437e-06
4,-3.1809029989378709e-06,6.1409316345180539e-06,1.7403457039735524e-05
5,3.0474741927857853e-06,-1.0359527330894117e-05,-1.6420140939045396e-05
6,-0.0032483092830163499,0.066252603437147006,0.99779759476941687
7,-3.1657131634950273e-06,5.5352292654523077e-06,-2.0988526509561578e-06
8,3.0348840630129273e-06,-9.8574934740290201e-06,-2.5578705007847473e-07
9,-2.504457389702311e-07,3.659271929250626e-06,4.2830737920247727e-06
10,0.99976587433143194,0.021560907626066744,0.0018230978957916475
11,-6.4699548045793712e-06,2.4697749286462643e-06,7.120681088419274e-06
12,4.3889447702533238e-06,-9.3609166990474393e-07,-1.0499939453837081e-05
