serial_id,weakest,second,third
1,2.3806139477805167e-06,-1.2488707994574845e-05,9.3291499431806941e-07
2,-0.021394706840846017,0.99757015289314777,-0.066302760837795988
3,-2.0324188268290238e-07,-8.6920523091518839e-06,-9.4615329186591104e-06
4,-3.1812382858756385e-06,6.1407751680670666e-06,1.7403658285440223e-05
5,3.0475753321465068e-06,-1.0359308456964407e-05,-1.6420299277967539e-05
6,-0.0032491511822196036,0.066248212467970399,0.99779788357382959
7,-3.1660443602496132e-06,5.5351296627979863e-06,-2.0988698850958946e-06
8,3.0349820119772793e-06,-9.8573257626634611e-06,-2.5584094132893547e-07
9,-2.5051607045574431e-07,3.6591986979832518e-06,4.2831067113489225e-06
10,0.99976582729669849,0.02156302105063362,0.0018238953372932756
11,-6.4701942224690325e-06,2.4696819708781113e-06,7.1207232662830451e-06
12,4.3890150997696942e-06,-9.360317202025676e-07,-1.0499997383312395e-05
