serial_id,weakest,second,third
1,-2.3294969592531216e-14,0.073218232769742708,-0.044892611695961093
2,6.3197242500053953e-16,0.065758481094531335,0.032425186884265308
3,4.0537349047554861e-16,-0.00734959214299987,-0.011201690511929933
4,1,7.6070087701796749e-16,-1.3669353642529607e-15
5,-5.0351130942980791e-17,-0.0063814331700515143,-0.0098838084963921314
6,1.2455904868086925e-16,-0.010851233220466315,0.008761573139758486
7,1.020012014958131e-15,0.91320346346210335,0.35876250638217677
8,1.3098081794957236e-16,-0.16567079165692358,0.019317086207240253
9,1.0337875221970326e-16,0.064368195625919666,0.015570933675169438
10,-1.2085201457057557e-16,-0.34088519473090428,0.92607509398361954
11,-5.9327768888580247e-16,0.08701104997665958,-0.081146291013752703
12,-4.8127045394670113e-17,-0.028251438857599873,0.055743949835839517
