serial_id,weakest,second,third
1,-1.1761178363178393e-15,0.99979718316412236,0.01543946840626962
2,-2.7035897914349348e-18,-0.011400702314910038,0.062929838779359273
3,2.7122232702392279e-20,-0.0030925669426566777,-0.0085682954503381818
4,1,1.1758432533408111e-15,1.8525948999968329e-17
5,9.4957149121177115e-19,0.003029912359357474,-0.0054365309295586525
6,-9.4377606989988947e-19,0.00011947735233015124,-0.0099831898848180226
7,-3.2922041469117579e-19,-0.014269214691994925,0.92013130815900057
8,9.4428587422885285e-19,0.0036445687779325551,-0.16422182686326306
9,-1.1185351512323771e-18,-0.00051627732705064426,0.065294433797085882
10,-1.1780995236138567e-18,0.0041496399645636105,-0.33020168534484851
11,-3.7479978278020313e-19,0.0047122753372130068,0.08890344693271883
12,9.2128214782413272e-19,0.00052244358915530802,-0.028072244871168189
