fixture,original_status,original_iterations,accepted,candidate_equations,reference_updates,root_residual,reference_residual,coordinate_difference_max,weight_difference_max,floor_masks_equal
shape-success-final-32-33-62,0,15,True,19,14,1.9358552838444768e-14,7.900429273686076e-11,1.5429081717883734e-11,7.122602507791953e-11,True
shape-success-final-32-33-63,0,46,True,19,30,5.021012926873612e-14,7.357960686693522e-11,4.662386094813143e-11,2.1738966182738295e-10,True
shape-success-final-32-33-64,0,15,True,19,15,1.53070055808142e-14,6.340043200741247e-11,1.5604491479162646e-11,6.562422827371961e-11,True
shape-success-final-32-33-65,0,2,True,18,0,6.460236478741387e-15,8.588892145284115e-14,8.004263451023174e-16,0.0,True
shape-success-final-32-33-66,0,25,True,19,22,5.608485064623369e-15,8.889349026471625e-11,5.213000153248411e-11,2.0594781435789855e-10,True
shape-success-final-32-33-67,0,35,True,19,29,5.0530513063245465e-15,9.96356495588377e-11,1.5494053033071388e-10,6.891812676101949e-10,True
shape-success-final-32-33-68,0,43,True,19,40,9.436661109761072e-15,8.059362946607228e-11,8.109817009324728e-11,3.571439255445341e-10,True
shape-success-final-32-33-69,0,2,True,18,0,4.268225045788949e-15,1.0872438123394822e-14,6.314557021608046e-16,0.0,True
shape-success-final-32-33-7,0,23,True,20,21,2.3243000223512684e-14,8.179246702778774e-11,2.4400135851357762e-11,5.700672156550013e-10,True
shape-success-final-32-33-70,0,18,True,19,17,2.3886293943112294e-15,6.931903095168918e-11,2.5837228747924345e-11,8.035355714142156e-11,True
shape-success-final-32-33-71,0,21,True,19,19,1.576655606746431e-14,6.288421524178649e-11,1.3406413294425132e-11,6.729700130492233e-11,True
shape-success-final-32-33-72,0,25,True,19,22,2.6013561922622354e-15,6.269766083282474e-11,2.969608688994311e-11,9.436812442586984e-11,True
shape-success-final-32-33-73,0,32,True,20,31,2.4911607560814765e-15,9.412491666790122e-11,8.021927250597299e-11,2.775812912858555e-10,True
shape-success-final-32-33-74,0,24,True,19,17,1.110092148968207e-15,6.782407955498748e-11,4.258139331473355e-11,2.1192231303146514e-10,True
shape-success-final-32-33-75,0,58,True,19,58,1.2404357234713987e-14,9.30039578834745e-11,9.495877447332255e-11,4.088611671448916e-10,True
shape-success-final-32-33-76,0,58,True,21,55,4.173537015945295e-15,9.886130789795466e-11,2.1738133815424136e-10,8.585144817274681e-10,True
shape-success-final-32-33-77,0,29,True,19,21,2.1048655339335307e-14,8.81400985681673e-11,3.777114766645593e-11,1.8047152661182508e-10,True
shape-success-final-32-33-78,0,29,True,19,19,1.8088626901997335e-14,6.478079184191188e-11,9.631218205524423e-11,6.653623763064331e-10,True
shape-success-final-32-33-79,0,21,True,19,16,2.087732598262702e-16,7.943505636180407e-11,6.198681889298078e-11,3.732796849398312e-10,True
shape-success-final-32-33-8,0,20,True,19,17,4.3559783103078496e-15,9.631729568664566e-11,3.5542702912285836e-11,1.1785844522549382e-10,True
