case,qualified,residual_rmse,residual_max,projected_kkt,scaled_reference_difference,rank,minimum_singular,condition,active_constraints,A_n,A_bias,A_rmse,A_p99,A_max,A_below_0_01,C_n,C_bias,C_rmse,C_p99,C_max,C_below_0_01
true-b-double,True,2.974649284953124e-15,5.950795411990839e-14,1.4710455076283324e-15,2.5263741715914435e-14,336,0.2756810065948073,8.259937252544393,0,168,1.030921380009074e-14,3.410907455769217e-14,1.3145040611561853e-13,1.3677947663381929e-13,168,168,-2.1467073951469946e-16,2.743873778191521e-15,9.769962616701378e-15,1.099120794378905e-14,168
true-b-float32,True,1.5216388039735388e-08,2.3786473057896274e-07,1.582067810090848e-15,2.5658487510355294e-14,336,0.2756810065948073,8.259937252544393,0,168,6.397987853798018e-10,2.192793895842695e-08,5.958398396899156e-08,6.813862540866467e-08,168,168,4.916270616861667e-12,1.0115743582562878e-09,2.4297467371425796e-09,4.34055624776164e-09,168
checkpoint-b-double,True,0.00040415318743707376,0.011317699669342485,1.4155343563970746e-15,1.8557172455361368e-14,336,0.2756913503900239,8.25993565975904,0,168,0.002393327863825205,0.009166842458730107,0.029736594264607064,0.0434877652471517,129,168,-7.359668529390609e-05,0.00032297938126135754,0.0011221955397788808,0.0011335329634726,168
checkpoint-b-float32,True,0.000404153158115881,0.01131759941057986,1.3322676295501878e-15,2.0235214650018288e-14,336,0.2756913503900239,8.25993565975904,0,168,0.0023933285040608895,0.009166842617700685,0.02973657698398746,0.04348773077713908,129,168,-7.359668038666257e-05,0.0003229793570292394,0.0011221973787229889,0.001133532839170781,168
