serial_id,weakest,second,third
1,4.2386426598727881e-11,-4.4339923276461584e-10,3.7244212818598084e-11
2,-0.0064274527817733589,0.99706057647030033,-0.076347198373284783
3,-5.3684300211360067e-12,-3.0972768132534675e-10,-3.1526465472018688e-10
4,-5.8360162674234849e-11,2.2341064993897889e-10,5.8464083560171977e-10
5,5.5132733470453385e-11,-3.7243033316773747e-10,-5.4947215949792409e-10
6,-0.0012838393784454262,0.076340484630951513,0.99708098074467455
7,-5.8297852795616637e-11,1.9748793829975929e-10,-7.3313911034023392e-11
8,5.5081088438724002e-11,-3.5094458652411511e-10,-4.133463926188383e-12
9,-4.0271684198258512e-12,1.3067444811821231e-10,1.4285737619305483e-10
10,0.99997851957289008,0.0065067084630462705,0.00078939077046493453
11,-1.2060481632016712e-10,9.3212054421647915e-11,2.3941624013149229e-10
12,8.1905821912414508e-11,-3.8361363366979372e-11,-3.5411243312019801e-10
