serial_id,weakest,second,third
1,-1.7756259816237772e-10,3.5260963502175083e-10,1.3768257548722714e-11
2,0.99998966882123064,0.0017623968558477293,-0.0041900129030413829
3,-1.1808714773587951e-10,-6.2949735878889594e-11,-1.1950216291009695e-09
4,8.0747471725432253e-11,-5.1346808905250696e-10,2.1193944709672607e-09
5,-1.4045880595542442e-10,4.7575561200651931e-10,-2.0355220767618937e-09
6,0.004197942712626232,-0.0045200736447220998,0.99998097292459887
7,8.0683491091199666e-11,-5.0852050698528682e-10,-2.075661047500124e-10
8,-1.4040598919042276e-10,4.7165486639317138e-10,-1.0684733523307584e-10
9,4.9781972903655317e-11,-2.9712375603270105e-11,5.3867615092206894e-10
10,-0.0017434241556957841,0.99998823137653425,0.0045274253880709884
11,3.5505944235868148e-11,-1.0736668711005284e-09,8.6490346403689108e-10
12,-1.1220479559144595e-11,7.3230359182969716e-10,-1.2559905723933937e-09
