serial_id,weakest,second,third
1,-1.855889831100011e-10,4.5213320279570601e-12,8.4333457525332177e-11
2,0.99926034565092392,-0.037591622294683047,0.0081013296964914348
3,-1.2518243491089863e-10,-1.8732324842379443e-10,-2.7181292021242576e-11
4,8.8036753866007715e-11,3.4525056163854526e-10,-1.0465862667771607e-10
5,-1.5022416901360303e-10,-3.2893646345768786e-10,9.5784526796720429e-11
6,0.037140004711402184,0.99805322812840902,0.050103631330471937
7,8.4219506424255657e-11,-3.0021146493790332e-11,-1.2475721850120435e-10
8,-1.4706028570504728e-10,-1.7896632862613035e-11,1.1244302507552418e-10
9,5.2863748506348832e-11,8.5321470185465814e-11,-1.883764455143152e-12
10,-0.009969035040282969,-0.049765688538557465,0.99871116674674698
11,3.9121791437343944e-11,1.5194311387969586e-10,-2.5256710031813666e-10
12,-1.418606362857955e-11,-2.1153695412849769e-10,1.6627354599363526e-10
