serial_id,weakest,second,third
1,4.6594222123579047e-10,-4.5742040906832102e-07,-3.0416398040054653e-06
2,-8.8429234687323943e-06,0.15316171254899633,0.98820113828210676
3,-6.297471432318692e-11,-1.7164682693641223e-06,-1.7249760146762025e-06
4,-6.4508967282623758e-10,2.7030261891083188e-06,8.3001036171455932e-07
5,6.0775040874685628e-10,-2.7622676810185591e-06,-1.8769633871757189e-06
6,-3.0146116294197739e-06,0.98820113831540679,-0.15316171259393205
7,-6.4509962276853498e-10,-2.8367298232342164e-08,1.4236393306187804e-06
8,6.077617174043126e-10,-5.0013777989203858e-07,-2.3686666458359168e-06
9,-4.3260824073255727e-11,7.6419421251191007e-07,7.1604645824039629e-07
10,0.99999999995635802,4.333439953067491e-06,8.2768639636475704e-06
11,-1.3375208788380455e-09,1.1096233499053247e-06,3.5459019744157482e-07
12,9.0847366926716965e-10,-1.5033633620010342e-06,1.508164384811037e-07
