serial_id,weakest,second,third
1,-5.2698820332247032e-11,1.8741635051856285e-12,2.4295820403075274e-10
2,0.99996501935141902,-0.0083320486083115486,0.0007328297926825362
3,-3.5076899030244977e-11,-1.8175214349665945e-10,-4.7171923731923226e-11
4,2.4012704278240791e-11,3.2354951532605758e-10,-3.4654291326931873e-10
5,-4.1733489519885663e-11,-3.1060321411522455e-10,3.2091741220286785e-10
6,0.0083311206543385113,0.99996450137130644,0.0012603276863950045
7,2.3939393050959869e-11,-3.0979824874461488e-11,-3.5083414576747748e-10
8,-4.1672758306980076e-11,-1.6755472500045478e-11,3.2447415358237654e-10
9,1.4787861783548316e-11,8.2024633048307642e-11,-1.8721200513196816e-11
10,-0.00074330488977527437,-0.0012541783058931768,0.99999893726674449
11,1.0552413992126886e-11,1.3337754384671926e-10,-7.3629191596278674e-10
12,-3.3554732073504354e-12,-1.9247454498419482e-10,4.9997806408624535e-10
