serial_id,weakest,second,third
1,3.1092313405175434e-11,-4.5811978879067296e-07,-3.0415981336199431e-06
2,-5.900760522514174e-07,0.15338704702297662,0.98816618732701667
3,-4.2022971237001741e-12,-1.7172533896844965e-06,-1.7245644755368761e-06
4,-4.3046884829646173e-11,2.703904812210797e-06,8.2931251595678165e-07
5,4.0555192730210427e-11,-2.7633604893966492e-06,-1.8762774012316885e-06
6,-2.011106843097047e-07,0.98816618733037764,-0.15338704703642114
7,-4.3047549261037951e-11,-2.8104731372074356e-08,1.4236844013047204e-06
8,4.0555947844042011e-11,-5.0072086315548688e-07,-2.3685958548959161e-06
9,-2.8868056936205951e-12,7.6453381136044035e-07,7.1586187084539093e-07
10,0.99999999999980571,2.8924080176662475e-07,5.5224542917361182e-07
11,-8.925279747086788e-11,1.1099864657977287e-06,3.5430409149514386e-07
12,6.0622450728503871e-11,-1.5037354872303523e-06,1.5122065185366575e-07
