state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
baseline-best-28,127,improved,improved,unqualified
baseline-best-28,128,improved,unqualified,unqualified
baseline-best-28,129,improved,improved,unqualified
baseline-best-28,130,regressed,improved,unqualified
baseline-best-28,131,improved,improved,unqualified
baseline-best-28,132,regressed,regressed,unqualified
baseline-best-28,133,improved,improved,unqualified
baseline-best-28,134,improved,improved,unqualified
baseline-best-28,135,improved,regressed,unqualified
baseline-best-28,136,improved,improved,unqualified
baseline-best-28,137,improved,improved,unqualified
baseline-best-28,138,improved,improved,unqualified
baseline-best-28,139,improved,improved,unqualified
baseline-best-28,140,regressed,regressed,unqualified
baseline-best-28,141,regressed,regressed,unqualified
baseline-best-28,142,regressed,regressed,unqualified
baseline-best-28,143,improved,improved,unqualified
baseline-best-28,144,improved,regressed,unqualified
baseline-best-28,145,regressed,improved,unqualified
baseline-best-28,146,improved,improved,unqualified
baseline-best-28,147,improved,regressed,unqualified
baseline-best-28,148,improved,regressed,unqualified
baseline-best-28,149,regressed,improved,unqualified
baseline-best-28,150,regressed,regressed,unqualified
baseline-best-28,151,improved,improved,unqualified
baseline-best-28,152,improved,improved,unqualified
baseline-best-28,153,improved,improved,unqualified
baseline-best-28,154,regressed,regressed,unqualified
baseline-best-28,155,improved,improved,unqualified
baseline-best-28,156,improved,regressed,unqualified
baseline-best-28,157,improved,improved,unqualified
baseline-best-28,158,improved,regressed,unqualified
baseline-best-28,159,improved,regressed,unqualified
baseline-best-28,160,improved,improved,unqualified
baseline-best-28,161,regressed,improved,unqualified
baseline-best-28,162,regressed,regressed,unqualified
baseline-best-28,163,improved,improved,unqualified
baseline-best-28,164,improved,improved,unqualified
baseline-best-28,165,improved,improved,unqualified
baseline-best-28,166,improved,regressed,unqualified
baseline-best-28,167,regressed,improved,unqualified
baseline-best-28,168,regressed,regressed,unqualified
baseline-recovery-32,1,improved,unqualified,unqualified
baseline-recovery-32,2,improved,improved,unqualified
baseline-recovery-32,3,regressed,improved,unqualified
baseline-recovery-32,4,improved,improved,unqualified
baseline-recovery-32,5,improved,regressed,unqualified
baseline-recovery-32,6,regressed,improved,unqualified
baseline-recovery-32,7,regressed,improved,unqualified
baseline-recovery-32,8,improved,regressed,unqualified
baseline-recovery-32,9,improved,improved,unqualified
baseline-recovery-32,10,regressed,regressed,unqualified
baseline-recovery-32,11,regressed,regressed,unqualified
baseline-recovery-32,12,improved,improved,unqualified
baseline-recovery-32,13,regressed,regressed,unqualified
baseline-recovery-32,14,improved,improved,unqualified
baseline-recovery-32,15,regressed,improved,unqualified
baseline-recovery-32,16,regressed,improved,unqualified
baseline-recovery-32,17,improved,improved,unqualified
baseline-recovery-32,18,improved,improved,unqualified
