state_id,component,mode,atom_index,seed,qualified,selected,minimum,maximum,mean,underflow_count,below_0_1,effective_n,owner,alpha,variance,scale_equation,denominator,denominator_margin,linear_weight_share
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,0,0.0,2.170776530673224e-06,4.459543845314329e-14,200.0,1.0,4.304530642043166e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.5724429601817863,0.9999933798811202,0.9137005622853941,0,0,197.42959975135096,1,0.2,4.892306886040254e-06,-2.4924729768198956e-10,152.3110814845696,0.761555407422848,5.9189273816625225e-09
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,2,0.0,5.8559569422881185e-06,-1.1530248977820178e-12,200.0,1.0,1.5956698769134033e-09
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,3,0.0,6.686883595609026e-07,1.254942816331095e-12,200.0,1.0,1.397388478460577e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.028481337686470494,0.9999981121663761,0.7494474609696941,0,24,164.9731976761266,4,0.4,1.739179505048618e-06,-9.803676412818839e-09,101.59496335230924,0.5079748167615462,5.538101170028264e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.2014635063579418,0.9999991418684753,0.7612373881884631,0,0,184.8465647555017,5,0.7999999999999999,2.4328232187346005e-07,-1.3713047192442652e-11,85.99361163769878,0.4299680581884939,1.1155956616459502e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.7375598114855773,0.99999656042607,0.9164756604083653,0,0,198.51496963034157,6,0.2,1.0491070121679007e-07,-4.339111211917955e-13,152.8661011091639,0.7643305055458195,4.0655878255406425e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.0009807600996338543,0.9999984215381905,0.6722655597430379,0,20,163.68349959724762,7,1.0,1.4979987376798416e-08,2.086331107875594e-12,63.74243382995289,0.3187121691497644,0.002733724056429622
baseline-best-28,0,joint,,checkpoint,False,True,0.5338553580403916,0.9999996808717796,0.9063689993978915,0,0,194.65517098709702,8,0.2,6.041523702077186e-05,-1.8902609913709354e-11,150.84476890706898,0.7542238445353449,3.697839790759241e-10
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,9,0.0,6.193827246607775e-07,-2.0044466086943657e-13,200.0,1.0,1.5086268507777157e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.7600982857259365e-37,0.9999920000354173,0.6456585080892892,0,31,154.07765505146173,10,1.0,4.7872055365671046e-08,5.359348520528329e-10,58.42102349920307,0.29210511749601537,0.0004595796074385387
baseline-best-28,0,joint,,checkpoint,False,True,0.0931012624784952,0.9999504921095189,0.949112498060072,0,1,198.12454901678493,11,0.1,2.1359787418108773e-07,-8.462680591470919e-10,172.4868161711853,0.8624340808559264,8.979776611258635e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.012451544544434017,0.9999999648734182,0.7012308769747733,0,14,172.17317437492227,12,1.0,2.2047275294194174e-07,-3.222261346635946e-11,69.53549727629994,0.3476774863814997,5.05021219460979e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.40850691171660003,0.9999976555366694,0.900896668886693,0,0,192.95026027277436,13,0.2,1.7372180699258477e-06,7.440094940942304e-11,149.75030280482932,0.7487515140241466,1.8228015519965592e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.15317144602657828,0.9997941080970066,0.7767038497640442,0,0,185.38737326132852,14,0.7,2.517876215871284e-07,-1.7909195021008077e-10,92.1789473418489,0.46089473670924447,5.25395005051994e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.030244972546095237,0.9999987734440741,0.7284226950774283,0,3,181.87307899302425,15,1.0,3.32551855923136e-07,4.287847854556048e-12,74.97386089683096,0.3748693044841548,2.831883527619241e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.0005821293842057051,0.9999944854405589,0.737876593676441,0,14,174.35042042919542,16,0.7,4.490638674560311e-08,-6.056229274145453e-10,84.41349612432819,0.42206748062164096,5.116755574162713e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.047140932225516415,0.9999934810926758,0.8327249716096878,0,3,187.87395758825164,17,0.4,1.4530676496287255e-07,-5.9598846738492e-10,118.25046548030798,0.5912523274015399,1.210017275813702e-06
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,18,0.0,1.5931039679494368e-06,-3.4505731605349867e-14,200.0,1.0,5.865388751330784e-09
