state_id,serial_id,parameter,comparison,left_error,right_error,absolute_error_gain,numerical_uncertainty,status
baseline-best-28,1,A,input-to-frozen,0.014983454261828122,0.014761504260270897,0.0002219500015572251,9.230176623020725e-09,unqualified
baseline-best-28,1,C,input-to-frozen,-0.0010831725930814384,-0.00010287116745177904,0.0009803014256296594,2.1237946956631504e-09,unqualified
baseline-best-28,1,A,input-to-joint,0.014983454261828122,0.022449571071625485,-0.007466116809797363,0.0,unqualified
baseline-best-28,1,C,input-to-joint,-0.0010831725930814384,2.6175541638417954e-05,0.0010569970514430205,0.0,unqualified
baseline-best-28,1,A,frozen-to-joint,0.014761504260270897,0.022449571071625485,-0.007688066811354588,9.230176623020725e-09,unqualified
baseline-best-28,1,C,frozen-to-joint,-0.00010287116745177904,2.6175541638417954e-05,7.669562581336109e-05,2.1237946956631504e-09,unqualified
baseline-best-28,2,A,input-to-frozen,-0.008885343497877507,0.0009333036978684817,0.007952039800009025,3.552713678800501e-15,improved
baseline-best-28,2,C,input-to-frozen,0.001154943428802957,-0.00041917153231907367,0.0007357718964838833,5.828670879282072e-16,improved
baseline-best-28,2,A,input-to-joint,-0.008885343497877507,8.590755846604736e-05,0.00879943593941146,0.0,unqualified
baseline-best-28,2,C,input-to-joint,0.001154943428802957,-0.0013003023104070088,-0.00014535888160405186,0.0,unqualified
baseline-best-28,2,A,frozen-to-joint,0.0009333036978684817,8.590755846604736e-05,0.0008473961394024343,3.552713678800501e-15,unqualified
baseline-best-28,2,C,frozen-to-joint,-0.00041917153231907367,-0.0013003023104070088,-0.0008811307780879352,5.828670879282072e-16,unqualified
baseline-best-28,3,A,input-to-frozen,0.018750736346136776,0.02583861479672489,-0.007087878450588114,2.220446049250313e-14,regressed
baseline-best-28,3,C,input-to-frozen,0.0025401618309153218,0.0021733831187705777,0.0003667787121447441,0.0,improved
baseline-best-28,3,A,input-to-joint,0.018750736346136776,0.03163533263483309,-0.012884596288696315,0.0,unqualified
baseline-best-28,3,C,input-to-joint,0.0025401618309153218,-3.20692836907055e-05,0.0025080925472246163,0.0,unqualified
baseline-best-28,3,A,frozen-to-joint,0.02583861479672489,0.03163533263483309,-0.005796717838108201,2.220446049250313e-14,unqualified
baseline-best-28,3,C,frozen-to-joint,0.0021733831187705777,-3.20692836907055e-05,0.002141313835079872,0.0,unqualified
baseline-best-28,4,A,input-to-frozen,1.7983317746939065e-05,-0.00481194126978135,-0.004793957952034411,1.2434497875801753e-14,regressed
baseline-best-28,4,C,input-to-frozen,-0.0025525948377168595,-0.0016544693999501758,0.0008981254377666836,2.220446049250313e-16,improved
baseline-best-28,4,A,input-to-joint,1.7983317746939065e-05,-0.011003254664855966,-0.010985271347109027,0.0,unqualified
baseline-best-28,4,C,input-to-joint,-0.0025525948377168595,0.000637614393079633,0.0019149804446372265,0.0,unqualified
baseline-best-28,4,A,frozen-to-joint,-0.00481194126978135,-0.011003254664855966,-0.006191313395074616,1.2434497875801753e-14,unqualified
baseline-best-28,4,C,frozen-to-joint,-0.0016544693999501758,0.000637614393079633,0.0010168550068705429,2.220446049250313e-16,unqualified
baseline-best-28,5,A,input-to-frozen,0.020044223588183918,0.018557594224339446,0.0014866293638444716,8.881784197001252e-16,improved
baseline-best-28,5,C,input-to-frozen,-0.0019216948264060285,-0.002318944318977112,-0.00039724949257108344,1.6653345369377348e-16,regressed
baseline-best-28,5,A,input-to-joint,0.020044223588183918,0.007392229410537077,0.012651994177646841,0.0,unqualified
baseline-best-28,5,C,input-to-joint,-0.0019216948264060285,-0.00030863872595404684,0.0016130561004519817,0.0,unqualified
baseline-best-28,5,A,frozen-to-joint,0.018557594224339446,0.007392229410537077,0.01116536481380237,8.881784197001252e-16,unqualified
baseline-best-28,5,C,frozen-to-joint,-0.002318944318977112,-0.00030863872595404684,0.002010305593023065,1.6653345369377348e-16,unqualified
baseline-best-28,6,A,input-to-frozen,0.014140818106265662,0.012702340131427903,0.0014384779748377596,1.7763568394002505e-15,improved
baseline-best-28,6,C,input-to-frozen,-0.0005826095703347356,-0.0005087237554106672,7.388581492406843e-05,1.3877787807814457e-16,improved
baseline-best-28,6,A,input-to-joint,0.014140818106265662,0.010380673434905674,0.0037601446713599884,0.0,unqualified
baseline-best-28,6,C,input-to-joint,-0.0005826095703347356,1.2260165604210949e-05,0.0005703494047305246,0.0,unqualified
baseline-best-28,6,A,frozen-to-joint,0.012702340131427903,0.010380673434905674,0.002321666696522229,1.7763568394002505e-15,unqualified
