state_id,component,mode,atom_index,qualified,reason,failure_owner,branch_sensitive,stationarity,objective,active_amplitudes,rank,condition,minimum_singular,weighted_rank,weighted_condition,weighted_minimum_singular,weight_minimum,weight_mean,weight_underflow_count,effective_n,linear_solves,iterations,seconds
baseline-best-28,0,joint,,False,budget-exhausted,-1,False,7.027547735627415e-06,-286.9215084191765,0,336,18.908392678246397,0.12485612547976926,336,227.64964081610952,0.011918213846046381,0.0,0.8205660092839743,78,30181.605299251158,4001,4000,5762.813107292
baseline-best-28,0,frozen,0,False,reference-unverified,-1,False,8.746514029539742e-09,-79.65892475087392,0,2,2.5589190384676135,0.5147509238979635,2,1.2647269157097103,0.8771365988621501,1.6445119655196838e-13,0.8423143070137595,0,31093.84121690908,233,230,0.547160291
baseline-best-28,0,frozen,1,True,qualified,-1,False,8.380990221741734e-09,-79.75891939254771,0,2,2.2770504343490505,0.5686520335040566,2,2.0217356525710497,0.6269983712562962,1.6445119655196838e-13,0.8421582589324353,0,31086.267923257725,181,178,0.443566167
baseline-best-28,0,frozen,2,True,qualified,-1,False,8.380990221741734e-09,-79.6599499867471,0,2,2.326268451541336,0.558514343470212,2,1.2557579992810055,0.8809755242029619,1.6445119655196838e-13,0.8422827090632095,0,31091.456977419068,181,178,0.410250875
baseline-best-28,0,frozen,3,True,qualified,-1,False,8.380990221741734e-09,-79.68736210997754,0,2,2.5137496807112356,0.5227463147769671,2,1.218224437659062,0.8972903862365357,1.6445119655196838e-13,0.8423021310995404,0,31092.847800864452,181,178,0.431385375
baseline-best-28,0,frozen,4,True,qualified,-1,False,8.380990221741734e-09,-79.72138172899152,0,2,2.4379814739829353,0.5366830076982572,2,2.14843351729618,0.596774797247071,1.6445119655196838e-13,0.8421019326664505,0,31081.99859757169,181,178,0.424396083
baseline-best-28,0,frozen,5,True,qualified,-1,False,8.380990221741734e-09,-79.8046724516799,0,2,2.3930980007226514,0.5452641311467482,2,1.3666651826469889,0.8351078333829064,1.6445119655196838e-13,0.8421913021802876,0,31087.019681327645,181,178,0.449415625
baseline-best-28,0,frozen,6,True,qualified,-1,False,9.618464150625137e-09,-79.87663386317318,0,2,2.712998376118169,0.48910545165588953,2,2.045731526464427,0.6210690472493826,1.6445119655196838e-13,0.8423909505351891,0,31096.992497704647,182,179,0.476580167
baseline-best-28,0,frozen,7,True,qualified,-1,False,8.904512835890408e-09,-81.35433627246888,0,2,2.969934794089408,0.4512819023300589,2,3.8340769693753947,0.35691364323923985,1.6445119655196838e-13,0.8426983179989322,0,31113.910444609028,200,197,0.510834583
baseline-best-28,0,frozen,8,True,qualified,-1,False,8.380990221741734e-09,-80.64511644952537,0,2,2.219077238484396,0.5810270312006455,2,1.4314166990465274,0.8099152536714557,1.6445119655196838e-13,0.8418534210404761,0,31075.576612318673,181,178,0.43592275
baseline-best-28,0,frozen,9,True,qualified,-1,False,8.380990221741734e-09,-79.69402105580134,0,2,2.2033280391438916,0.5844728797279775,2,1.8017832453412217,0.6862832165391591,1.6445119655196838e-13,0.8423391055366034,0,31094.585774383577,181,178,0.427944708
baseline-best-28,0,frozen,10,True,qualified,-1,False,8.380990221741734e-09,-79.66460096142971,0,2,2.2772766667729902,0.5686046742765941,2,3.57043012629326,0.38141317411665,1.6445119655196838e-13,0.8423273807194512,0,31094.90184153774,181,178,0.423974833
baseline-best-28,0,frozen,11,True,qualified,-1,False,8.380990221741734e-09,-79.83204311461611,0,2,2.556069576649481,0.515248624808728,2,2.301870024813716,0.563498533276281,1.6445119655196838e-13,0.8422626421457082,0,31090.522082159772,181,178,0.474576375
baseline-best-28,0,frozen,12,True,qualified,-1,False,8.380990221741734e-09,-79.70342423384503,0,2,2.346346103745173,0.5544724811059433,2,2.4645394010213484,0.5317210675717025,1.6445119655196838e-13,0.8422505695463429,0,31089.719329933152,181,178,0.412285542
baseline-best-28,0,frozen,13,True,qualified,-1,False,8.380990221741734e-09,-79.66797124252452,0,2,2.298646286385507,0.5641631213285341,2,2.176363583074364,0.5904583743611695,1.6445119655196838e-13,0.8423045913489963,0,31093.190700745086,181,178,0.420425291
baseline-best-28,0,frozen,14,True,qualified,-1,False,8.380990221741734e-09,-79.96070258042279,0,2,2.3965772000165018,0.5445900065216217,2,1.9280936287914792,0.6511139050726179,1.6445119655196838e-13,0.8425930388923096,0,31109.108857344112,181,178,0.522452833
baseline-best-28,0,frozen,15,True,qualified,-1,False,8.380990221741734e-09,-79.90839960301594,0,2,2.397775375664602,0.5443582018874803,2,3.4235587200612976,0.3965140361785406,1.6445119655196838e-13,0.8431251703395398,0,31133.297957983195,181,178,0.429522292
baseline-best-28,0,frozen,16,True,qualified,-1,False,8.380990221741734e-09,-79.9555077839641,0,2,2.4300049876710026,0.5381898945507639,2,2.9286816263995634,0.4569790200269857,1.6445119655196838e-13,0.8426204136756978,0,31108.728956102896,181,178,0.419456875
baseline-best-28,0,frozen,17,True,qualified,-1,False,8.380990221741734e-09,-79.79484938103836,0,2,2.4200863528632293,0.5400745197937925,2,2.3285029416382446,0.5580618713892902,1.6445119655196838e-13,0.8422760951469734,0,31091.30257047914,181,178,0.453518
baseline-best-28,0,frozen,18,True,qualified,-1,False,8.380990221741734e-09,-79.75360588328714,0,2,2.4549920098934894,0.5334951318539858,2,2.4435015007104863,0.535644703155664,1.6445119655196838e-13,0.8421131316679548,0,31085.085998720835,181,178,0.463915917
baseline-best-28,0,frozen,19,True,qualified,-1,False,8.380990221741734e-09,-79.72890492484183,0,2,2.2665439263984086,0.5708593300785985,2,2.3379586897772877,0.5561544807146507,1.6445119655196838e-13,0.8422171623105501,0,31089.810571879672,181,178,0.679478375
baseline-best-28,0,frozen,20,True,qualified,-1,False,8.380990221741734e-09,-79.72920342320856,0,2,2.2288262519960615,0.5789122331020486,2,1.5091598041770045,0.7811590217099591,1.6445119655196838e-13,0.8425160399421607,0,31106.105870030464,181,178,0.405028458
baseline-best-28,0,frozen,21,True,qualified,-1,False,8.380990221741734e-09,-79.79155614372121,0,2,2.2848067974496953,0.5670323838713645,2,1.4645410106330907,0.7974673898360102,1.6445119655196838e-13,0.8419917020947519,0,31075.918336980034,181,178,0.401341291
baseline-best-28,0,frozen,22,True,qualified,-1,False,8.380990221741734e-09,-79.65397353164701,0,2,2.5285766721119227,0.5200966850244967,2,1.5624563648026084,0.7623521517352448,1.6445119655196838e-13,0.8422507882429164,0,31090.53807135035,181,178,0.414014083
baseline-best-28,0,frozen,23,True,qualified,-1,False,8.380990221741734e-09,-79.94913995669782,0,2,2.2699888143334297,0.570133895894287,2,1.9834096290840715,0.6366770874584946,1.6445119655196838e-13,0.8426947105719699,0,31112.841974062456,181,178,0.416238125
baseline-best-28,0,frozen,24,True,qualified,-1,False,8.380990221741734e-09,-79.69209931048799,0,2,2.4391736991627333,0.5364584407927605,2,3.75278350245234,0.3641376656343282,1.6445119655196838e-13,0.8422514907514066,0,31089.64654839406,181,178,0.410341625
baseline-best-28,0,frozen,25,True,qualified,-1,False,8.564235115354979e-09,-79.88337725875488,0,2,2.381505511295918,0.5475213051148571,2,1.8368963343318399,0.6761861457108516,1.6445119655196838e-13,0.8424681706504132,0,31099.866208634765,239,236,0.549512333
baseline-best-28,0,frozen,26,True,qualified,-1,False,8.380990221741734e-09,-80.09706830027793,0,2,2.34313852444181,0.5551146310680555,2,2.415471853062277,0.5409554345315482,1.6445119655196838e-13,0.8425546709264651,0,31104.984610256128,181,178,0.407000042
baseline-best-28,0,frozen,27,True,qualified,-1,False,8.380990221741734e-09,-81.44137873637222,0,2,2.3888028662083776,0.5460984537982665,2,4.438647170646801,0.3108230086224704,1.6445119655196838e-13,0.8419872548677274,0,31076.307153939393,181,178,0.407959416
baseline-best-28,0,frozen,28,True,qualified,-1,False,8.380990221741734e-09,-80.35700837871998,0,2,2.5158637542643123,0.5223670043725445,2,2.2984830862661787,0.5641968035074467,1.6445119655196838e-13,0.8424217356724695,0,31098.250227949662,181,178,0.419301042
baseline-best-28,0,frozen,29,True,qualified,-1,False,8.380990221741734e-09,-80.46651709068406,0,2,2.5524974017250655,0.5158738151022494,2,2.5156086961898416,0.5224127403988227,1.6445119655196838e-13,0.8423308471958587,0,31092.614942681055,181,178,0.404297541
baseline-best-28,0,frozen,30,True,qualified,-1,False,8.380990221741734e-09,-79.72101304787608,0,2,2.252992538974458,0.573729254420278,2,1.4097147589806436,0.8182309273117085,1.6445119655196838e-13,0.8422252661245095,0,31088.991012947936,181,178,0.438537041
baseline-best-28,0,frozen,31,True,qualified,-1,False,8.380990221741734e-09,-80.37195128140267,0,2,2.2083644500259796,0.5833669552156961,2,1.22018005080991,0.8964303771767355,1.6445119655196838e-13,0.8420062286124962,0,31079.15292965016,181,178,0.411023375
baseline-best-28,0,frozen,32,True,qualified,-1,False,8.380990221741734e-09,-79.67591699873273,0,2,2.2962441143337835,0.5646592632900748,2,1.2758459938038098,0.8724092234936476,1.6445119655196838e-13,0.8423167160471682,0,31093.62907301386,181,178,0.426040333
