accepted_updates,b_gradient_inf,case,execution_complete,float32_accuracy_passed,joint_qualified,local_correction_inf,oracle_recovered,profile_evaluations,projected_kkt,qualification_failure,relative_residual,residual_max,residual_rmse,rss,scaled_reference_difference,scaled_truth_error,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
3,3.078906879517966e-16,checkpoint-double,True,False,True,1.3957016983462674e-16,True,4,1.304512053934559e-15,none,5.04751525560818e-15,6.128431095930864e-14,3.0555551741278346e-15,1.302906387676973e-24,1.903239470785948e-14,1.763668576261646e-14,1.171549629794927e-14,3.5092281491198535e-14,1.2612133559741778e-13,1.438849039914203e-13,168,-8.260587980841938e-18,2.1413891488088465e-17,5.551115123125783e-17,5.551115123125783e-17,168,-2.529287788170324e-16,3.643656536661683e-15,1.3766765505351941e-14,1.3988810110276972e-14,168
5,2.277987137776504e-16,narrower-double,True,False,True,1.1961573028807683e-16,True,7,1.4849232954361469e-15,none,4.847809264994684e-15,6.128431095930864e-14,2.934661498324597e-15,1.2018464404535508e-24,1.820765760385222e-14,1.5606563660444813e-14,1.0499537747169337e-14,3.389045139267531e-14,1.2967404927621828e-13,1.4033219031261979e-13,168,-1.32169407693471e-18,8.565556595235386e-18,5.551115123125783e-17,5.551115123125783e-17,168,-2.1592514503662287e-16,2.4702967685918554e-15,9.2148511043888e-15,9.325873406851315e-15,168
5,1.2201446559028146e-16,wider-double,True,False,True,4.2096684741627434e-16,True,7,7.355227538141662e-16,none,3.4105598084127665e-15,3.552713678800501e-14,2.0646106334575925e-15,5.948524744266266e-25,2.0301221021716887e-14,9.868649107779071e-15,6.3335580166711315e-15,2.3232720288312605e-14,7.993605777301127e-14,8.881784197001252e-14,168,-1.850371707708594e-17,4.730483245376208e-17,1.6653345369377348e-16,2.220446049250313e-16,168,-2.205551355999265e-16,2.017675851085825e-15,7.66053886991358e-15,7.965850201685498e-15,168
5,1.6071489807461573e-16,mixed-double,True,False,True,1.8817125894817626e-16,True,7,1.27675647831893e-15,none,4.41553226432305e-15,5.3290705182007514e-14,2.6729790349400415e-15,9.970663461744279e-25,2.076117056049016e-14,1.4210854715201802e-14,7.438494264988549e-15,2.7599876862140022e-14,1.0835776720341528e-13,1.1368683772161603e-13,168,-8.591011500075616e-18,2.4972674229696217e-17,1.1102230246251565e-16,1.1102230246251565e-16,168,-2.6646911240787123e-16,3.681712157623679e-15,1.3766765505351941e-14,1.7319479184152442e-14,168
2,5.571918673468006e-16,checkpoint-float32,True,True,True,1.3292598850181554e-13,False,4,2.0539125955565396e-15,none,2.502111273022822e-08,2.4307016843749807e-07,1.5146737872166826e-08,3.201630231653111e-11,1.914517921991307e-14,9.132877057790471e-09,9.846734538854207e-11,2.2545789637994842e-08,6.292241394589837e-08,6.393013940453329e-08,168,-2.2822005198351393e-11,1.2340402787591898e-09,3.0124375216544763e-09,3.4955045524753814e-09,168,1.9811159527373275e-11,1.0921298843721023e-09,2.7107039946017153e-09,3.8697722248848265e-09,168
5,4.825255745597923e-16,narrower-float32,True,True,True,1.8275821399171927e-16,False,7,1.7763568394002505e-15,none,2.5021112732009465e-08,2.430701604438923e-07,1.5146737873245115e-08,3.201630232108957e-11,2.120525972291268e-14,9.13288073738678e-09,9.853787098448731e-11,2.2545806377706447e-08,6.292243526218044e-08,6.393016516170746e-08,168,-2.2819445737771408e-11,1.2340404154573873e-09,3.012434302007705e-09,3.495503997363869e-09,168,1.9808992490247645e-11,1.0921297837584031e-09,2.7106983324642897e-09,3.869775166975842e-09,168
6,2.2092629520179308e-16,wider-float32,True,True,True,1.6228717037321247e-16,False,7,1.5681900222830336e-15,none,2.502111272931584e-08,2.430701293576476e-07,1.5146737871614507e-08,3.201630231419619e-11,2.6250606584911236e-14,9.13286690717996e-09,9.853005184232816e-11,2.254580409343858e-08,6.292239618232998e-08,6.393006835025972e-08,168,-2.281944540734789e-11,1.2340404167250822e-09,3.012434302007705e-09,3.495503997363869e-09,168,1.9809204224846392e-11,1.0921296054949913e-09,2.7106966671297528e-09,3.869769393816114e-09,168
5,4.408544895397701e-16,mixed-float32,True,True,True,1.8930769413352596e-16,False,7,1.6930901125533637e-15,none,2.502111273161566e-08,2.4307015777935703e-07,1.5146737873006725e-08,3.2016302320081765e-11,2.5263741758597045e-14,9.132875408316262e-09,9.853380016673035e-11,2.2545805717122243e-08,6.29224246040394e-08,6.393012785821384e-08,168,-2.281944111184214e-11,1.2340404177381272e-09,3.0124341909854024e-09,3.495503997363869e-09,168,1.980920134349618e-11,1.0921298230089345e-09,2.7106983324642897e-09,3.869769615860719e-09,168
