dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-near,mixed-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.036530083,0.065676208,0.028518332999999996,0.037993334,0.608761542,0.109740625,217284608
regular-near,mixed-double,01:near-0.02:1,12,7243,this-search,12,11,12,13,103,1,13,1,0,0,0.036133459,0.114315333,0.048405290000000004,0.037691042,0.620756625,0.118723208,217284608
regular-near,first-stage-float32,monolithic,24,14694,this-search,10,9,10,13,103,0,13,1,0,0,0.112885458,0.312533584,0.13389225,0.121707208,29.419506959,28.152200167,226574336
regular-near,first-stage-float32,assembled,24,14694,sum-of-components,16,14,16,13,103,0,13,1,0,0,0.109472958,0,0,0.124504833,29.623225291,28.351072125,226574336
regular-near,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.03648075,0.056579583,0.024781416,0.0384125,0.61728225,0.1102515,226574336
regular-near,first-stage-float32,01:near-0.02:1,12,7243,this-search,10,9,10,13,103,1,13,1,0,0,0.036967375,0.095482333,0.040732127,0.037919166,0.63694325,0.118398417,226574336
regular-near,narrower-float32,monolithic,24,14694,this-search,22,19,22,13,103,0,13,1,0,0,0.114948583,0.676548458,0.286696167,0.119851916,29.462530333,28.192560791,226574336
regular-near,narrower-float32,assembled,24,14694,sum-of-components,24,19,25,13,103,0,13,1,0,0,0.109715584,0,0,0.124199625,29.499636375,28.231228791,226574336
regular-near,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,103,1,13,1,0,0,0.036561084,0.066282584,0.028763125,0.038280542,0.613317708,0.10981825,226574336
regular-near,narrower-float32,01:near-0.02:1,12,7243,this-search,17,14,18,13,103,1,13,1,0,0,0.036117042,0.171498833,0.07315608200000001,0.037921041,0.618823042,0.1171425,226574336
regular-near,wider-float32,monolithic,24,14694,this-search,21,17,22,13,103,0,13,1,0,0,0.113007167,0.671296583,0.29243233199999996,0.119924375,29.460569208,28.192209459,226574336
regular-near,wider-float32,assembled,24,14694,sum-of-components,28,24,28,13,103,0,13,1,0,0,0.109325083,0,0,0.124998833,29.476051875,28.20820125,226574336
regular-near,wider-float32,00:baseline:1,12,7451,this-search,8,6,8,13,103,1,13,1,0,0,0.036258667,0.076144792,0.032645042,0.037945,0.613281959,0.109962416,226574336
regular-near,wider-float32,01:near-0.02:1,12,7243,this-search,20,18,20,13,103,1,13,1,0,0,0.035949958,0.196103041,0.08151312399999999,0.037453209,0.618169291,0.117763541,226574336
