dataset,state,passed,full_equivalence
regular-near,first-stage-float32-endpoint,True,True
regular-near,mixed-double-endpoint,True,True
regular-near,mixed-float32-endpoint,True,True
regular-near,narrower-double-endpoint,True,True
regular-near,narrower-float32-endpoint,True,True
regular-near,wider-double-endpoint,True,True
regular-near,wider-float32-endpoint,True,True
regular-three,first-stage-double-initial,True,True
regular-three,first-stage-float32-initial,True,True
regular-three,mixed-double-initial,True,True
regular-three,mixed-float32-initial,True,True
regular-three,narrower-double-initial,True,True
regular-three,narrower-float32-initial,True,True
regular-three,wider-double-initial,True,True
regular-three,wider-float32-initial,True,True
regular-three,first-stage-double-endpoint,True,True
regular-three,first-stage-float32-endpoint,True,True
regular-three,mixed-double-endpoint,True,True
regular-three,mixed-float32-endpoint,True,True
regular-three,narrower-double-endpoint,True,True
regular-three,narrower-float32-endpoint,True,True
regular-three,wider-double-endpoint,True,True
regular-three,wider-float32-endpoint,True,True
regular-two,first-stage-double-initial,True,True
regular-two,first-stage-float32-initial,True,True
regular-two,mixed-double-initial,True,True
regular-two,mixed-float32-initial,True,True
regular-two,narrower-double-initial,True,True
regular-two,narrower-float32-initial,True,True
regular-two,wider-double-initial,True,True
regular-two,wider-float32-initial,True,True
regular-two,first-stage-double-endpoint,True,True
regular-two,first-stage-float32-endpoint,True,True
regular-two,mixed-double-endpoint,True,True
regular-two,mixed-float32-endpoint,True,True
regular-two,narrower-double-endpoint,True,True
regular-two,narrower-float32-endpoint,True,True
regular-two,wider-double-endpoint,True,True
regular-two,wider-float32-endpoint,True,True
regular-weak,first-stage-double-initial,True,True
regular-weak,first-stage-float32-initial,True,True
regular-weak,mixed-double-initial,True,True
regular-weak,mixed-float32-initial,True,True
regular-weak,narrower-double-initial,True,True
regular-weak,narrower-float32-initial,True,True
regular-weak,wider-double-initial,True,True
regular-weak,wider-float32-initial,True,True
regular-weak,first-stage-double-endpoint,True,True
regular-weak,first-stage-float32-endpoint,True,True
regular-weak,mixed-double-endpoint,True,True
regular-weak,mixed-float32-endpoint,True,True
regular-weak,narrower-double-endpoint,True,True
regular-weak,narrower-float32-endpoint,True,True
regular-weak,wider-double-endpoint,True,True
regular-weak,wider-float32-endpoint,True,True
regular-zero,first-stage-double-initial,True,True
regular-zero,first-stage-float32-initial,True,True
regular-zero,mixed-double-initial,True,True
regular-zero,mixed-float32-initial,True,True
regular-zero,narrower-double-initial,True,True
regular-zero,narrower-float32-initial,True,True
regular-zero,wider-double-initial,True,True
regular-zero,wider-float32-initial,True,True
regular-zero,first-stage-double-endpoint,True,False
regular-zero,first-stage-float32-endpoint,True,False
regular-zero,mixed-double-endpoint,True,False
regular-zero,mixed-float32-endpoint,True,False
regular-zero,narrower-double-endpoint,True,False
regular-zero,narrower-float32-endpoint,True,False
regular-zero,wider-double-endpoint,True,False
regular-zero,wider-float32-endpoint,True,False
weak-1e-2,first-stage-double-initial,True,True
weak-1e-2,first-stage-float32-initial,True,True
weak-1e-2,mixed-double-initial,True,True
weak-1e-2,mixed-float32-initial,True,True
weak-1e-2,narrower-double-initial,True,True
weak-1e-2,narrower-float32-initial,True,True
weak-1e-2,wider-double-initial,True,True
weak-1e-2,wider-float32-initial,True,True
weak-1e-2,first-stage-double-endpoint,True,True
weak-1e-2,first-stage-float32-endpoint,True,True
weak-1e-2,mixed-double-endpoint,True,True
weak-1e-2,mixed-float32-endpoint,True,True
weak-1e-2,narrower-double-endpoint,True,True
weak-1e-2,narrower-float32-endpoint,True,True
weak-1e-2,wider-double-endpoint,True,True
weak-1e-2,wider-float32-endpoint,True,True
weak-1e-4,first-stage-double-initial,True,True
weak-1e-4,first-stage-float32-initial,True,True
weak-1e-4,mixed-double-initial,True,True
weak-1e-4,mixed-float32-initial,True,True
weak-1e-4,narrower-double-initial,True,True
weak-1e-4,narrower-float32-initial,True,True
weak-1e-4,wider-double-initial,True,True
weak-1e-4,wider-float32-initial,True,True
weak-1e-4,first-stage-double-endpoint,True,True
weak-1e-4,first-stage-float32-endpoint,True,True
weak-1e-4,mixed-double-endpoint,True,True
weak-1e-4,mixed-float32-endpoint,True,True
weak-1e-4,narrower-double-endpoint,True,True
weak-1e-4,narrower-float32-endpoint,True,True
weak-1e-4,wider-double-endpoint,True,True
weak-1e-4,wider-float32-endpoint,True,True
zero-signal,first-stage-double-initial,True,True
zero-signal,first-stage-float32-initial,True,True
zero-signal,mixed-double-initial,True,True
zero-signal,mixed-float32-initial,True,True
zero-signal,narrower-double-initial,True,True
zero-signal,narrower-float32-initial,True,True
zero-signal,wider-double-initial,True,True
zero-signal,wider-float32-initial,True,True
zero-signal,first-stage-double-endpoint,True,False
zero-signal,first-stage-float32-endpoint,True,False
zero-signal,mixed-double-endpoint,True,False
zero-signal,mixed-float32-endpoint,True,False
zero-signal,narrower-double-endpoint,True,False
zero-signal,narrower-float32-endpoint,True,False
zero-signal,wider-double-endpoint,True,False
zero-signal,wider-float32-endpoint,True,False
