dataset,case,required_regular,both_regular,available,passed,reason,scaled_ac_difference,scaled_b_difference,maximum_log_b_difference,normalized_prediction_inf_difference,normalized_objective_difference,numeric_passed
double,first-stage-double,True,True,True,True,regular-parity,2.05853852482581e-15,7.401486830834377e-17,1.1102230246251565e-16,1.0218770301393097e-16,1.2982966472070186e-31,True
double,narrower-double,True,True,True,True,regular-parity,2.283887364943177e-15,7.656710514656251e-17,2.220446049250313e-16,8.94142401371896e-17,1.7589348390354842e-31,True
double,wider-double,True,True,True,True,regular-parity,1.7763568394002477e-15,7.401486830834377e-17,1.1102230246251565e-16,8.94142401371896e-17,8.467050025693054e-32,True
double,mixed-double,True,True,True,True,regular-parity,1.7763568394002489e-15,7.93016446160826e-17,2.220446049250313e-16,1.4050809164415508e-16,1.3406370882446455e-31,True
float32,first-stage-float32,True,True,True,True,regular-parity,1.7763568465238005e-15,7.930164466095009e-17,1.1102230246251565e-16,7.664077723597333e-17,4.945185157978039e-26,True
float32,narrower-float32,True,True,True,True,regular-parity,1.973729819636096e-15,7.656710504077014e-17,2.220446049250313e-16,1.2134789729029111e-16,9.565801919313136e-26,True
float32,wider-float32,True,True,True,True,regular-parity,3.2989484292584814e-15,7.40148683035308e-17,1.1102230246251565e-16,7.664077723597333e-17,9.455869281371621e-26,True
float32,mixed-float32,True,True,True,True,regular-parity,2.6645352697856982e-15,7.930164466095009e-17,2.220446049250313e-16,8.941424010863556e-17,2.3960545016441222e-26,True
