alpha,seed,phase,iteration,objective,stationarity,variance,linear_solves,backtracks
0.1,checkpoint,primary,59,-10.209217569297174,0.0030224285244214756,9.373324716029993e-09,59,0
0.1,checkpoint,primary,60,-10.209269081604782,0.002866568919105226,9.337699118675964e-09,60,0
0.1,checkpoint,primary,61,-10.209315399311192,0.0027189619418804857,9.304041544632912e-09,61,0
0.1,checkpoint,primary,62,-10.20935705379138,0.0025791470316504257,9.272234347581446e-09,62,0
0.1,checkpoint,primary,63,-10.209394520892134,0.002446691930602197,9.242167834658707e-09,63,0
0.1,checkpoint,primary,64,-10.209428226918128,0.002321190688398634,9.213739635347392e-09,64,0
0.1,checkpoint,primary,65,-10.209458553944671,0.002202261773680606,9.186854129370824e-09,65,0
0.1,checkpoint,primary,66,-10.209485844534647,0.0020895464091801215,9.161421927867624e-09,66,0
0.1,checkpoint,primary,67,-10.209510405934083,0.0019827070201992904,9.137359401410334e-09,67,0
0.1,checkpoint,primary,68,-10.209532513806082,0.001881425768944612,9.114588250201332e-09,68,0
0.1,checkpoint,primary,69,-10.20955241555191,0.001785403288559046,9.093035112500056e-09,69,0
0.1,checkpoint,primary,70,-10.209570333274083,0.00169435743717335,9.072631206463675e-09,70,0
0.1,checkpoint,primary,71,-10.209586466417303,0.0016080222107796895,9.053312002910774e-09,71,0
0.1,checkpoint,primary,72,-10.209600994125882,0.0015261466918301443,9.035016925232579e-09,72,0
0.1,checkpoint,primary,73,-10.20961407734863,0.0014484941104513961,9.017689074341126e-09,73,0
0.1,checkpoint,primary,74,-10.209625860719294,0.001374840955716567,9.001274975838899e-09,74,0
0.1,checkpoint,primary,75,-10.209636474237982,0.001304976157286187,8.985724347538113e-09,75,0
0.1,checkpoint,primary,76,-10.20964603477332,0.0012387003313876245,8.970989885343805e-09,76,0
0.1,checkpoint,primary,77,-10.209654647411707,0.0011758250685890877,8.957027065740474e-09,77,0
0.1,checkpoint,primary,78,-10.2096624066584,0.0011161722841779055,8.943793963521718e-09,78,0
0.1,checkpoint,primary,79,-10.20966939751905,0.0010595736007526259,8.931251083214189e-09,79,0
0.1,checkpoint,primary,80,-10.209675696464064,0.0010058697742070834,8.919361203169374e-09,80,0
0.1,checkpoint,primary,81,-10.209681372298366,0.0009549101747047019,8.908089231156401e-09,81,0
0.1,checkpoint,primary,82,-10.209686486936784,0.0009065522790401327,8.897402070315705e-09,82,0
0.1,checkpoint,primary,83,-10.209691096101261,0.0008606611968544516,8.887268494828624e-09,83,0
0.1,checkpoint,primary,84,-10.209695249944986,0.0008171092634773371,8.877659034502665e-09,84,0
0.1,checkpoint,primary,85,-10.209698993617959,0.0007757755944058121,8.868545867114539e-09,85,0
0.1,checkpoint,primary,86,-10.209702367767255,0.0007365457356342704,8.85990271860798e-09,86,0
0.1,checkpoint,primary,87,-10.209705408989285,0.000699311292403932,8.851704769761637e-09,87,0
0.1,checkpoint,primary,88,-10.209708150239644,0.000663969581517921,8.843928569297337e-09,88,0
0.1,checkpoint,primary,89,-10.209710621195484,0.0006304233283924883,8.836551952904693e-09,89,0
0.1,checkpoint,primary,90,-10.209712848584529,0.0005985803730493323,8.829553967485464e-09,90,0
0.1,checkpoint,primary,91,-10.209714856481426,0.0005683533774705103,8.822914800311878e-09,91,0
0.1,checkpoint,primary,92,-10.209716666570491,0.0005396595709404074,8.816615712909742e-09,92,0
0.1,checkpoint,primary,93,-10.209718298386486,0.0005124205010877993,8.810638979094067e-09,93,0
0.1,checkpoint,primary,94,-10.209719769527663,0.0004865617985168221,8.804967826946795e-09,94,0
0.1,checkpoint,primary,95,-10.209721095849122,0.0004620129628121785,8.799586384469092e-09,95,0
0.1,checkpoint,primary,96,-10.209722291636417,0.00043870714581716394,8.794479628559767e-09,96,0
0.1,checkpoint,primary,97,-10.209723369762514,0.00041658095902972,8.789633337239246e-09,97,0
0.1,checkpoint,primary,98,-10.209724341825606,0.0003955742966323846,8.785034044781575e-09,98,0
0.1,checkpoint,primary,99,-10.209725218278905,0.00037563015504212335,8.780668999487639e-09,99,0
0.1,checkpoint,primary,100,-10.209726008541281,0.0003566944687727371,8.776526124070214e-09,100,0
0.1,constrained-ls,primary,0,-9.252938964920094,0.3231793414146411,1.63278770175734e-07,0,0
0.1,constrained-ls,primary,1,-9.516035671627849,0.19418527138892624,9.431318040274284e-08,1,0
0.1,constrained-ls,primary,2,-9.65003010624503,0.13372433587470314,6.935375599974858e-08,2,0
0.1,constrained-ls,primary,3,-9.74001325507251,0.10226537762893083,5.629323814623936e-08,3,0
0.1,constrained-ls,primary,4,-9.808321671783135,0.08443926347487292,4.8030425178218585e-08,4,0
0.1,constrained-ls,primary,5,-9.86342246652283,0.07330681559272244,4.2168156920903664e-08,5,0
0.1,constrained-ls,primary,6,-9.909258765454375,0.06563879781534294,3.770374712926719e-08,6,0
0.1,constrained-ls,primary,7,-9.947918171592606,0.05999247865426376,3.41509240381894e-08,7,0
0.1,constrained-ls,primary,8,-9.980717229922849,0.05557955388181648,3.123710440647852e-08,8,0
0.1,constrained-ls,primary,9,-10.008567507479894,0.05184877685444427,2.8796351951827216e-08,9,0
0.1,constrained-ls,primary,10,-10.03224779566351,0.048499070861219455,2.672232949742751e-08,10,0
0.1,constrained-ls,primary,11,-10.052435675935596,0.04533892831697852,2.494170673123881e-08,11,0
0.1,constrained-ls,primary,12,-10.069651298867726,0.04230003757545161,2.3403143646050647e-08,12,0
0.1,constrained-ls,primary,13,-10.084324908683314,0.039437978307745834,2.2067864308057183e-08,13,0
0.1,constrained-ls,primary,14,-10.096859564931004,0.03680811315288165,2.090282184552635e-08,14,0
0.1,constrained-ls,primary,15,-10.107623775743427,0.034399490601630785,1.987953227106037e-08,15,0
0.1,constrained-ls,primary,16,-10.116929391431055,0.032167668379807064,1.8974933993142707e-08,16,0
0.1,constrained-ls,primary,17,-10.125038435339702,0.030077311544518027,1.8171000723584404e-08,17,0
0.1,constrained-ls,primary,18,-10.132182792531868,0.02811103718899516,1.745336603685452e-08,18,0
0.1,constrained-ls,primary,19,-10.13856424319906,0.02625333705443216,1.681021550611457e-08,19,0
0.1,constrained-ls,primary,20,-10.14432986540401,0.024483244290123916,1.6231984455379058e-08,20,0
0.1,constrained-ls,primary,21,-10.149563917202904,0.022797497840549994,1.5711234251245523e-08,21,0
0.1,constrained-ls,primary,22,-10.154328659267845,0.02121578319424969,1.5241733302744742e-08,22,0
0.1,constrained-ls,primary,23,-10.158703487110978,0.019740273129453412,1.4817501319285348e-08,23,0
0.1,constrained-ls,primary,24,-10.162786376446954,0.01835754938160145,1.4433032263835973e-08,24,0
0.1,constrained-ls,primary,25,-10.166695643165944,0.017079778224160003,1.4083495920343545e-08,25,0
0.1,constrained-ls,primary,26,-10.170567361738327,0.01593460746734388,1.3764161594903883e-08,26,0
0.1,constrained-ls,primary,27,-10.174492576872353,0.014921350236558484,1.3470413352452729e-08,27,0
0.1,constrained-ls,primary,28,-10.178422594642766,0.014022282573062986,1.3198894073187183e-08,28,0
0.1,constrained-ls,primary,29,-10.182228268635432,0.01330452185201066,1.2947612317708192e-08,29,0
0.1,constrained-ls,primary,30,-10.18587235027206,0.012860576405825195,1.2713211819268199e-08,30,0
0.1,constrained-ls,primary,31,-10.189354366749082,0.012628744610095558,1.2490647864549232e-08,31,0
0.1,constrained-ls,primary,32,-10.192565398996772,0.012455497210976902,1.2276766097854162e-08,32,0
0.1,constrained-ls,primary,33,-10.195349575605304,0.01224258499872852,1.2071445568756674e-08,33,0
0.1,constrained-ls,primary,34,-10.197649259744892,0.011965918986541969,1.187552062875586e-08,34,0
0.1,constrained-ls,primary,35,-10.199508333960532,0.011623138665079625,1.1689403324951792e-08,35,0
0.1,constrained-ls,primary,36,-10.20100446257672,0.011218853526174011,1.1513228145645299e-08,36,0
0.1,constrained-ls,primary,37,-10.202212914685452,0.01076687176484441,1.134704812185294e-08,37,0
0.1,constrained-ls,primary,38,-10.203197700974291,0.010286201797508988,1.119078821673623e-08,38,0
0.1,constrained-ls,primary,39,-10.2040104040885,0.009794737232190421,1.1044195555171323e-08,39,0
0.1,constrained-ls,primary,40,-10.204690808124083,0.00930595655886714,1.0906864372980353e-08,40,0
0.1,constrained-ls,primary,41,-10.205268566237558,0.008828711772128742,1.0778295288633245e-08,41,0
0.1,constrained-ls,primary,42,-10.205765365742694,0.008368278033828742,1.0657948779058007e-08,42,0
0.1,constrained-ls,primary,43,-10.20619701273975,0.007927492412289534,1.054528091961087e-08,43,0
0.1,constrained-ls,primary,44,-10.206575133776937,0.007507623502544403,1.0439763971882525e-08,44,0
0.1,constrained-ls,primary,45,-10.206908439980188,0.007108963384622361,1.0340897049157271e-08,45,0
0.1,constrained-ls,primary,46,-10.20720361640535,0.006731213277529766,1.0248210883745947e-08,46,0
0.1,constrained-ls,primary,47,-10.207465928754607,0.006373729821398878,1.0161269226372863e-08,47,0
0.1,constrained-ls,primary,48,-10.207699631011122,0.006035680413815806,1.0079668377597008e-08,48,0
0.1,constrained-ls,primary,49,-10.207908238284489,0.0057161400462935365,1.0003035727545748e-08,49,0
0.1,constrained-ls,primary,50,-10.208094710522674,0.005414150993498391,9.931027814679616e-09,50,0
0.1,constrained-ls,primary,51,-10.208261577996327,0.005128758928717243,9.86332819756675e-09,51,0
0.1,constrained-ls,primary,52,-10.208411028878329,0.00485903425513071,9.799645307740471e-09,52,0
0.1,constrained-ls,primary,53,-10.20854497206184,0.004604084138128951,9.739710375524927e-09,53,0
0.1,constrained-ls,primary,54,-10.208665083616552,0.004363058713962826,9.683275476606058e-09,54,0
0.1,constrained-ls,primary,55,-10.208772842244292,0.004135153736953171,9.63011172106777e-09,55,0
0.1,constrained-ls,primary,56,-10.20886955715632,0.003919610936998431,9.580007590562074e-09,56,0
0.1,constrained-ls,primary,57,-10.208956390587431,0.003715717127307356,9.532767422114896e-09,57,0
0.1,constrained-ls,primary,58,-10.209034376384048,0.003522802477768778,9.488210030306233e-09,58,0
0.1,constrained-ls,primary,59,-10.209104435628484,0.0033402383929569297,9.446167459010595e-09,59,0
0.1,constrained-ls,primary,60,-10.209167389962248,0.003167435213633083,9.40648385188891e-09,60,0
0.1,constrained-ls,primary,61,-10.20922397306087,0.0030038398374244053,9.369014430758161e-09,61,0
0.1,constrained-ls,primary,62,-10.209274840604953,0.002848933376347066,9.333624571905445e-09,62,0
0.1,constrained-ls,primary,63,-10.209320578987873,0.002702228891762099,9.300188970610443e-09,63,0
0.1,constrained-ls,primary,64,-10.209361712965444,0.00256326928154706,9.26859088506792e-09,64,0
0.1,constrained-ls,primary,65,-10.209398712391529,0.0024316252463003236,9.238721451103335e-09,65,0
0.1,constrained-ls,primary,66,-10.209431998166268,0.002306893397436855,9.210479060929743e-09,66,0
0.1,constrained-ls,primary,67,-10.209461947506018,0.0021886945155607136,9.183768799196929e-09,67,0
0.1,constrained-ls,primary,68,-10.209488898610779,0.0020766719186339523,9.15850193021466e-09,68,0
0.1,constrained-ls,primary,69,-10.209513154814793,0.001970489948551358,9.134595431277139e-09,69,0
0.1,constrained-ls,primary,70,-10.209534988271628,0.0018698325863165006,9.111971567383787e-09,70,0
0.1,constrained-ls,primary,71,-10.20955464323924,0.0017744021474717826,9.090557503008803e-09,71,0
0.1,constrained-ls,primary,72,-10.20957233900146,0.0016839180916912895,9.070284947448616e-09,72,0
0.1,constrained-ls,primary,73,-10.209588272477475,0.0015981159362865767,9.051089830250461e-09,73,0
0.1,constrained-ls,primary,74,-10.209602620545738,0.0015167462052271437,9.032912003597313e-09,74,0
0.1,constrained-ls,primary,75,-10.209615542124103,0.001439573500347919,9.015694969527526e-09,75,0
0.1,constrained-ls,primary,76,-10.209627180024974,0.0013663756228536918,8.99938562914011e-09,76,0
0.1,constrained-ls,primary,77,-10.209637662613009,0.0012969427507864596,8.983934051875831e-09,77,0
0.1,constrained-ls,primary,78,-10.209647105290866,0.0012310766857186496,8.969293263093292e-09,78,0
0.1,constrained-ls,primary,79,-10.209655611827127,0.001168590144998389,8.955419048153068e-09,79,0
0.1,constrained-ls,primary,80,-10.209663275544969,0.0011093061273820433,8.942269771566755e-09,80,0
0.1,constrained-ls,primary,81,-10.20967018038712,0.0010530572712148002,8.929806209622892e-09,81,0
0.1,constrained-ls,primary,82,-10.209676401870702,0.000999685316160865,8.917991395840534e-09,82,0
0.1,constrained-ls,primary,83,-10.209682007943515,0.0009490405519339169,8.906790477489895e-09,83,0
0.1,constrained-ls,primary,84,-10.209687059749083,0.0009009813327530598,8.896170582751996e-09,84,0
0.1,constrained-ls,primary,85,-10.209691612316636,0.0008553736073656816,8.886100697311168e-09,85,0
0.1,constrained-ls,primary,86,-10.209695715178002,0.0008120904977964478,8.876551549758545e-09,86,0
0.1,constrained-ls,primary,87,-10.209699412921873,0.0007710118729472477,8.867495504877472e-09,87,0
0.1,constrained-ls,primary,88,-10.20970274569186,0.0007320239973784178,8.858906464528293e-09,88,0
0.1,constrained-ls,primary,89,-10.20970574963142,0.0006950191436802568,8.85075977499306e-09,89,0
0.1,constrained-ls,primary,90,-10.20970845728884,0.0006598952723808511,8.843032140903523e-09,90,0
0.1,constrained-ls,primary,91,-10.209710897974032,0.0006265557165617865,8.835701544760653e-09,91,0
0.1,constrained-ls,primary,92,-10.209713098085421,0.0005949088948385035,8.828747171783871e-09,92,0
0.1,constrained-ls,primary,93,-10.209715081399336,0.0005648680136137625,8.822149339568707e-09,93,0
0.1,constrained-ls,primary,94,-10.209716869334006,0.0005363508244376654,8.815889432524884e-09,94,0
0.1,constrained-ls,primary,95,-10.209718481182847,0.0005092793602501401,8.8099498402959e-09,95,0
0.1,constrained-ls,primary,96,-10.209719934327769,0.00048357971975867073,8.80431390028013e-09,96,0
0.1,constrained-ls,primary,97,-10.209721244428705,0.0004591818372021752,8.798965843595986e-09,97,0
0.1,constrained-ls,primary,98,-10.209722425595142,0.00043601928163400713,8.793890744530859e-09,98,0
0.1,constrained-ls,primary,99,-10.209723490541721,0.0004140290658886971,8.789074473058192e-09,99,0
0.1,constrained-ls,primary,100,-10.209724450723924,0.0003931514648050812,8.784503650230656e-09,100,0
0.5,checkpoint,primary,0,-32.66793610786548,0.1309224170884809,9.543525216659919e-07,0,0
0.5,checkpoint,primary,1,-58.12235637827593,0.3274509988863762,1.3679983451271067e-07,1,0
0.5,checkpoint,primary,2,-68.37146029839028,0.23787039144304345,5.2877539289982524e-08,2,0
0.5,checkpoint,primary,3,-75.51151795838777,0.18700884572811904,2.7360858171422174e-08,3,0
0.5,checkpoint,primary,4,-81.24183524209512,0.15593157116471168,1.621008659784495e-08,4,0
0.5,checkpoint,primary,5,-86.15143068785318,0.13435875500548145,1.0370447149278861e-08,5,0
0.5,checkpoint,primary,6,-90.4861448831654,0.11776655283677473,6.983827260251528e-09,6,0
0.5,checkpoint,primary,7,-94.36164383816896,0.10402040003981267,4.889916038040878e-09,7,0
0.5,checkpoint,primary,8,-97.85256552715178,0.09235052061185417,3.5360860655078385e-09,8,0
0.5,checkpoint,primary,9,-101.01752656243485,0.08238737410522151,2.6287100699259655e-09,9,0
0.5,checkpoint,primary,10,-103.90127222529199,0.07371103421006736,2.0014900600373846e-09,10,0
0.5,checkpoint,primary,11,-106.53485265529066,0.06609685610115307,1.556946743678852e-09,11,0
0.5,checkpoint,primary,12,-108.9528146637261,0.05944524138528662,1.234728532264054e-09,12,0
0.5,checkpoint,primary,13,-111.18909503468764,0.053635405429771243,9.961495841199229e-10,13,0
0.5,checkpoint,primary,14,-113.26498712266384,0.04858712187043057,8.16199778067599e-10,14,0
0.5,checkpoint,primary,15,-115.20588490080046,0.04423609072283158,6.780116707175025e-10,15,0
0.5,checkpoint,primary,16,-117.0290045070335,0.040458656001439275,5.700732704024029e-10,16,0
0.5,checkpoint,primary,17,-118.74184269319004,0.03712876402502113,4.845695666654197e-10,17,0
0.5,checkpoint,primary,18,-120.35503875115586,0.03416058828165819,4.1597278077126614e-10,18,0
0.5,checkpoint,primary,19,-121.87511892466479,0.03152181947091698,3.6035040204201303e-10,19,0
0.5,checkpoint,primary,20,-123.31122307908937,0.029206625934854402,3.14762361406557e-10,20,0
0.5,checkpoint,primary,21,-124.6721772440076,0.027191160450595775,2.7699369068446853e-10,21,0
0.5,checkpoint,primary,22,-125.96957159392402,0.025406005966201017,2.453478468038909e-10,22,0
0.5,checkpoint,primary,23,-127.2090313216186,0.02377215111533898,2.1859348120673074e-10,23,0
0.5,checkpoint,primary,24,-128.3884076595821,0.022258435674774146,1.9584130461498583e-10,24,0
0.5,checkpoint,primary,25,-129.50426072121326,0.020842883315366212,1.7641032526988578e-10,25,0
0.5,checkpoint,primary,26,-130.5638033510986,0.01957349075852044,1.5973019829252927e-10,26,0
0.5,checkpoint,primary,27,-131.57455972945934,0.0184393518525221,1.4529668520512497e-10,27,0
0.5,checkpoint,primary,28,-132.5325956492752,0.017398692680648087,1.327429578312332e-10,28,0
0.5,checkpoint,primary,29,-133.44954994539404,0.016497749542773055,1.2175027570035809e-10,29,0
0.5,checkpoint,primary,30,-134.31674281317072,0.015618543018620645,1.1206373078535072e-10,30,0
0.5,checkpoint,primary,31,-135.12810713359679,0.014794331715901943,1.0352966437017924e-10,31,0
0.5,checkpoint,primary,32,-135.88721065883288,0.014009439104440025,9.598374992167974e-11,32,0
0.5,checkpoint,primary,33,-136.60452260337073,0.013275196820809687,8.92815370392525e-11,33,0
0.5,checkpoint,primary,34,-137.27819433713697,0.012574519630871195,8.331407331394247e-11,34,0
0.5,checkpoint,primary,35,-137.91508105013148,0.011934128709484293,7.798139933521542e-11,35,0
0.5,checkpoint,primary,36,-138.52464078343337,0.01133905229239951,7.318821046988664e-11,36,0
0.5,checkpoint,primary,37,-139.1098230325684,0.010790658190022673,6.886481233592325e-11,37,0
0.5,checkpoint,primary,38,-139.67116249179836,0.01026694377818943,6.494732724705678e-11,38,0
0.5,checkpoint,primary,39,-140.19255827811398,0.009694639537958905,6.140865528750697e-11,39,0
0.5,checkpoint,primary,40,-140.67835467561417,0.009140444822781368,5.822311550184372e-11,40,0
0.5,checkpoint,primary,41,-141.13993168432367,0.008638753322775083,5.534865743685062e-11,41,0
0.5,checkpoint,primary,42,-141.5765740431863,0.008165470410529285,5.274093893970561e-11,42,0
0.5,checkpoint,primary,43,-141.98756528915374,0.007718972755483722,5.037500221618423e-11,43,0
0.5,checkpoint,primary,44,-142.3833662119067,0.007338034228189294,4.821600030049146e-11,44,0
0.5,checkpoint,primary,45,-142.7562248233233,0.006957230959614369,4.6238332846075576e-11,45,0
0.5,checkpoint,primary,46,-143.1099481085705,0.006578803405010658,4.442644578591569e-11,46,0
0.5,checkpoint,primary,47,-143.4524715041256,0.00622671450387241,4.276479533181563e-11,47,0
0.5,checkpoint,primary,48,-143.78215533435696,0.00589490890199279,4.123694275291922e-11,48,0
0.5,checkpoint,primary,49,-144.1043404670449,0.005615997744909729,3.982786942412067e-11,49,0
0.5,checkpoint,primary,50,-144.4178666043765,0.005366330646058182,3.8519949762792075e-11,50,0
0.5,checkpoint,primary,51,-144.72808315884635,0.005180632087910864,3.729951241667652e-11,51,0
0.5,checkpoint,primary,52,-145.03797738933378,0.005070741173515914,3.614653845956832e-11,52,0
0.5,checkpoint,primary,53,-145.33731198182588,0.0049851852299843125,3.5048366396179006e-11,53,0
0.5,checkpoint,primary,54,-145.61843429800444,0.004911664235531854,3.4001788957869867e-11,54,0
0.5,checkpoint,primary,55,-145.87477175489366,0.004802379752385899,3.300556348158998e-11,55,0
0.5,checkpoint,primary,56,-146.10820219353417,0.004677607760636471,3.2063456990103504e-11,56,0
0.5,checkpoint,primary,57,-146.32426957976787,0.004561913586415889,3.1172619391538835e-11,57,0
0.5,checkpoint,primary,58,-146.5239743015106,0.004424679590495806,3.0328284687315685e-11,58,0
0.5,checkpoint,primary,59,-146.70794768591776,0.004262697648981295,2.9531514223494613e-11,59,0
0.5,checkpoint,primary,60,-146.87714510101483,0.004082111823670576,2.878347573793597e-11,60,0
0.5,checkpoint,primary,61,-147.0319499507824,0.00388187903972409,2.808441685308833e-11,61,0
0.5,checkpoint,primary,62,-147.17302300288824,0.003662427946040825,2.743491483052723e-11,62,0
0.5,checkpoint,primary,63,-147.30500579055524,0.0034585293871901013,2.683422610017773e-11,63,0
0.5,checkpoint,primary,64,-147.43254404006618,0.0032877089231575507,2.627587048911449e-11,64,0
0.5,checkpoint,primary,65,-147.55363222778266,0.0031159590051352826,2.5753662680911243e-11,65,0
0.5,checkpoint,primary,66,-147.66819661278043,0.0029386768273771957,2.5266671306351915e-11,66,0
0.5,checkpoint,primary,67,-147.77801306924115,0.0027660685091446813,2.4813739582668663e-11,67,0
0.5,checkpoint,primary,68,-147.88377617825924,0.0025992954471178997,2.43925857810596e-11,68,0
0.5,checkpoint,primary,69,-147.9836365497828,0.0024214697329311696,2.4001738789639046e-11,69,0
0.5,checkpoint,primary,70,-148.07691911824367,0.0022388137827138443,2.3642176371482736e-11,70,0
0.5,checkpoint,primary,71,-148.16588771257767,0.0020693767275021258,2.3312901188843107e-11,71,0
0.5,checkpoint,primary,72,-148.2527373914346,0.001911550201988521,2.301053352719069e-11,72,0
0.5,checkpoint,primary,73,-148.33947724677404,0.0017607835544674044,2.2732245392673796e-11,73,0
0.5,checkpoint,primary,74,-148.42902836383806,0.0016763183253070395,2.247567491062245e-11,74,0
0.5,checkpoint,primary,75,-148.5242342570336,0.0018483632598554679,2.2237941582423388e-11,75,0
