method,alpha,qualified,grid_rmse,matched_sample_rmse
A,0,True,0.000465265135374414,0.0008753232574976444
B,0,True,0.0004040776783933434,0.0011555522911304902
A,0.1,True,0.0005067872463612855,0.0015027214936463354
B,0.1,False,0.0015384438189166296,0.005140300514961824
A,0.5,False,0.0012016265964792563,0.004124197312919139
B,0.5,False,0.0009535752454773352,0.0032245661338560806
A,1,False,0.001298346282707399,0.0044599576351732
B,1,False,0.0006521125696917285,0.002283880160070105
