state_id,serial_id,prediction,metric,n,bias,rmse,p99,max
baseline-best-28,1,analytic,estimation,200,0.000404015143031502,0.0007497051728652768,0.0023642198443805107,0.002833381984637562
baseline-best-28,1,analytic,operator,200,0.0011938920533125998,0.04054855842624704,0.1546079111814862,0.16623020724380383
baseline-best-28,1,analytic,total,200,0.0015979071963441015,0.04065815519672645,0.1562477850013707,0.16693947366928202
baseline-best-28,1,matched,estimation,200,0.00039564614034799444,0.0007356753202911,0.002418223499426997,0.00290941096588071
baseline-best-28,1,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,1,matched,total,200,0.00039564614034799444,0.0007356753202911,0.002418223499426997,0.00290941096588071
baseline-best-28,2,analytic,estimation,200,-0.00043015262966801526,0.0009773787123591104,0.0022069184580224555,0.0022272036007356943
baseline-best-28,2,analytic,operator,200,-0.0009420663585866498,0.038858782116441656,0.15908289871988718,0.20009574390311458
baseline-best-28,2,analytic,total,200,-0.001372218988254665,0.03898972534055896,0.1591462106756072,0.2002952453576501
baseline-best-28,2,matched,estimation,200,-0.0004301024301420008,0.0009808748349986861,0.0021905783494244324,0.002227946853222862
baseline-best-28,2,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,2,matched,total,200,-0.0004301024301420008,0.0009808748349986861,0.0021905783494244324,0.002227946853222862
baseline-best-28,3,analytic,estimation,200,-0.0028099415821442107,0.003010274953895902,0.004529555913252381,0.004593865735861902
baseline-best-28,3,analytic,operator,200,0.0013613293627027373,0.0407409185887607,0.17244946079318207,0.19062384276882627
baseline-best-28,3,analytic,total,200,-0.0014486122194414738,0.04076298438608224,0.17595976384574924,0.18820458890538616
baseline-best-28,3,matched,estimation,200,-0.002816882683530319,0.0030177349391476006,0.004507484882024404,0.0045852962832549915
baseline-best-28,3,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,3,matched,total,200,-0.002816882683530319,0.0030177349391476006,0.004507484882024404,0.0045852962832549915
baseline-best-28,4,analytic,estimation,200,0.001618073373242276,0.0019636557454792663,0.004476008351176564,0.004617669434437532
baseline-best-28,4,analytic,operator,200,0.0012320588220468048,0.03619367412027493,0.1408577342265363,0.16602969739583812
baseline-best-28,4,analytic,total,200,0.0028501321952890805,0.0364359720514952,0.1427140949478729,0.16619851518817996
baseline-best-28,4,matched,estimation,200,0.0016104919110102877,0.00195325430806178,0.004472938761253875,0.004616649083195146
baseline-best-28,4,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,4,matched,total,200,0.0016104919110102877,0.00195325430806178,0.004472938761253875,0.004616649083195146
baseline-best-28,5,analytic,estimation,200,0.0005474311158155785,0.0009119947893094977,0.0025257277865027294,0.00299163076539144
baseline-best-28,5,analytic,operator,200,0.003433265182555945,0.0385688316879302,0.1371760109839927,0.2703432082905851
baseline-best-28,5,analytic,total,200,0.003980696298371524,0.038702101195661684,0.13772514173426068,0.27176097430247925
baseline-best-28,5,matched,estimation,200,0.0005411052950469674,0.0009065099340112519,0.0025839947910890615,0.0030291180275763274
baseline-best-28,5,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,5,matched,total,200,0.0005411052950469674,0.0009065099340112519,0.0025839947910890615,0.0030291180275763274
baseline-best-28,6,analytic,estimation,200,-0.00047796380962307814,0.0008094872997665524,0.0015530036532393487,0.0017367979700613212
baseline-best-28,6,analytic,operator,200,0.0012495408183007218,0.02659329205467769,0.12938369269981623,0.14288246727054202
baseline-best-28,6,analytic,total,200,0.0007715770086776437,0.026649114894921985,0.1288370497926571,0.14242784184994625
baseline-best-28,6,matched,estimation,200,-0.00048430077456378486,0.0008082378279850336,0.0015149518471974655,0.0016146078460388402
baseline-best-28,6,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,6,matched,total,200,-0.00048430077456378486,0.0008082378279850336,0.0015149518471974655,0.0016146078460388402
baseline-best-28,7,analytic,estimation,200,-0.0003796512431155778,0.0005124185594288397,0.0011180952252170667,0.001130601729312758
baseline-best-28,7,analytic,operator,200,0.0003068987238856519,0.01174084164013823,0.05768042216851115,0.08351114490982174
baseline-best-28,7,analytic,total,200,-7.275251922992587e-05,0.011787003999984197,0.05865006563746906,0.08462413192995333
baseline-best-28,7,matched,estimation,200,-0.0003822696200205908,0.0005132136323165849,0.001149364638867792,0.00120635096816199
baseline-best-28,7,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,7,matched,total,200,-0.0003822696200205908,0.0005132136323165849,0.001149364638867792,0.00120635096816199
baseline-best-28,8,analytic,estimation,200,-3.701644311192249e-05,0.00011039522871916758,0.00029576478010018975,0.0005841645233746195
baseline-best-28,8,analytic,operator,200,-0.00029918117459307896,0.005163630723301093,0.027160449197076664,0.03164414804401941
baseline-best-28,8,analytic,total,200,-0.00033619761770500145,0.005169488672333368,0.02701100084591601,0.03167946222772837
baseline-best-28,8,matched,estimation,200,-3.7808606763244406e-05,0.00010781548912481232,0.00029577807016605007,0.0005672960530183901
baseline-best-28,8,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,8,matched,total,200,-3.7808606763244406e-05,0.00010781548912481232,0.00029577807016605007,0.0005672960530183901
baseline-best-28,9,analytic,estimation,200,0.002014968682968203,0.002309401721713505,0.004298323137501336,0.004323413615662908
baseline-best-28,9,analytic,operator,200,-0.0019044316069698952,0.04713794355285309,0.17350272662073685,0.2764896362392272
baseline-best-28,9,analytic,total,200,0.00011053707599830752,0.04719794911222999,0.17264623505190202,0.2758203051838466
baseline-best-28,9,matched,estimation,200,0.002028563168928776,0.0023237320773275816,0.004359641315579754,0.004394947468655097
baseline-best-28,9,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,9,matched,total,200,0.002028563168928776,0.0023237320773275816,0.004359641315579754,0.004394947468655097
baseline-best-28,10,analytic,estimation,200,-0.0009474330924873833,0.0011968590739281644,0.0023366506942714693,0.0026804546235732474
baseline-best-28,10,analytic,operator,200,0.0004182577505309484,0.05369931930283858,0.1978414336079175,0.23352029086938414
baseline-best-28,10,analytic,total,200,-0.000529175341956435,0.053886651663763725,0.2005085024886205,0.23435416067131004
baseline-best-28,10,matched,estimation,200,-0.0009495023513232689,0.0011792498327736843,0.002259818070034225,0.0024088088332179236
baseline-best-28,10,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,10,matched,total,200,-0.0009495023513232689,0.0011792498327736843,0.002259818070034225,0.0024088088332179236
baseline-best-28,11,analytic,estimation,200,-0.0014502198186464826,0.001713838482743637,0.003168273830757462,0.0033163112826643526
baseline-best-28,11,analytic,operator,200,-0.001155453052530404,0.03866868216695601,0.13459545198693895,0.1423858337615227
baseline-best-28,11,analytic,total,200,-0.0026056728711768866,0.038902137868970545,0.13682641266463652,0.14397340737425657
