serial_id,weakest,second,third
1,7.5545372220223796e-19,-0.49536415766368053,-0.70084056701731201
2,-1.5288872174032661e-19,0.12282820458435365,0.081092496735904157
3,-1.5291581455998387e-19,-0.030254332049628352,-0.047397326886510063
4,-6.3786661431288003e-19,0.40934636381129791,1.6716045231553814e-14
5,8.1292917731283971e-19,-0.10237026334461025,-1.8543568497730264e-15
6,1,1.2619619225102327e-18,2.3234186952813478e-19
7,-4.127393187420833e-19,0.52748482085787174,1.6218443426615071e-14
8,5.497300108019561e-19,-0.13996302685729556,-2.3530810710195563e-15
9,-3.9212196002329959e-19,0.036749370071104862,9.079295164143663e-16
10,4.1843793438997899e-19,-0.49536415766370023,0.70084056701731745
11,-1.0081921612627769e-19,0.12282820458435545,-0.081092496735901257
12,1.7450597229352643e-20,-0.030254332049629542,0.047397326886510258
