serial_id,weakest,second,third
1,-1.7309438941614539e-18,-0.47821847535674256,0.013796599240856413
2,-8.7948173254105031e-19,0.13578631466927082,0.0032568756568789863
3,-3.1197315167381126e-19,-0.039563854185529407,-0.00099579576740953788
4,1.0530538249740273e-19,0.4893016474390553,0.70388570667860428
5,-2.130412439452946e-18,-0.13639509811623751,-0.086905784714014847
6,1,-1.8148591966687632e-18,9.9207813225471886e-19
7,1.5775913700572866e-18,0.474393522871774,-0.69850987059092828
8,-1.3832138416011134e-18,-0.13420948718362827,0.080981509382468106
9,2.2199966168016162e-19,0.039071857730039468,-0.045982195948575826
10,1.5142450956327257e-19,-0.47821847535676232,0.013796599240768426
11,-1.003006084076784e-18,0.13578631466927327,0.0032568756568888417
12,-4.5394135127567722e-19,-0.039563854185530802,-0.00099579576741539301
