serial_id,weakest,second,third
1,7.24098164934758e-11,-0.48017558754027223,0.7008406363728048
2,9.0163032014104406e-11,0.13500912817476218,-0.081092494733400328
3,-9.4157823990090672e-11,-0.03906264339258559,0.04739733012509427
4,2.9483970407386772e-10,0.48130888395786947,1.3727087419478177e-08
5,-1.7816567640743252e-10,-0.13429051132387371,2.3729480419000725e-09
6,1,-6.1036800613404098e-11,1.2678659963794187e-17
7,-1.4079147959478196e-10,0.47956604175567202,1.9083151833099853e-07
8,-7.8280234263529581e-12,-0.13465734417350542,-1.8235719033564179e-08
9,-1.2616077399662801e-11,0.039341795004717579,1.1410931727341924e-08
10,7.2409815903230243e-11,-0.4801755393447375,-0.70084049765108369
11,9.0163035240289314e-11,0.13500912233666221,0.081092499018525957
12,-9.415782608137936e-11,-0.039062640006149833,-0.047397323327015732
