serial_id,weakest,second,third
1,7.2476176224837869e-11,-0.48015588057827574,0.70084063637349858
2,9.0113814304352515e-11,0.13501664139353661,-0.08109249473551082
3,-9.4035289512045059e-11,-0.039067730484526962,0.047397330125623534
4,2.9420933667446559e-10,0.48138640288137874,1.3174790392346265e-08
5,-1.7792621610958105e-10,-0.13431147870712615,2.4400145323792918e-09
6,1,-6.057032690536673e-11,1.2956264201457426e-17
7,-1.4092292124099968e-10,0.4795180286326402,1.9139306808439993e-07
8,-7.7190437812404234e-12,-0.13465337368466873,-1.8300138988381897e-08
9,-1.2745134058016451e-11,0.039339976564421973,1.1448106773072755e-08
10,7.2476175631567869e-11,-0.48015583238589032,-0.70084049765038525
11,9.0113817541390563e-11,0.13501663555588911,0.081092499016410025
12,-9.4035291605591898e-11,-0.039067727098308885,-0.047397323326535054
