serial_id,weakest,second,third
1,7.2426443714319234e-11,-0.48017067500220273,0.70084063637297966
2,9.0150835330038115e-11,0.13501100084564774,-0.081092494733919107
3,-9.4127329521108514e-11,-0.039063911740442846,0.047397330125224006
4,2.9468302247557773e-10,0.48132820474166105,1.3591428595559999e-08
5,-1.7810611585224504e-10,-0.13429573824055296,2.3894204076450066e-09
6,1,-6.0920666705532916e-11,1.2746982460421191e-17
7,-1.4082434151891881e-10,0.47955407780966519,1.9096944046895138e-07
8,-7.8009193381651981e-12,-0.13465635508701404,-1.8251541009817012e-08
9,-1.2648247141380286e-11,0.039341342910412636,1.1420062397544087e-08
10,7.2426443123319935e-11,-0.48017062680746275,-0.70084049765090695
11,9.0150838558929106e-11,0.13501099500766114,0.08109249901800511
12,-9.4127331612962876e-11,-0.039063908354062093,-0.047397323326897889
