serial_id,weakest,second,third
1,3.7604733966866875e-18,-0.48126940894357706,-0.70084056701728514
2,6.0081895259963024e-18,0.13459371058068387,0.081092496735904393
3,-3.1157012835963627e-18,-0.038775144888381075,-0.047397326886508599
4,1.0903610310715152e-17,0.47704705888456761,2.7850944568206134e-13
5,-9.6836136918892906e-18,-0.13312018816722662,-3.0589033986977834e-14
6,1,-2.2272650306955133e-18,1.0153791351467234e-19
7,-5.8158282366972775e-18,0.48216494824026368,-1.8705418460316646e-13
8,-2.4244604360808112e-18,-0.13486789972359278,2.3122092757852962e-14
9,9.8083173423269515e-20,0.039424432484373904,-1.3460675156525158e-14
10,3.5144627393759281e-18,-0.48126940894359765,0.70084056701734432
11,4.6927852239144653e-18,0.1345937105806862,-0.081092496735900715
12,-3.8708722263788074e-18,-0.038775144888382372,0.04739732688651186
