method,alpha,qualified,reason,grid_rmse,matched_sample_rmse
B,0.0,True,qualified,0.0004040776783933434,0.0011555522911304902
A,0.0,True,qualified,0.000465265135374414,0.0008753232574976444
B,0.1,False,budget-exhausted,0.0015384438189166296,0.005140300514961824
A,0.1,True,qualified,0.0005067872463612855,0.0015027214936463354
B,0.5,False,budget-exhausted,0.0009535752454773352,0.0032245661338560806
A,0.5,False,budget-exhausted,0.0012016265964792563,0.004124197312919139
B,1.0,False,budget-exhausted,0.0006521125696917285,0.002283880160070105
A,1.0,False,budget-exhausted,0.001298346282707399,0.0044599576351732
C,checkpoint,False,budget-exhausted,0.0021374943194372355,0.006810036384830599
