effective_n,effective_fraction,maximum_row_share,top_one_percent_share,underflow_count,owner,alpha,rows,variance,scale_equation,denominator,denominator_margin,log_prefactor,scaled_prefactor,linear_weight_share,seed,serial_id
65460.0,1.0,1.527650473571647e-05,0.010006110601894286,0,0,0.0,65460,1.3683941358229627e-05,1.3477524083690508e-14,65460.0,1.0,-5.013870951174262,2.899073269325198e-13,6.40748760987716e-13,checkpoint,1
54057.7092533663,0.8260526161483825,1.9765164062548416e-05,0.012945976527500938,221,1,0.2,65441,1.8447369709266323e-07,-0.0030310132859968724,40637.534157494934,0.6209797245991799,0.8420004599098513,1.0125857985548693e-10,1.7297525960136366e-10,checkpoint,2
65456.0,1.0,1.527743827914935e-05,0.010006722072842826,0,2,0.0,65456,2.612380329852215e-05,-1.5954588067594737e-15,65456.0,1.0,-5.660433764088845,1.5186599143684073e-13,3.356313922029812e-13,checkpoint,3
65463.0,1.0,1.5275804653010098e-05,0.010005652047721613,0,3,0.0,65463,2.37870298258354e-05,-8.230215243805189e-16,65463.0,1.0,-5.56683426478706,1.6676706126526734e-13,3.68602912381565e-13,checkpoint,4
57697.58111834549,0.8817137002711802,1.961169982565371e-05,0.01284542704450073,318,4,0.4,65438,1.705923390571507e-07,-0.00041090836042427574,35188.48383419794,0.5377377645129426,2.4568613660042797,5.090459806849159e-10,8.76383833992631e-10,checkpoint,5
49154.01442554222,0.7507065752178966,2.341387591807819e-05,0.01533607994960251,192,5,0.7999999999999999,65477,4.3560210876241325e-08,0.0005502707319206381,21019.19446685823,0.32101645565401943,7.367988020993198,6.912453437340038e-08,9.968079405854837e-08,checkpoint,6
60903.67230073231,0.9312772913656734,1.755892668745204e-05,0.011483537345960011,0,6,0.2,65398,3.878550209790304e-08,-0.000727960213634951,47001.100360332355,0.7186932377187736,2.55806416396833,5.632598943932749e-10,1.0830872574276631e-09,checkpoint,7
32874.88280481185,0.5022746868668926,3.321061957770654e-05,0.021751525896256507,7315,7,1.0,65452,2.948668358329348e-11,6.4061348810651175e-06,6970.0737111802755,0.10649137858553254,19.931795877081775,0.019770818193495368,0.020100193752376403,checkpoint,8
50397.671772910784,0.7705594730125188,2.1031467855941318e-05,0.013775605886788231,280,8,0.2,65404,1.637682490034896e-07,-0.006395821872529164,37596.89699232979,0.5748409423327288,0.9735260498741077,1.1549220421087872e-10,1.8541107333206535e-10,checkpoint,9
65466.0,1.0,1.5275104634466746e-05,0.010005193535575718,0,9,0.0,65466,1.8719598296209814e-05,1.5404543732255256e-14,65466.0,1.0,-5.327310636605546,2.1190151697685137e-13,4.6838443496316e-13,checkpoint,10
36570.25685858442,0.5587083776424172,3.05843095925227e-05,0.02003249066796922,7378,10,1.0,65455,5.3513318536296505e-09,-0.0009778667719607115,9554.666750409651,0.14597306165166377,12.1300070489624,8.086317798817781e-06,8.92698296958362e-06,checkpoint,11
