seed,phase,iteration,objective,stationarity,minimum_variance,maximum_variance,linear_solves,backtracks
checkpoint,primary,47,-907.2924391635302,0.061955558606451196,5.158635812699191e-12,2.3091879300214766e-05,47,0
checkpoint,primary,48,-911.9124941121944,0.060488711099928656,4.97111627073728e-12,2.321527411283753e-05,48,0
checkpoint,primary,49,-916.4182572036672,0.05830290074101061,4.802409927892778e-12,2.3333448708565822e-05,49,0
checkpoint,primary,50,-920.8911127331293,0.059549119291401977,4.648680821510258e-12,2.3447197565874384e-05,50,0
checkpoint,primary,51,-924.9292727993409,0.061581261800842425,4.511318207738475e-12,2.3556895946639784e-05,51,0
checkpoint,primary,52,-928.7308884594934,0.06126094991647819,4.4087079079473265e-12,2.3662409544350887e-05,52,0
checkpoint,primary,53,-932.665745474668,0.059458808800185455,4.311636312750625e-12,2.376428748716044e-05,53,0
checkpoint,primary,54,-936.5336665165335,0.05696134378138019,4.198384468796963e-12,2.3862711935854836e-05,54,0
checkpoint,primary,55,-940.1941887527774,0.05443013995726285,4.087050198186543e-12,2.3957732612185057e-05,55,0
checkpoint,primary,56,-943.8688722343246,0.05215011709885448,3.988732090015372e-12,2.4049517072115413e-05,56,0
checkpoint,primary,57,-947.9629381146785,0.05009262384330366,3.884754907761809e-12,2.4138825229741524e-05,57,0
checkpoint,primary,58,-951.9735652605909,0.04818003332111415,3.7586645010274284e-12,2.4227095284220344e-05,58,0
checkpoint,primary,59,-955.6953230283295,0.04647473574148956,3.653058097907396e-12,2.431664516926116e-05,59,0
checkpoint,primary,60,-959.3392876269143,0.0447894008211883,3.5686281532646598e-12,2.4410420193019815e-05,60,0
checkpoint,primary,61,-962.8751693393195,0.04298016157335314,3.4887155023112552e-12,2.4510054869397174e-05,61,0
checkpoint,primary,62,-966.3788018533307,0.041050532943883396,3.4151173309529218e-12,2.4614884256281853e-05,62,0
checkpoint,primary,63,-969.9707694004012,0.03898049903258936,3.344689087620511e-12,2.472332132092937e-05,63,0
checkpoint,primary,64,-973.4886090369348,0.03682395550831772,3.2689113589820514e-12,2.4834104734463513e-05,64,0
checkpoint,primary,65,-976.8691042496175,0.03477014918376626,3.1951450154420683e-12,2.494641378504385e-05,65,0
checkpoint,primary,66,-980.1819280377472,0.03296784499640052,3.128637267983654e-12,2.505994946395338e-05,66,0
checkpoint,primary,67,-983.3910764828636,0.031495550963736636,3.068916886238511e-12,2.5175262128594952e-05,67,0
checkpoint,primary,68,-986.5650452171496,0.03037186980916199,3.0194822542634416e-12,2.5293636045778136e-05,68,0
checkpoint,primary,69,-989.6015139869085,0.02940200438878466,2.974799996481671e-12,2.541632329127706e-05,69,0
checkpoint,primary,70,-992.551328383773,0.02838271597232806,2.936327428458905e-12,2.5544640535962054e-05,70,0
checkpoint,primary,71,-995.7365171125103,0.027180952228121037,2.895143979308407e-12,2.5679770793467687e-05,71,0
checkpoint,primary,72,-999.111927162274,0.02580781338940328,2.84015745341351e-12,2.5821873399246673e-05,72,0
checkpoint,primary,73,-1002.4795757255141,0.02456102116405997,2.7808451117470708e-12,2.5969407216772064e-05,73,0
checkpoint,primary,74,-1005.7642240902119,0.026919614118568656,2.722809594429812e-12,2.6119407043247027e-05,74,0
checkpoint,primary,75,-1008.8369068584003,0.029280259487529763,2.6745102238289318e-12,2.6268965389015168e-05,75,0
checkpoint,primary,76,-1011.7194648923016,0.031564441196184186,2.6381969343391543e-12,2.6415533284569855e-05,76,0
checkpoint,primary,77,-1014.4642913634539,0.03371815424322495,2.601109848689334e-12,2.6557199243123834e-05,77,0
checkpoint,primary,78,-1017.0806776256745,0.035762409084527845,2.565780903235431e-12,2.6692912706025515e-05,78,0
checkpoint,primary,79,-1019.6782457078477,0.037699518502443206,2.5393301066531804e-12,2.6822072857597622e-05,79,0
checkpoint,primary,80,-1022.506626632036,0.03947597828678016,2.5149522431668754e-12,2.7057252908680003e-05,80,0
checkpoint,primary,81,-1025.4058944562446,0.041000960214927336,2.4856686441411184e-12,2.7343786749009943e-05,81,0
checkpoint,primary,82,-1028.160922640843,0.042188085376013394,2.452573805810878e-12,2.7641190791357267e-05,82,0
checkpoint,primary,83,-1030.7948663951806,0.043006981112973526,2.422307003029235e-12,2.7953443468742788e-05,83,0
checkpoint,primary,84,-1033.418602245346,0.04346872568516361,2.39704752893808e-12,2.8273855616189717e-05,84,0
checkpoint,primary,85,-1036.2568721917055,0.04360176176000411,2.3756330407070202e-12,2.859616856977943e-05,85,0
checkpoint,primary,86,-1039.2390722577936,0.04343803666844654,2.3536820845700085e-12,2.8919939886171203e-05,86,0
checkpoint,primary,87,-1042.3025304760304,0.04301247458486527,2.3267483232743084e-12,2.9252661257756458e-05,87,0
checkpoint,primary,88,-1045.2304359486513,0.04235916798243349,2.297440462394215e-12,2.960399674225113e-05,88,0
checkpoint,primary,89,-1047.9689198183119,0.04149911201773505,2.2732465102689604e-12,2.995013472918677e-05,89,0
checkpoint,primary,90,-1050.8042036313152,0.040443374465836464,2.2551746007247817e-12,3.0316773028021392e-05,90,0
checkpoint,primary,91,-1053.6407359470138,0.03921283757404049,2.2414703513829264e-12,3.072907878065896e-05,91,0
checkpoint,primary,92,-1056.6822761320313,0.03783864307820833,2.2308160858352224e-12,3.1175300208302776e-05,92,0
checkpoint,primary,93,-1059.7356872783766,0.036352550880512736,2.222192308848172e-12,3.1638513936357994e-05,93,0
checkpoint,primary,94,-1062.789022972188,0.03478194817032227,2.2146894950176963e-12,3.210651695593701e-05,94,0
checkpoint,primary,95,-1066.21563218442,0.03315146045610232,2.207541554463562e-12,3.258363648854199e-05,95,0
checkpoint,primary,96,-1069.8117994837307,0.031487307722650994,2.200021705116312e-12,3.307287368637993e-05,96,0
checkpoint,primary,97,-1073.2131905793815,0.029815567020446153,2.191417796238854e-12,3.35522227388742e-05,97,0
checkpoint,primary,98,-1077.3594879988482,0.02858226748479082,2.181252364860968e-12,3.39824364088012e-05,98,0
checkpoint,primary,99,-1081.6352868376775,0.027605582859780466,2.1696208751285392e-12,3.437550535873375e-05,99,0
checkpoint,primary,100,-1085.8807784804499,0.02666755263120136,2.156869056222254e-12,3.4753945779612603e-05,100,0
constrained-ls,primary,0,-209.19378661676288,0.4478144876158454,4.393173204744547e-09,1.3972507802127358e-06,0,0
constrained-ls,primary,1,-279.4180939849581,0.3018792910857353,3.618768122590501e-09,9.611083260546122e-07,1,0
constrained-ls,primary,2,-331.9392915582715,0.28512826364006233,1.9175812645404e-09,1.15280141756202e-06,2,0
constrained-ls,primary,3,-377.0929333713956,0.2562634178482217,1.1790409366876284e-09,1.358542678155558e-06,3,0
constrained-ls,primary,4,-417.9415766436584,0.23244747869065938,7.797510964987009e-10,1.7405088110450649e-06,4,0
constrained-ls,primary,5,-454.7646984163664,0.2118474883085504,4.4811123397375836e-10,2.2011323032382894e-06,5,0
constrained-ls,primary,6,-488.00864566748237,0.19255825957583136,2.6360847515203845e-10,2.684348922166144e-06,6,0
constrained-ls,primary,7,-518.1186535382168,0.17408130953337428,1.7231559310325687e-10,3.1744645049913765e-06,7,0
constrained-ls,primary,8,-545.4214075740451,0.15719077169085469,1.2218248323625713e-10,3.650107567547231e-06,8,0
constrained-ls,primary,9,-569.8679081146665,0.1422099699917402,9.211686628910452e-11,4.168022741792016e-06,9,0
constrained-ls,primary,10,-592.0046956101302,0.12898600458926712,7.27385798583409e-11,4.665577122691825e-06,10,0
constrained-ls,primary,11,-611.5997219888737,0.11718452854337576,5.961854066299556e-11,5.139801788441852e-06,11,0
constrained-ls,primary,12,-629.3638390434488,0.10649866043573296,5.0186242210336655e-11,5.632462555863254e-06,12,0
constrained-ls,primary,13,-645.1887801274771,0.10018577682327966,4.318842031889472e-11,6.13919565862375e-06,13,0
constrained-ls,primary,14,-658.6513823822042,0.09737700727966293,3.821802816154898e-11,6.635291909799327e-06,14,0
constrained-ls,primary,15,-670.9866352299836,0.09443789266243681,3.432693633061006e-11,7.1423786787186045e-06,15,0
constrained-ls,primary,16,-681.7373251250568,0.09115792135311603,3.122999299410572e-11,7.642439645115419e-06,16,0
constrained-ls,primary,17,-692.042985688805,0.08734544205399712,2.8573222379132912e-11,8.132160354078534e-06,17,0
constrained-ls,primary,18,-701.4848944075867,0.0832829544813166,2.619454282817147e-11,8.648738470725045e-06,18,0
constrained-ls,primary,19,-710.3991230030786,0.07950195182201521,2.4155881927783114e-11,9.21689125237814e-06,19,0
constrained-ls,primary,20,-719.6502689605811,0.07682186735112624,2.2236031209316595e-11,9.847705370198707e-06,20,0
constrained-ls,primary,21,-728.4501349259998,0.07560380840502158,2.036791758160997e-11,1.0501984857037779e-05,21,0
constrained-ls,primary,22,-736.6693285459705,0.07456721076375565,1.869709862400283e-11,1.1135454345053155e-05,22,0
constrained-ls,primary,23,-744.2148604794995,0.07358918232050575,1.7285533546253655e-11,1.1794839589431316e-05,23,0
constrained-ls,primary,24,-750.9981453105403,0.07246593225183197,1.6134425456328107e-11,1.2527380292989738e-05,24,0
constrained-ls,primary,25,-757.9398156109512,0.07115257383012812,1.511509214544612e-11,1.333162075143996e-05,25,0
constrained-ls,primary,26,-764.8451684049527,0.0697991234657077,1.415158091397747e-11,1.4190258198276586e-05,26,0
constrained-ls,primary,27,-771.9695002129712,0.06853470357758747,1.3202559179848317e-11,1.5072436757615951e-05,27,0
constrained-ls,primary,28,-778.4160874246928,0.0673225541238162,1.2336482157432886e-11,1.590365278657593e-05,28,0
constrained-ls,primary,29,-785.0205404578649,0.06604430759829015,1.1597263442764557e-11,1.6634214802375028e-05,29,0
constrained-ls,primary,30,-791.4872556567217,0.06465253515601298,1.0898262711699056e-11,1.7281691989328888e-05,30,0
constrained-ls,primary,31,-797.8676783855268,0.06319270779449056,1.0266407831540689e-11,1.7877741393221868e-05,31,0
constrained-ls,primary,32,-803.551637236865,0.06171256676926704,9.700139073375698e-12,1.843964579466084e-05,32,0
constrained-ls,primary,33,-809.624380407831,0.060187796475420115,9.208495330080507e-12,1.8971951062912295e-05,33,0
constrained-ls,primary,34,-816.5213633265197,0.05854966397637074,8.628676653906678e-12,1.9473179158382548e-05,34,0
constrained-ls,primary,35,-822.422483475383,0.05678768025315715,8.064049669686975e-12,1.994077251356978e-05,35,0
constrained-ls,primary,36,-827.5886620922846,0.05500628593140248,7.653996221082238e-12,2.0372931161233187e-05,36,0
constrained-ls,primary,37,-832.6434503882057,0.053352591326784944,7.323644380763471e-12,2.076831410767102e-05,37,0
constrained-ls,primary,38,-837.9547548632961,0.05190198452839515,7.001933861891356e-12,2.1125124496979e-05,38,0
constrained-ls,primary,39,-842.9089418761776,0.053544054357968475,6.677185894156836e-12,2.144193080204378e-05,39,0
constrained-ls,primary,40,-847.9434091478589,0.054939766322839374,6.3901432812924045e-12,2.1719056755685553e-05,40,0
constrained-ls,primary,41,-852.4481800234747,0.055864150788455226,6.122095932282375e-12,2.1958838608478967e-05,41,0
constrained-ls,primary,42,-857.714202379236,0.05714878791197956,5.882550979479178e-12,2.2164394546352857e-05,42,0
constrained-ls,primary,43,-862.4428678012217,0.058747543586225144,5.618839396147489e-12,2.2339675082938543e-05,43,0
constrained-ls,primary,44,-866.7303676621573,0.06041961426829593,5.422945352119673e-12,2.2489485911172424e-05,44,0
constrained-ls,primary,45,-871.1035606058117,0.06214952435567867,5.25701518582807e-12,2.2619405044247374e-05,45,0
constrained-ls,primary,46,-875.6389266302934,0.06375302765731268,5.095170189684634e-12,2.273558932577544e-05,46,0
constrained-ls,primary,47,-880.1197586022647,0.06480489417121864,4.9191987740373835e-12,2.2843840097845264e-05,47,0
constrained-ls,primary,48,-883.9750697855752,0.06497682889955796,4.768408527316407e-12,2.2948178227187723e-05,48,0
constrained-ls,primary,49,-887.7472196347087,0.06445101851255401,4.65788699815339e-12,2.305045333747861e-05,49,0
constrained-ls,primary,50,-891.9578352207429,0.0636442063036468,4.547185504918269e-12,2.315174295171891e-05,50,0
constrained-ls,primary,51,-896.1426469745098,0.06254763484196542,4.415757166302089e-12,2.3253075377569775e-05,51,0
constrained-ls,primary,52,-900.3948218872217,0.060885693297128764,4.2891127551030004e-12,2.3355461722680193e-05,52,0
constrained-ls,primary,53,-905.1019860349658,0.058639540479323855,4.1561434420515125e-12,2.3459874703263773e-05,53,0
constrained-ls,primary,54,-909.2220161015113,0.055850542070750304,4.0091294589601714e-12,2.3566586155357326e-05,54,0
constrained-ls,primary,55,-912.8518706468068,0.052488610528033615,3.906618826494205e-12,2.3674833446122207e-05,55,0
constrained-ls,primary,56,-916.4066737713105,0.04864733095859989,3.823299424534443e-12,2.3783584123531814e-05,56,0
constrained-ls,primary,57,-919.8044699221987,0.04459532534012026,3.742366464721374e-12,2.389221123851034e-05,57,0
constrained-ls,primary,58,-923.002883361417,0.04288583198917243,3.675874834816974e-12,2.40005754528984e-05,58,0
constrained-ls,primary,59,-926.2095617639782,0.04150248975895294,3.6203610717897802e-12,2.41092222706548e-05,59,0
constrained-ls,primary,60,-929.3335311496284,0.040306089132299,3.559489938908388e-12,2.4219462371141906e-05,60,0
constrained-ls,primary,61,-932.3361875714148,0.03928662302474332,3.4997216733112224e-12,2.433277509704433e-05,61,0
constrained-ls,primary,62,-935.4092230563971,0.038341174422704634,3.4470333180744865e-12,2.4449742363643396e-05,62,0
constrained-ls,primary,63,-938.6535941202341,0.037312066611624624,3.3876379080750166e-12,2.4570042327090235e-05,63,0
constrained-ls,primary,64,-941.702333753691,0.03609812738231164,3.3166394830893987e-12,2.469345536787603e-05,64,0
constrained-ls,primary,65,-944.6794433306687,0.03466794723550649,3.257027857088606e-12,2.482022375156383e-05,65,0
constrained-ls,primary,66,-947.7321205926114,0.03295011606101254,3.1998185973882273e-12,2.495089501475067e-05,66,0
constrained-ls,primary,67,-950.7901836707696,0.031021123387890655,3.1380728539496673e-12,2.5085684935263943e-05,67,0
constrained-ls,primary,68,-953.6497609711369,0.029015974477812435,3.0814380662011073e-12,2.522326687464533e-05,68,0
constrained-ls,primary,69,-956.5876267904532,0.027010552038292786,3.0381739810293114e-12,2.536114505936766e-05,69,0
constrained-ls,primary,70,-959.5545379925187,0.025009967676541296,2.9950351560459978e-12,2.5497154361311832e-05,70,0
constrained-ls,primary,71,-962.5624730294561,0.02613448727973596,2.9490201521016737e-12,2.5629859999635776e-05,71,0
constrained-ls,primary,72,-965.2896283324523,0.028206506963306767,2.896153669350621e-12,2.5758235909588573e-05,72,0
constrained-ls,primary,73,-967.8426389196896,0.03007649841822998,2.857108497215065e-12,2.5881577763369955e-05,73,0
constrained-ls,primary,74,-970.3262698329768,0.03172462348015615,2.8300911813692984e-12,2.5999615076342394e-05,74,0
constrained-ls,primary,75,-972.7210340815012,0.033135559353549886,2.8047481633081416e-12,2.61124069929902e-05,75,0
constrained-ls,primary,76,-975.2607421193127,0.03429761623978827,2.775395233885006e-12,2.6219994941108736e-05,76,0
constrained-ls,primary,77,-977.8733167595793,0.035200040541046924,2.7404949361313325e-12,2.632269746819368e-05,77,0
constrained-ls,primary,78,-980.3789760944031,0.03584245304967377,2.7037530926241236e-12,2.6420816808070685e-05,78,0
constrained-ls,primary,79,-982.7706370803902,0.036233137967028005,2.6722736014329454e-12,2.6514510540886826e-05,79,0
constrained-ls,primary,80,-985.0786916269582,0.03638304385627988,2.6463616588497002e-12,2.6603968912911003e-05,80,0
constrained-ls,primary,81,-987.1921334965809,0.036307595804896335,2.623928324601173e-12,2.668955472077244e-05,81,0
constrained-ls,primary,82,-989.282375052687,0.036022005797819355,2.602876158227285e-12,2.677164020946986e-05,82,0
constrained-ls,primary,83,-991.3952803058448,0.03554362015517908,2.58065415852575e-12,2.6850650322854275e-05,83,0
constrained-ls,primary,84,-993.4769301877984,0.034896767790759516,2.554924628002982e-12,2.6926869176056492e-05,84,0
constrained-ls,primary,85,-995.5258918968476,0.03411187857907539,2.526618521584928e-12,2.7000453513714296e-05,85,0
constrained-ls,primary,86,-997.6186969837568,0.03321689031315215,2.4997356964260417e-12,2.707169081267918e-05,86,0
constrained-ls,primary,87,-999.6150778044279,0.03222994759638335,2.4741270740994814e-12,2.714085176971534e-05,87,0
constrained-ls,primary,88,-1001.5494337913965,0.031166248960090272,2.448540378308326e-12,2.7208211715076664e-05,88,0
constrained-ls,primary,89,-1003.536961613265,0.030042297981515913,2.423028800637755e-12,2.727417055487739e-05,89,0
constrained-ls,primary,90,-1005.5652215346965,0.028875063672783564,2.398598835147927e-12,2.7338877818009072e-05,90,0
constrained-ls,primary,91,-1007.4864938836822,0.02768162492399994,2.377484345355843e-12,2.7402386064789908e-05,91,0
constrained-ls,primary,92,-1009.2646564968289,0.02647968490855767,2.357952331349487e-12,2.7464832466639178e-05,92,0
constrained-ls,primary,93,-1010.9486895214104,0.025290434104163033,2.33895713882629e-12,2.7526518010987512e-05,93,0
constrained-ls,primary,94,-1012.6677181541504,0.024130598598737667,2.3208258745448442e-12,2.7587729583247232e-05,94,0
constrained-ls,primary,95,-1014.4735542028019,0.02299864070902271,2.3036891124775027e-12,2.764876932732117e-05,95,0
constrained-ls,primary,96,-1016.2418114885807,0.021868783261495738,2.2893020699033286e-12,2.770981515717258e-05,96,0
constrained-ls,primary,97,-1017.9047075057289,0.02072953847323627,2.278404638584069e-12,2.7771067198599142e-05,97,0
constrained-ls,primary,98,-1019.5567350935866,0.01958311819563146,2.269821438631428e-12,2.7832426489339037e-05,98,0
constrained-ls,primary,99,-1021.2942158482273,0.01841826443651181,2.2622528581585474e-12,2.789368200211513e-05,99,0
constrained-ls,primary,100,-1023.027843611647,0.017256217124572253,2.2546454775984535e-12,2.795437645925913e-05,100,0
