dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
baseline,guarded,wider-double,mixed-double,1.0150610510858568e-15,1.1102230246251565e-16,True,True
baseline,guarded,first-stage-float32,narrower-float32,6.344131594727862e-16,2.220446049250313e-16,True,True
baseline,guarded,first-stage-float32,wider-float32,5.921189419638662e-16,2.220446049250313e-16,True,True
baseline,guarded,first-stage-float32,mixed-float32,6.245004505800007e-16,2.220446049250313e-16,True,True
baseline,guarded,narrower-float32,wider-float32,5.075305274411955e-16,2.220446049250313e-16,True,True
baseline,guarded,narrower-float32,mixed-float32,7.612957913673434e-16,2.220446049250313e-16,True,True
baseline,guarded,wider-float32,mixed-float32,6.344131594727861e-16,2.220446049250313e-16,True,True
baseline,guarded-log,first-stage-double,narrower-double,8.881784197001246e-16,1.1102230246251565e-16,True,True
baseline,guarded-log,first-stage-double,wider-double,5.551115123125781e-16,3.3306690738754696e-16,True,True
baseline,guarded-log,first-stage-double,mixed-double,8.881784197001246e-16,1.1102230246251565e-16,True,True
baseline,guarded-log,narrower-double,wider-double,6.34413156928661e-16,2.220446049250313e-16,True,True
baseline,guarded-log,narrower-double,mixed-double,3.9474596431116655e-16,1.1102230246251565e-16,True,True
baseline,guarded-log,wider-double,mixed-double,5.075305255429289e-16,2.220446049250313e-16,True,True
baseline,guarded-log,first-stage-float32,narrower-float32,6.344131594727861e-16,2.220446049250313e-16,True,True
baseline,guarded-log,first-stage-float32,wider-float32,9.868649098180498e-16,2.220446049250313e-16,True,True
baseline,guarded-log,first-stage-float32,mixed-float32,5.551115148256939e-16,1.1102230246251565e-16,True,True
baseline,guarded-log,narrower-float32,wider-float32,1.1419436870510144e-15,2.220446049250313e-16,True,True
baseline,guarded-log,narrower-float32,mixed-float32,5.07530527578229e-16,2.220446049250313e-16,True,True
baseline,guarded-log,wider-float32,mixed-float32,6.344131594727857e-16,2.220446049250313e-16,True,True
weak-1e-2,legacy,first-stage-double,narrower-double,1.525247433594703e-15,3.3306690738754696e-15,True,True
weak-1e-2,legacy,first-stage-double,wider-double,1.522591576628784e-15,2.220446049250313e-15,True,True
weak-1e-2,legacy,first-stage-double,mixed-double,8.689829748818385e-16,1.3322676295501878e-15,True,True
weak-1e-2,legacy,narrower-double,wider-double,1.1419436824715879e-15,2.55351295663786e-15,True,True
weak-1e-2,legacy,narrower-double,mixed-double,1.5187013072702622e-15,2.4424906541753444e-15,True,True
weak-1e-2,legacy,wider-double,mixed-double,1.1455721067771374e-15,8.881784197001252e-16,True,True
weak-1e-2,legacy,first-stage-float32,narrower-float32,4.514907344247062e-15,1.354472090042691e-14,True,True
weak-1e-2,legacy,first-stage-float32,wider-float32,4.662937093238768e-15,1.3988810110276972e-14,True,True
weak-1e-2,legacy,first-stage-float32,mixed-float32,3.959795785528163e-15,1.1879386363489175e-14,True,True
weak-1e-2,legacy,narrower-float32,wider-float32,1.6471767116301232e-15,2.4424906541753444e-15,True,True
weak-1e-2,legacy,narrower-float32,mixed-float32,3.4889018537677413e-15,6.217248937900877e-15,True,True
weak-1e-2,legacy,wider-float32,mixed-float32,1.841725142137621e-15,3.774758283725532e-15,True,True
weak-1e-2,guarded,first-stage-double,narrower-double,1.525247433594703e-15,3.3306690738754696e-15,True,True
weak-1e-2,guarded,first-stage-double,wider-double,1.522591576628784e-15,2.220446049250313e-15,True,True
weak-1e-2,guarded,first-stage-double,mixed-double,8.689829748818385e-16,1.3322676295501878e-15,True,True
weak-1e-2,guarded,narrower-double,wider-double,1.1419436824715879e-15,2.55351295663786e-15,True,True
weak-1e-2,guarded,narrower-double,mixed-double,1.5187013072702622e-15,2.4424906541753444e-15,True,True
weak-1e-2,guarded,wider-double,mixed-double,1.1455721067771374e-15,8.881784197001252e-16,True,True
weak-1e-2,guarded,first-stage-float32,narrower-float32,4.514907344247062e-15,1.354472090042691e-14,True,True
weak-1e-2,guarded,first-stage-float32,wider-float32,4.662937093238768e-15,1.3988810110276972e-14,True,True
weak-1e-2,guarded,first-stage-float32,mixed-float32,3.959795785528163e-15,1.1879386363489175e-14,True,True
weak-1e-2,guarded,narrower-float32,wider-float32,1.6471767116301232e-15,2.4424906541753444e-15,True,True
weak-1e-2,guarded,narrower-float32,mixed-float32,3.4889018537677413e-15,6.217248937900877e-15,True,True
weak-1e-2,guarded,wider-float32,mixed-float32,1.841725142137621e-15,3.774758283725532e-15,True,True
weak-1e-2,guarded-log,first-stage-double,narrower-double,2.1471294344165785e-15,2.1094237467877974e-15,True,True
weak-1e-2,guarded-log,first-stage-double,wider-double,1.0408340855860852e-15,1.887379141862766e-15,True,True
weak-1e-2,guarded-log,first-stage-double,mixed-double,1.2175794963459865e-15,1.887379141862766e-15,True,True
weak-1e-2,guarded-log,narrower-double,wider-double,1.1062953488304943e-15,7.771561172376096e-16,True,True
weak-1e-2,guarded-log,narrower-double,mixed-double,9.63735264431559e-16,8.881784197001252e-16,True,True
weak-1e-2,guarded-log,wider-double,mixed-double,7.612957883143922e-16,1.6653345369377348e-15,True,True
