dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
near-0.02,guarded,narrower-float32,mixed-float32,2.2359643671196035e-11,7.866152174074159e-12,False,True
near-0.02,guarded,wider-float32,mixed-float32,1.637546760413555e-12,6.217248937900877e-13,False,True
near-0.02,guarded-log,first-stage-double,narrower-double,9.643079985315572e-15,6.661338147750939e-16,False,True
near-0.02,guarded-log,first-stage-double,wider-double,7.612957883143911e-16,1.1102230246251565e-16,False,True
near-0.02,guarded-log,first-stage-double,mixed-double,2.5376526277146424e-15,6.661338147750939e-16,False,True
near-0.02,guarded-log,narrower-double,wider-double,9.896845248087035e-15,6.661338147750939e-16,False,True
near-0.02,guarded-log,narrower-double,mixed-double,7.1054273576009474e-15,3.3306690738754696e-16,False,True
near-0.02,guarded-log,wider-double,mixed-double,3.1720657846432963e-15,7.771561172376096e-16,False,True
near-0.02,guarded-log,first-stage-float32,narrower-float32,2.7914186046441166e-15,7.771561172376096e-16,False,True
near-0.02,guarded-log,first-stage-float32,wider-float32,1.497228121666411e-11,4.9861226258940405e-12,False,True
near-0.02,guarded-log,first-stage-float32,mixed-float32,4.694658562356014e-15,1.1102230246251565e-15,False,True
near-0.02,guarded-log,narrower-float32,wider-float32,1.4969489798059506e-11,4.985345469776803e-12,False,True
near-0.02,guarded-log,narrower-float32,mixed-float32,2.4107692893162793e-15,3.3306690738754696e-16,False,True
near-0.02,guarded-log,wider-float32,mixed-float32,1.4967586558101823e-11,4.985012402869415e-12,False,True
