dataset,variant,case,legacy_joint_qualified,regular_qualified,failures,unavailable,derivative_status,local_correction_source,replay_passed,oracle_recovered,float32_accuracy_passed,rss,stop_reason
duplicate,guarded,first-stage-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,narrower-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,wider-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,mixed-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.917549547163144e-27,native-lm-stop
duplicate,guarded,first-stage-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,narrower-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,wider-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded,mixed-float32,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,5.94965761691359e-12,native-lm-stop
duplicate,guarded-log,first-stage-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,narrower-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,wider-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,mixed-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.6177387120564267e-27,native-lm-stop
duplicate,guarded-log,first-stage-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,narrower-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,wider-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,guarded-log,mixed-float32,False,False,local_correction;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,5.91456544868951e-12,native-lm-stop
