dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
weak-1e-2,guarded-log,wider-float32,search,0.145899791,1206157312,fit total
weak-1e-2,guarded-log,wider-float32,endpoint_audit,0.055706458,1206157312,fit total
weak-1e-2,guarded-log,wider-float32,search reference,0.060411334,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,wider-float32,new endpoint audit,0.018145083,998047744,audit process
weak-1e-2,guarded-log,wider-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,mixed-float32,search,0.121408375,1206157312,fit total
weak-1e-2,guarded-log,mixed-float32,endpoint_audit,0.055913541,1206157312,fit total
weak-1e-2,guarded-log,mixed-float32,search reference,0.05347224899999999,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,mixed-float32,new endpoint audit,0.018362,998047744,audit process
weak-1e-2,guarded-log,mixed-float32,high precision,0,,new endpoint audit
weak-1e-4,legacy,first-stage-double,search,0.127653209,1206157312,fit total
weak-1e-4,legacy,first-stage-double,endpoint_audit,0.05801425,1206157312,fit total
weak-1e-4,legacy,first-stage-double,search reference,0.052940667999999996,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,first-stage-double,new endpoint audit,22.354646334,998047744,audit process
weak-1e-4,legacy,first-stage-double,high precision,21.35175575,998047744,new endpoint audit
weak-1e-4,legacy,narrower-double,search,0.122583,1206157312,fit total
weak-1e-4,legacy,narrower-double,endpoint_audit,0.055574916,1206157312,fit total
weak-1e-4,legacy,narrower-double,search reference,0.05354037500000001,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,narrower-double,new endpoint audit,20.962229042,998047744,audit process
weak-1e-4,legacy,narrower-double,high precision,20.006310625,998047744,new endpoint audit
weak-1e-4,legacy,wider-double,search,0.16264425,1206157312,fit total
weak-1e-4,legacy,wider-double,endpoint_audit,0.056542084,1206157312,fit total
weak-1e-4,legacy,wider-double,search reference,0.06658495800000001,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,wider-double,new endpoint audit,20.876033125,998047744,audit process
weak-1e-4,legacy,wider-double,high precision,19.998176791,998047744,new endpoint audit
weak-1e-4,legacy,mixed-double,search,0.150735542,1206157312,fit total
weak-1e-4,legacy,mixed-double,endpoint_audit,0.055194833,1206157312,fit total
weak-1e-4,legacy,mixed-double,search reference,0.064294665,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,mixed-double,new endpoint audit,21.438000417,998047744,audit process
weak-1e-4,legacy,mixed-double,high precision,20.561153,998047744,new endpoint audit
weak-1e-4,legacy,first-stage-float32,search,0.119700042,1206157312,fit total
weak-1e-4,legacy,first-stage-float32,endpoint_audit,0.055602166,1206157312,fit total
weak-1e-4,legacy,first-stage-float32,search reference,0.052839750000000005,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,first-stage-float32,new endpoint audit,21.117324459,998047744,audit process
weak-1e-4,legacy,first-stage-float32,high precision,20.232403958,998047744,new endpoint audit
weak-1e-4,legacy,narrower-float32,search,0.136602542,1206157312,fit total
weak-1e-4,legacy,narrower-float32,endpoint_audit,0.055364375,1206157312,fit total
weak-1e-4,legacy,narrower-float32,search reference,0.064253166,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,narrower-float32,new endpoint audit,20.80270575,998047744,audit process
weak-1e-4,legacy,narrower-float32,high precision,19.930226875,998047744,new endpoint audit
weak-1e-4,legacy,wider-float32,search,0.162221042,1206157312,fit total
weak-1e-4,legacy,wider-float32,endpoint_audit,0.05575875,1206157312,fit total
weak-1e-4,legacy,wider-float32,search reference,0.065621416,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,wider-float32,new endpoint audit,20.654543125,998047744,audit process
weak-1e-4,legacy,wider-float32,high precision,19.782525958,998047744,new endpoint audit
weak-1e-4,legacy,mixed-float32,search,0.152069416,1206157312,fit total
weak-1e-4,legacy,mixed-float32,endpoint_audit,0.055435416,1206157312,fit total
weak-1e-4,legacy,mixed-float32,search reference,0.070192711,1206157312,search; RSS is search-process high-water mark
weak-1e-4,legacy,mixed-float32,new endpoint audit,20.651299458,998047744,audit process
weak-1e-4,legacy,mixed-float32,high precision,19.771238708,998047744,new endpoint audit
weak-1e-4,guarded,first-stage-double,search,0.128317209,1206157312,fit total
weak-1e-4,guarded,first-stage-double,endpoint_audit,0.057231791,1206157312,fit total
weak-1e-4,guarded,first-stage-double,search reference,0.053789291,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,first-stage-double,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,first-stage-double,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,narrower-double,search,0.122480875,1206157312,fit total
weak-1e-4,guarded,narrower-double,endpoint_audit,0.056801375,1206157312,fit total
weak-1e-4,guarded,narrower-double,search reference,0.052870792,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,narrower-double,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,narrower-double,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,wider-double,search,0.162498958,1206157312,fit total
weak-1e-4,guarded,wider-double,endpoint_audit,0.0556765,1206157312,fit total
weak-1e-4,guarded,wider-double,search reference,0.06585929,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,wider-double,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,wider-double,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,mixed-double,search,0.151519542,1206157312,fit total
weak-1e-4,guarded,mixed-double,endpoint_audit,0.055310292,1206157312,fit total
weak-1e-4,guarded,mixed-double,search reference,0.065053208,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,mixed-double,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,mixed-double,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,first-stage-float32,search,0.120089666,1206157312,fit total
weak-1e-4,guarded,first-stage-float32,endpoint_audit,0.056039667,1206157312,fit total
weak-1e-4,guarded,first-stage-float32,search reference,0.053468209,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,first-stage-float32,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,first-stage-float32,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,narrower-float32,search,0.138301833,1206157312,fit total
weak-1e-4,guarded,narrower-float32,endpoint_audit,0.055694709,1206157312,fit total
weak-1e-4,guarded,narrower-float32,search reference,0.065302249,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,narrower-float32,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,narrower-float32,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,wider-float32,search,0.163076042,1206157312,fit total
weak-1e-4,guarded,wider-float32,endpoint_audit,0.056063917,1206157312,fit total
weak-1e-4,guarded,wider-float32,search reference,0.06663824900000001,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,wider-float32,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,wider-float32,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded,mixed-float32,search,0.153243417,1206157312,fit total
weak-1e-4,guarded,mixed-float32,endpoint_audit,0.056049333,1206157312,fit total
weak-1e-4,guarded,mixed-float32,search reference,0.07056283399999999,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded,mixed-float32,new endpoint audit,0,998047744,audit process
weak-1e-4,guarded,mixed-float32,high precision,0,998047744,new endpoint audit
weak-1e-4,guarded-log,first-stage-double,search,0.155147041,1206157312,fit total
weak-1e-4,guarded-log,first-stage-double,endpoint_audit,0.055902875,1206157312,fit total
weak-1e-4,guarded-log,first-stage-double,search reference,0.065469125,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,first-stage-double,new endpoint audit,21.02326925,998047744,audit process
weak-1e-4,guarded-log,first-stage-double,high precision,20.145988542,998047744,new endpoint audit
weak-1e-4,guarded-log,narrower-double,search,0.121117042,1206157312,fit total
weak-1e-4,guarded-log,narrower-double,endpoint_audit,0.0558015,1206157312,fit total
weak-1e-4,guarded-log,narrower-double,search reference,0.053466124999999996,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,narrower-double,new endpoint audit,20.416398125,998047744,audit process
weak-1e-4,guarded-log,narrower-double,high precision,19.5547115,998047744,new endpoint audit
weak-1e-4,guarded-log,wider-double,search,0.17569375,1206157312,fit total
weak-1e-4,guarded-log,wider-double,endpoint_audit,0.056052,1206157312,fit total
weak-1e-4,guarded-log,wider-double,search reference,0.07198775,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,wider-double,new endpoint audit,20.415662542,998047744,audit process
weak-1e-4,guarded-log,wider-double,high precision,19.524505709,998047744,new endpoint audit
weak-1e-4,guarded-log,mixed-double,search,0.165127542,1206157312,fit total
weak-1e-4,guarded-log,mixed-double,endpoint_audit,0.055374166,1206157312,fit total
weak-1e-4,guarded-log,mixed-double,search reference,0.070642418,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,mixed-double,new endpoint audit,21.253171583,998047744,audit process
weak-1e-4,guarded-log,mixed-double,high precision,20.362954416,998047744,new endpoint audit
weak-1e-4,guarded-log,first-stage-float32,search,0.194117708,1206157312,fit total
weak-1e-4,guarded-log,first-stage-float32,endpoint_audit,0.055908542,1206157312,fit total
weak-1e-4,guarded-log,first-stage-float32,search reference,0.089170126,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,first-stage-float32,new endpoint audit,20.758103125,998047744,audit process
weak-1e-4,guarded-log,first-stage-float32,high precision,19.883715208,998047744,new endpoint audit
weak-1e-4,guarded-log,narrower-float32,search,0.133847625,1206157312,fit total
weak-1e-4,guarded-log,narrower-float32,endpoint_audit,0.056136958,1206157312,fit total
weak-1e-4,guarded-log,narrower-float32,search reference,0.058186668,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,narrower-float32,new endpoint audit,20.573427291,998047744,audit process
weak-1e-4,guarded-log,narrower-float32,high precision,19.6871815,998047744,new endpoint audit
weak-1e-4,guarded-log,wider-float32,search,0.189456167,1206157312,fit total
weak-1e-4,guarded-log,wider-float32,endpoint_audit,0.055552459,1206157312,fit total
weak-1e-4,guarded-log,wider-float32,search reference,0.0776375,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,wider-float32,new endpoint audit,20.65943775,998047744,audit process
weak-1e-4,guarded-log,wider-float32,high precision,19.777899042,998047744,new endpoint audit
weak-1e-4,guarded-log,mixed-float32,search,0.169710167,1206157312,fit total
weak-1e-4,guarded-log,mixed-float32,endpoint_audit,0.055201875,1206157312,fit total
weak-1e-4,guarded-log,mixed-float32,search reference,0.07600737600000002,1206157312,search; RSS is search-process high-water mark
weak-1e-4,guarded-log,mixed-float32,new endpoint audit,20.172587167,135151616,audit process
weak-1e-4,guarded-log,mixed-float32,high precision,19.271634333,135151616,new endpoint audit
active-a,legacy,first-stage-double,search,1.054133917,1206157312,fit total
active-a,legacy,first-stage-double,endpoint_audit,0.058043,1206157312,fit total
active-a,legacy,first-stage-double,search reference,0.481562995,1206157312,search; RSS is search-process high-water mark
active-a,legacy,first-stage-double,new endpoint audit,19.685335666,134414336,audit process
active-a,legacy,first-stage-double,high precision,18.714117334,130056192,new endpoint audit
active-a,legacy,first-stage-double,boundary scan,109.960283625,135004160,audit process
active-a,legacy,narrower-double,search,0.411545958,1206157312,fit total
active-a,legacy,narrower-double,endpoint_audit,0.058337416,1206157312,fit total
active-a,legacy,narrower-double,search reference,0.184093789,1206157312,search; RSS is search-process high-water mark
active-a,legacy,narrower-double,new endpoint audit,20.263636125,135004160,audit process
active-a,legacy,narrower-double,high precision,19.207083625,135004160,new endpoint audit
active-a,legacy,narrower-double,boundary scan,109.7771075,135004160,audit process
active-a,legacy,wider-double,search,0.582132625,1206157312,fit total
active-a,legacy,wider-double,endpoint_audit,0.057325541,1206157312,fit total
active-a,legacy,wider-double,search reference,0.254594749,1206157312,search; RSS is search-process high-water mark
active-a,legacy,wider-double,new endpoint audit,20.253318792,135004160,audit process
active-a,legacy,wider-double,high precision,19.2054785,135004160,new endpoint audit
active-a,legacy,wider-double,boundary scan,111.088062792,135004160,audit process
active-a,legacy,mixed-double,search,0.421697584,1206157312,fit total
active-a,legacy,mixed-double,endpoint_audit,0.0576745,1206157312,fit total
active-a,legacy,mixed-double,search reference,0.18654349799999997,1206157312,search; RSS is search-process high-water mark
active-a,legacy,mixed-double,new endpoint audit,20.924074209,135004160,audit process
active-a,legacy,mixed-double,high precision,19.800070916,135004160,new endpoint audit
active-a,legacy,mixed-double,boundary scan,114.016723125,135004160,audit process
active-a,legacy,first-stage-float32,search,0.699071875,1206157312,fit total
active-a,legacy,first-stage-float32,endpoint_audit,0.056722417,1206157312,fit total
active-a,legacy,first-stage-float32,search reference,0.3133317919999999,1206157312,search; RSS is search-process high-water mark
active-a,legacy,first-stage-float32,new endpoint audit,21.315891708,135004160,audit process
active-a,legacy,first-stage-float32,high precision,20.274450542,135004160,new endpoint audit
active-a,legacy,first-stage-float32,boundary scan,124.354150208,135004160,audit process
active-a,legacy,narrower-float32,search,0.53444125,1206157312,fit total
active-a,legacy,narrower-float32,endpoint_audit,0.05814925,1206157312,fit total
active-a,legacy,narrower-float32,search reference,0.23643529400000002,1206157312,search; RSS is search-process high-water mark
active-a,legacy,narrower-float32,new endpoint audit,19.813362417,135004160,audit process
active-a,legacy,narrower-float32,high precision,18.822525917,135004160,new endpoint audit
active-a,legacy,narrower-float32,boundary scan,110.698688333,135004160,audit process
active-a,legacy,wider-float32,search,0.494132791,1206157312,fit total
active-a,legacy,wider-float32,endpoint_audit,0.05621025,1206157312,fit total
active-a,legacy,wider-float32,search reference,0.21852950200000001,1206157312,search; RSS is search-process high-water mark
active-a,legacy,wider-float32,new endpoint audit,20.010039375,135004160,audit process
active-a,legacy,wider-float32,high precision,19.05284025,135004160,new endpoint audit
active-a,legacy,wider-float32,boundary scan,110.217578791,135004160,audit process
active-a,legacy,mixed-float32,search,0.417689416,1206157312,fit total
active-a,legacy,mixed-float32,endpoint_audit,0.056501583,1206157312,fit total
active-a,legacy,mixed-float32,search reference,0.18965816599999996,1206157312,search; RSS is search-process high-water mark
active-a,legacy,mixed-float32,new endpoint audit,20.936177084,135004160,audit process
active-a,legacy,mixed-float32,high precision,19.972948875,135004160,new endpoint audit
active-a,legacy,mixed-float32,boundary scan,110.351703584,135004160,audit process
active-a,guarded,first-stage-double,search,1.040378458,1206157312,fit total
active-a,guarded,first-stage-double,endpoint_audit,0.0580545,1206157312,fit total
active-a,guarded,first-stage-double,search reference,0.4763622920000001,1206157312,search; RSS is search-process high-water mark
active-a,guarded,first-stage-double,new endpoint audit,0,134414336,audit process
active-a,guarded,first-stage-double,high precision,0,130056192,new endpoint audit
active-a,guarded,first-stage-double,boundary scan,0,135004160,audit process
active-a,guarded,narrower-double,search,0.408512292,1206157312,fit total
active-a,guarded,narrower-double,endpoint_audit,0.057842708,1206157312,fit total
active-a,guarded,narrower-double,search reference,0.181726626,1206157312,search; RSS is search-process high-water mark
active-a,guarded,narrower-double,new endpoint audit,0,135004160,audit process
active-a,guarded,narrower-double,high precision,0,135004160,new endpoint audit
active-a,guarded,narrower-double,boundary scan,0,135004160,audit process
active-a,guarded,wider-double,search,0.583068625,1206157312,fit total
active-a,guarded,wider-double,endpoint_audit,0.057369875,1206157312,fit total
active-a,guarded,wider-double,search reference,0.25423316700000004,1206157312,search; RSS is search-process high-water mark
active-a,guarded,wider-double,new endpoint audit,0,135004160,audit process
active-a,guarded,wider-double,high precision,0,135004160,new endpoint audit
active-a,guarded,wider-double,boundary scan,0,135004160,audit process
active-a,guarded,mixed-double,search,0.421881083,1206157312,fit total
active-a,guarded,mixed-double,endpoint_audit,0.057694666,1206157312,fit total
active-a,guarded,mixed-double,search reference,0.18754320800000002,1206157312,search; RSS is search-process high-water mark
active-a,guarded,mixed-double,new endpoint audit,0,135004160,audit process
active-a,guarded,mixed-double,high precision,0,135004160,new endpoint audit
active-a,guarded,mixed-double,boundary scan,0,135004160,audit process
active-a,guarded,first-stage-float32,search,0.702805875,1206157312,fit total
active-a,guarded,first-stage-float32,endpoint_audit,0.05641175,1206157312,fit total
active-a,guarded,first-stage-float32,search reference,0.31430350100000004,1206157312,search; RSS is search-process high-water mark
active-a,guarded,first-stage-float32,new endpoint audit,0,135004160,audit process
active-a,guarded,first-stage-float32,high precision,0,135004160,new endpoint audit
active-a,guarded,first-stage-float32,boundary scan,0,135004160,audit process
active-a,guarded,narrower-float32,search,0.535242416,1206157312,fit total
active-a,guarded,narrower-float32,endpoint_audit,0.059601792,1206157312,fit total
active-a,guarded,narrower-float32,search reference,0.23711141599999996,1206157312,search; RSS is search-process high-water mark
active-a,guarded,narrower-float32,new endpoint audit,0,135004160,audit process
active-a,guarded,narrower-float32,high precision,0,135004160,new endpoint audit
active-a,guarded,narrower-float32,boundary scan,0,135004160,audit process
active-a,guarded,wider-float32,search,0.494846875,1206157312,fit total
active-a,guarded,wider-float32,endpoint_audit,0.056471292,1206157312,fit total
active-a,guarded,wider-float32,search reference,0.21941171100000004,1206157312,search; RSS is search-process high-water mark
active-a,guarded,wider-float32,new endpoint audit,0,135004160,audit process
active-a,guarded,wider-float32,high precision,0,135004160,new endpoint audit
active-a,guarded,wider-float32,boundary scan,0,135004160,audit process
active-a,guarded,mixed-float32,search,0.416655125,1206157312,fit total
active-a,guarded,mixed-float32,endpoint_audit,0.056230208,1206157312,fit total
active-a,guarded,mixed-float32,search reference,0.188749248,1206157312,search; RSS is search-process high-water mark
active-a,guarded,mixed-float32,new endpoint audit,0,135004160,audit process
active-a,guarded,mixed-float32,high precision,0,135004160,new endpoint audit
active-a,guarded,mixed-float32,boundary scan,0,135004160,audit process
active-a,guarded-log,first-stage-double,search,0.425044958,1206157312,fit total
active-a,guarded-log,first-stage-double,endpoint_audit,0.057616708,1206157312,fit total
active-a,guarded-log,first-stage-double,search reference,0.18943712699999996,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,first-stage-double,new endpoint audit,20.125954958,135004160,audit process
active-a,guarded-log,first-stage-double,high precision,19.094963875,135004160,new endpoint audit
active-a,guarded-log,first-stage-double,boundary scan,112.316419708,135004160,audit process
active-a,guarded-log,narrower-double,search,0.433341333,1206157312,fit total
active-a,guarded-log,narrower-double,endpoint_audit,0.05756175,1206157312,fit total
active-a,guarded-log,narrower-double,search reference,0.19953995600000002,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,narrower-double,new endpoint audit,20.826609583,135004160,audit process
active-a,guarded-log,narrower-double,high precision,19.764208208,135004160,new endpoint audit
active-a,guarded-log,narrower-double,boundary scan,113.503551167,135004160,audit process
active-a,guarded-log,wider-double,search,0.446614666,1206157312,fit total
active-a,guarded-log,wider-double,endpoint_audit,0.057599375,1206157312,fit total
active-a,guarded-log,wider-double,search reference,0.20081537599999993,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,wider-double,new endpoint audit,20.016005625,135004160,audit process
active-a,guarded-log,wider-double,high precision,19.008376041,135004160,new endpoint audit
active-a,guarded-log,wider-double,boundary scan,110.284929334,135004160,audit process
active-a,guarded-log,mixed-double,search,0.43620175,1206157312,fit total
active-a,guarded-log,mixed-double,endpoint_audit,0.058009166,1206157312,fit total
active-a,guarded-log,mixed-double,search reference,0.193887747,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,mixed-double,new endpoint audit,20.374306625,135004160,audit process
active-a,guarded-log,mixed-double,high precision,19.303341667,135004160,new endpoint audit
active-a,guarded-log,mixed-double,boundary scan,111.016407875,135004160,audit process
active-a,guarded-log,first-stage-float32,search,0.543305916,1206157312,fit total
active-a,guarded-log,first-stage-float32,endpoint_audit,0.058006667,1206157312,fit total
active-a,guarded-log,first-stage-float32,search reference,0.24737499599999999,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,first-stage-float32,new endpoint audit,19.976317583,135004160,audit process
active-a,guarded-log,first-stage-float32,high precision,19.039279167,135004160,new endpoint audit
active-a,guarded-log,first-stage-float32,boundary scan,111.341168417,135004160,audit process
active-a,guarded-log,narrower-float32,search,0.5166995,1206157312,fit total
active-a,guarded-log,narrower-float32,endpoint_audit,0.056158542,1206157312,fit total
active-a,guarded-log,narrower-float32,search reference,0.23723708300000004,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,narrower-float32,new endpoint audit,20.585061167,135004160,audit process
active-a,guarded-log,narrower-float32,high precision,19.621947459,135004160,new endpoint audit
active-a,guarded-log,narrower-float32,boundary scan,113.071761625,135004160,audit process
active-a,guarded-log,wider-float32,search,0.6355595,1206157312,fit total
active-a,guarded-log,wider-float32,endpoint_audit,0.05670725,1206157312,fit total
active-a,guarded-log,wider-float32,search reference,0.284280919,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,wider-float32,new endpoint audit,20.350909792,135004160,audit process
active-a,guarded-log,wider-float32,high precision,19.419138417,135004160,new endpoint audit
active-a,guarded-log,wider-float32,boundary scan,110.166218291,135004160,audit process
active-a,guarded-log,mixed-float32,search,0.579357833,1206157312,fit total
active-a,guarded-log,mixed-float32,endpoint_audit,0.056345958,1206157312,fit total
active-a,guarded-log,mixed-float32,search reference,0.265149208,1206157312,search; RSS is search-process high-water mark
active-a,guarded-log,mixed-float32,new endpoint audit,23.497187167,135004160,audit process
active-a,guarded-log,mixed-float32,high precision,22.2599445,135004160,new endpoint audit
active-a,guarded-log,mixed-float32,boundary scan,114.384394209,135004160,audit process
zero-signal,legacy,first-stage-double,search,0.083301292,1206157312,fit total
zero-signal,legacy,first-stage-double,endpoint_audit,0.05750325,1206157312,fit total
zero-signal,legacy,first-stage-double,search reference,0.035987793,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,first-stage-double,new endpoint audit,0.926575459,998047744,audit process
zero-signal,legacy,first-stage-double,high precision,0,,new endpoint audit
zero-signal,legacy,narrower-double,search,0.096332875,1206157312,fit total
zero-signal,legacy,narrower-double,endpoint_audit,0.057982291,1206157312,fit total
zero-signal,legacy,narrower-double,search reference,0.04163262599999999,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,narrower-double,new endpoint audit,0.929260666,998047744,audit process
zero-signal,legacy,narrower-double,high precision,0,,new endpoint audit
zero-signal,legacy,wider-double,search,0.116148042,1206157312,fit total
zero-signal,legacy,wider-double,endpoint_audit,0.055833584,1206157312,fit total
zero-signal,legacy,wider-double,search reference,0.04749095899999999,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,wider-double,new endpoint audit,0.9260055,998047744,audit process
zero-signal,legacy,wider-double,high precision,0,,new endpoint audit
zero-signal,legacy,mixed-double,search,0.100746083,1206157312,fit total
zero-signal,legacy,mixed-double,endpoint_audit,0.057674583,1206157312,fit total
zero-signal,legacy,mixed-double,search reference,0.041377668,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,mixed-double,new endpoint audit,0.957584625,998047744,audit process
zero-signal,legacy,mixed-double,high precision,0,,new endpoint audit
zero-signal,legacy,first-stage-float32,search,0.24410225,1206157312,fit total
zero-signal,legacy,first-stage-float32,endpoint_audit,0.057405542,1206157312,fit total
zero-signal,legacy,first-stage-float32,search reference,0.12255745900000001,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,first-stage-float32,new endpoint audit,0.914509,998047744,audit process
zero-signal,legacy,first-stage-float32,high precision,0,,new endpoint audit
zero-signal,legacy,narrower-float32,search,0.312807166,1206157312,fit total
zero-signal,legacy,narrower-float32,endpoint_audit,0.056549542,1206157312,fit total
zero-signal,legacy,narrower-float32,search reference,0.15737003899999996,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,narrower-float32,new endpoint audit,0.90866875,998047744,audit process
zero-signal,legacy,narrower-float32,high precision,0,,new endpoint audit
zero-signal,legacy,wider-float32,search,0.363203291,1206157312,fit total
zero-signal,legacy,wider-float32,endpoint_audit,0.056091375,1206157312,fit total
zero-signal,legacy,wider-float32,search reference,0.17000746,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,wider-float32,new endpoint audit,0.909497708,998047744,audit process
zero-signal,legacy,wider-float32,high precision,0,,new endpoint audit
zero-signal,legacy,mixed-float32,search,0.393518333,1206157312,fit total
zero-signal,legacy,mixed-float32,endpoint_audit,0.056315334,1206157312,fit total
zero-signal,legacy,mixed-float32,search reference,0.18848933400000004,1206157312,search; RSS is search-process high-water mark
zero-signal,legacy,mixed-float32,new endpoint audit,0.900718958,998047744,audit process
zero-signal,legacy,mixed-float32,high precision,0,,new endpoint audit
zero-signal,guarded,first-stage-double,search,0.08450725,1206157312,fit total
zero-signal,guarded,first-stage-double,endpoint_audit,0.058277417,1206157312,fit total
zero-signal,guarded,first-stage-double,search reference,0.036089041,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,first-stage-double,new endpoint audit,0,998047744,audit process
zero-signal,guarded,first-stage-double,high precision,0,,new endpoint audit
zero-signal,guarded,narrower-double,search,0.096510167,1206157312,fit total
zero-signal,guarded,narrower-double,endpoint_audit,0.05703425,1206157312,fit total
zero-signal,guarded,narrower-double,search reference,0.041802792000000005,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,narrower-double,new endpoint audit,0,998047744,audit process
zero-signal,guarded,narrower-double,high precision,0,,new endpoint audit
zero-signal,guarded,wider-double,search,0.117559584,1206157312,fit total
zero-signal,guarded,wider-double,endpoint_audit,0.055771125,1206157312,fit total
zero-signal,guarded,wider-double,search reference,0.048313374,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,wider-double,new endpoint audit,0,998047744,audit process
zero-signal,guarded,wider-double,high precision,0,,new endpoint audit
zero-signal,guarded,mixed-double,search,0.10023875,1206157312,fit total
zero-signal,guarded,mixed-double,endpoint_audit,0.057776417,1206157312,fit total
zero-signal,guarded,mixed-double,search reference,0.04126075,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,mixed-double,new endpoint audit,0,998047744,audit process
zero-signal,guarded,mixed-double,high precision,0,,new endpoint audit
zero-signal,guarded,first-stage-float32,search,0.251549458,1206157312,fit total
zero-signal,guarded,first-stage-float32,endpoint_audit,0.06052575,1206157312,fit total
zero-signal,guarded,first-stage-float32,search reference,0.12800362299999998,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,first-stage-float32,new endpoint audit,0,998047744,audit process
zero-signal,guarded,first-stage-float32,high precision,0,,new endpoint audit
zero-signal,guarded,narrower-float32,search,0.315238334,1206157312,fit total
zero-signal,guarded,narrower-float32,endpoint_audit,0.0560405,1206157312,fit total
zero-signal,guarded,narrower-float32,search reference,0.15867283399999998,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,narrower-float32,new endpoint audit,0,998047744,audit process
zero-signal,guarded,narrower-float32,high precision,0,,new endpoint audit
zero-signal,guarded,wider-float32,search,0.363308583,1206157312,fit total
zero-signal,guarded,wider-float32,endpoint_audit,0.056386916,1206157312,fit total
zero-signal,guarded,wider-float32,search reference,0.17042599799999997,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,wider-float32,new endpoint audit,0,998047744,audit process
zero-signal,guarded,wider-float32,high precision,0,,new endpoint audit
zero-signal,guarded,mixed-float32,search,0.393361084,1206157312,fit total
zero-signal,guarded,mixed-float32,endpoint_audit,0.055892167,1206157312,fit total
zero-signal,guarded,mixed-float32,search reference,0.18779596299999998,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded,mixed-float32,new endpoint audit,0,998047744,audit process
zero-signal,guarded,mixed-float32,high precision,0,,new endpoint audit
zero-signal,guarded-log,first-stage-double,search,0.085647541,1206157312,fit total
zero-signal,guarded-log,first-stage-double,endpoint_audit,0.057531666,1206157312,fit total
zero-signal,guarded-log,first-stage-double,search reference,0.034999584,1206157312,search; RSS is search-process high-water mark
zero-signal,guarded-log,first-stage-double,new endpoint audit,0.925279125,998047744,audit process
