dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
heterogeneous-168,guarded,narrower-float32,search reference,11.816296126,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,narrower-float32,new endpoint audit,0,975765504,audit process
heterogeneous-168,guarded,narrower-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded,wider-float32,search,40.400873375,1201995776,fit total
heterogeneous-168,guarded,wider-float32,endpoint_audit,28.014819542,1201995776,fit total
heterogeneous-168,guarded,wider-float32,search reference,10.954197751,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,wider-float32,new endpoint audit,0,998047744,audit process
heterogeneous-168,guarded,wider-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded,mixed-float32,search,38.538292458,1201995776,fit total
heterogeneous-168,guarded,mixed-float32,endpoint_audit,27.859755,1201995776,fit total
heterogeneous-168,guarded,mixed-float32,search reference,10.103074791000001,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,mixed-float32,new endpoint audit,0,975765504,audit process
heterogeneous-168,guarded,mixed-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,first-stage-double,search,33.694569917,1201995776,fit total
heterogeneous-168,guarded-log,first-stage-double,endpoint_audit,28.289278416,1201995776,fit total
heterogeneous-168,guarded-log,first-stage-double,search reference,10.163779124,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,first-stage-double,new endpoint audit,0,883261440,audit process
heterogeneous-168,guarded-log,first-stage-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,narrower-double,search,40.892880583,1201995776,fit total
heterogeneous-168,guarded-log,narrower-double,endpoint_audit,27.334771541,1201995776,fit total
heterogeneous-168,guarded-log,narrower-double,search reference,12.10191375,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,narrower-double,new endpoint audit,10.634454083,998047744,audit process
heterogeneous-168,guarded-log,narrower-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,wider-double,search,39.385018667,1201995776,fit total
heterogeneous-168,guarded-log,wider-double,endpoint_audit,27.366964041,1201995776,fit total
heterogeneous-168,guarded-log,wider-double,search reference,11.584382627,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,wider-double,new endpoint audit,10.913891291,998047744,audit process
heterogeneous-168,guarded-log,wider-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,mixed-double,search,39.403722458,1201995776,fit total
heterogeneous-168,guarded-log,mixed-double,endpoint_audit,28.153032417,1201995776,fit total
heterogeneous-168,guarded-log,mixed-double,search reference,11.618811834999999,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,mixed-double,new endpoint audit,10.821109459,998047744,audit process
heterogeneous-168,guarded-log,mixed-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,first-stage-float32,search,34.657351167,1201995776,fit total
heterogeneous-168,guarded-log,first-stage-float32,endpoint_audit,27.629965875,1201995776,fit total
heterogeneous-168,guarded-log,first-stage-float32,search reference,10.339699417000002,1201995776,search; RSS is search-process high-water mark
