source,atom,precision_agreement,steps,valid_constrained_profiles,smallest_step_prediction_slope,first_order_prediction_norm,near_zero_rows,near_zero_first_order_max
datasets/active-a/guarded/audits/first-stage-double-boundary.json,2,True,21,21,1.8103241164193329,5.76496402121466099126360472338168261526899209620948382317715171749650801684136004617050914273017042462419886690113112801500000000e-08,1,2.06016913064574908371857007165972622563866489490231868696592829029882277602103920559358301596082599013331117839758034999000000000e-08
datasets/active-a/guarded/audits/first-stage-double-boundary.json,6,True,21,21,1.2499763505379156,6.66323018617316577821948686782739424874180115215987956610506836037260404166073006075870184942856292993646531715699273306490000000e-07,1,2.84129960370212362840959714503647442773168622687659619261645183153869678564017580099084368148581713212295286789005686893100000000e-07
datasets/active-a/guarded/audits/first-stage-double-boundary.json,10,True,21,21,1.3329874310629677,5.00702898254137998767310809518380076796281802188511959808116122910783714217810654305994218611855775875348377957259932837750000000e-07,1,1.52774226938365205318543537270915061388349697621953941172003789036774434933808880291001042705782404714278780571198278901270000000e-07
datasets/active-a/guarded/audits/first-stage-float32-boundary.json,2,True,21,21,1.0002297575396892,1.00244590461093348857388768171394528085266564596840171792850689608887273226132546974277155433990827220467565958238148679328936000e-03,1,3.58053504393731811467935155826951818796133781137078430065631581465540138552331693082740658912778323836369665359933672480013560000e-04
datasets/active-a/guarded/audits/first-stage-float32-boundary.json,6,True,21,21,1.0002718327890892,7.98811481246625013743433548959594564360834153488727448005798516917178497030236026098819012867284105943993652049160732767135450000e-04,1,3.40479776600325914887306876972805918280989766464172819064050412544195736949960774750280566347291629954562048830154350471668450000e-04
datasets/active-a/guarded/audits/first-stage-float32-boundary.json,10,True,21,21,1.862621474654544,4.15309383524061457515754041235736147426112433924295223077534216072575362940781091048250963057133691689934125566182591956600000000e-08,1,1.26719029392317032684229891187813901632048298986231899271812702141351978478428778006485050885606202235035276723358116006300000000e-08
datasets/active-a/guarded/audits/mixed-double-boundary.json,2,True,21,21,1.8033937681255927,6.02362515284336645914238806243682093110619590903815159694987656263793496884913825011351371279491430403418509585464312927400000000e-08,1,2.15260434109015763360529867213014438414505537228522047381477671124039825190193644654917001988206158118021733612982187624100000000e-08
datasets/active-a/guarded/audits/mixed-double-boundary.json,6,True,21,21,1.6810888406385547,1.07579494896184471692370389325891122446495448405922551931809773799315598144261158675198273274368624898943269523731966401170000000e-07,1,4.58734966281340828622990565740810558341259381961312959572875650418509460326658944087647111667347075477561777414007952880000000000e-08
datasets/active-a/guarded/audits/mixed-double-boundary.json,10,True,21,21,1.6783393200641343,1.21779197938205704953747640390032885520716850031644235000955839641310318419279762373313338014879535867514117689223009461610000000e-07,1,3.71572168983618449443477939859848273544640053833533184471929323568539938484767836268325819744095442902526761043450784658200000000e-08
datasets/active-a/guarded/audits/mixed-float32-boundary.json,2,True,21,21,1.0002297621128922,1.00242594995204680797982018640070694641475691531019745326370984387860877850155672461181229892095993760003932384845580854108500000e-03,1,3.58046380588220436299066784581526097127624410672028907592899028527553473556849149588302256212470171802020280470289197857800050000e-04
datasets/active-a/guarded/audits/mixed-float32-boundary.json,6,True,21,21,1.0002719068560328,7.98593853660460230120829684942502266290882661476836369998419521545055934014333272665024849464536730308653206171750682364669990000e-04,1,3.40387056126059129273435223520829963775320652087494785530393487039724235390424786094706510951893099238121649060390434829125020000e-04
datasets/active-a/guarded/audits/mixed-float32-boundary.json,10,True,21,21,1.7266421948111987,9.69889915903389620894914755847881118977835275540254157608655591677226787383406755359933954125804532929419500886471079170200000000e-08,1,2.95932406968175571001440985308392160280764862106490246763231047946813148049830627115931364936155764575020920981193341901000000000e-08
datasets/active-a/guarded/audits/narrower-double-boundary.json,2,True,21,21,1.6259130213085093,1.45009752139474662424166427804075767492910190439140385636830176581008577737175979326955160587468132308310291654254104013280000000e-07,1,5.18207226880895011727609779031242121729898003989560180292680464547140011543175535026810792889215674237170624296414928441500000000e-08
datasets/active-a/guarded/audits/narrower-double-boundary.json,6,True,21,21,1.5468021411540065,1.88423284596479560375825933886175907749502352844569839549176992196088973359959214192070681688611350116023244359985775750650000000e-07,1,8.03464874559634647250510531804980949341362953816059270643625201429111815356619042020769057077922760342867529114819882084600000000e-08
datasets/active-a/guarded/audits/narrower-double-boundary.json,10,True,21,21,1.8225254731258382,5.60736031991858612240230668160860826691477259173042054956856118454439447166365246458350490727395404266082150107058714286800000000e-08,1,1.71091544127444996471944393481282786113144689984601518161396874779318752753360405582375218921522446368766931196990737873100000000e-08
datasets/active-a/guarded/audits/narrower-float32-boundary.json,2,True,21,21,1.000229762237932,1.00242540436662570157128869752526467908350563687248669755999869332250568324032342434434482596942986044087599530252361125201992000e-03,1,3.58046185814476541607391951585950610440841388290094222026137550158371418852421166407373100028935171093276349003598644448946050000e-04
datasets/active-a/guarded/audits/narrower-float32-boundary.json,6,True,21,21,1.0002719068881591,7.98593759291282420884477549326600542309613126172422514511373081657494061131452712224278473895848769269442858422928959772859170000e-04,1,3.40387015919958413781002080277893217232856867908714464109472310453916312479132683960690101764032232857772366846754577461475960000e-04
datasets/active-a/guarded/audits/narrower-float32-boundary.json,10,True,21,21,1.999999943193607,9.44129938605734398931944631131990952753108918095778745935310414506249407876245480768659127325931000000000000000000000000100000000e-32,1,9.44129938605734398931944631131990952753108918095778745935310414506249407876245480768659127325931000000000000000000000000000000000e-32
datasets/active-a/guarded/audits/wider-double-boundary.json,2,True,21,21,1.93570497526535,1.71110092223795067076236797323804695552756987433116715176091826294723277400977349333998220642942057795500568496247950992700000000e-08,1,6.11479509403204577450333093110007284306528204510616401859171786904740431452639173272207598826088679608731043530349128670000000000e-09
datasets/active-a/guarded/audits/wider-double-boundary.json,6,True,21,21,1.6937664410220625,1.01518238703391097804761361341239091435924609781862208983394081986103934339361641030486969108612352707111298393846898216290000000e-07,1,4.32888869801045684344554250742831908048267022588393084591650884249516581875588635438828377104201813815282301906945171415300000000e-08
datasets/active-a/guarded/audits/wider-double-boundary.json,10,True,21,21,1.422058696548249,3.44691186562179990296704175350664816770160074064329470377438909514826943274784058340073858471430622545356141361884356455560000000e-07,1,1.05172016519716577382580325386474608463441231575353195335055345029660823618286592853152656102004410281697754453355175258980000000e-07
datasets/active-a/guarded/audits/wider-float32-boundary.json,2,True,21,21,1.000229762238253,1.00242540296562782338748877028264864970227602980923795527905891339208095151375034046748543526334807489970528253018065603432326000e-03,1,3.58046185314327364574909890663132347040193279417686913299644738646761777815948339704527602398276574186943760119359929652662960000e-04
datasets/active-a/guarded/audits/wider-float32-boundary.json,6,True,21,21,1.000271906889524,7.98593755282010955904505980441361977872613501624964643492721019194218236811863793749818639959812493942543201181876852584059740000e-04,1,3.40387014211804390290700952552802141714350469707013995387041285642048238919822856528716106491407595083315716434084280137698590000e-04
datasets/active-a/guarded/audits/wider-float32-boundary.json,10,True,21,21,1.2857700432347317,6.22372858287673636334871990846337822029887901366536511731295402677395318481901683253889307587374661916991594102208965684290000000e-07,1,1.89898099474583382039598535109662767786754411371866130607404531039294381452065510614863241703613196483351203240408887169050000000e-07
datasets/active-a/guarded-log/audits/first-stage-double-boundary.json,2,True,21,21,1.7420960613386889,8.51094695902015590958112627032184692675134780075860043865558545426914015481225991079169564698699723273118867981794477151500000000e-08,1,3.04147430762961231160434532234308173660808453036341249677498437728893402261639592898419167346300841149746836861758176330000000000e-08
datasets/active-a/guarded-log/audits/first-stage-double-boundary.json,6,True,21,21,1.4160647357065872,3.15838958610353644610539922777925315512893347039871874045317810394046415197576860083406393678868671776954158750597773413710000000e-07,1,1.34678414361835640335381997463687957985626309842171944184537075970196112070785333715292454512524612764525339169164138716220000000e-07
datasets/active-a/guarded-log/audits/first-stage-double-boundary.json,10,True,21,21,1.5390726205075331,2.17197674195206733980484982595964881440501361823312254012024724948737900662538886934354628877331028739212815283460538853450000000e-07,1,6.62712586256484632520701517695721478775116561718696244369525331395436125358968981918971534350086430480523257069057455349100000000e-08
datasets/active-a/guarded-log/audits/first-stage-float32-boundary.json,2,True,21,21,1.0002297611161697,1.00243029897138033089779406247650091178768560668784628746782946423827079991820582897113164988624576677230384636719267736077007000e-03,1,3.58047933186341966590791584767300947349448135504833954302271895257926036645478384986420175488218158442546285108371121983408130000e-04
