state_id,alpha,parameter,mode,qualified,below_0_01,n,bias,rmse,p99,max,total,missing,complete_population
baseline-best-28,0,A,input,,114,168,0.001960522278281442,0.011437689979958447,0.03479224057063934,0.039647580518550996,168,0,True
baseline-best-28,0,A,joint,True,115,168,0.0032321147390618993,0.011471953945420346,0.0412576166534393,0.05447414332796896,168,0,True
baseline-best-28,0,B,input,,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0,B,joint,True,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0,C,input,,168,168,-0.0001425363134443395,0.002004025190615797,0.006833558457712607,0.0068492784755526115,168,0,True
baseline-best-28,0,C,joint,True,168,168,-0.00011592513149176783,0.0006373286402054358,0.002014999069550938,0.0021717336579366586,168,0,True
baseline-best-28,0.1,A,input,,114,168,0.001960522278281442,0.011437689979958447,0.03479224057063934,0.039647580518550996,168,0,True
baseline-best-28,0.1,A,joint,True,115,168,0.0023467930369604614,0.00911389138078303,0.020679101607779415,0.02130607101253723,168,0,True
baseline-best-28,0.1,B,input,,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0.1,B,joint,True,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0.1,C,input,,168,168,-0.0001425363134443395,0.002004025190615797,0.006833558457712607,0.0068492784755526115,168,0,True
baseline-best-28,0.1,C,joint,True,168,168,-9.10373295212517e-05,0.0004931498828722383,0.0012656114348688075,0.0014519734819739005,168,0,True
baseline-best-28,0.5,A,input,,114,168,0.001960522278281442,0.011437689979958447,0.03479224057063934,0.039647580518550996,168,0,True
baseline-best-28,0.5,A,joint,False,159,168,-0.0008425235322847875,0.006622037650184608,0.027985507245785968,0.06113822178074546,168,0,True
baseline-best-28,0.5,B,input,,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0.5,B,joint,False,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,0.5,C,input,,168,168,-0.0001425363134443395,0.002004025190615797,0.006833558457712607,0.0068492784755526115,168,0,True
baseline-best-28,0.5,C,joint,False,168,168,-3.92981644099634e-05,0.00018292652486212824,0.0004399666134287106,0.0005168636873089105,168,0,True
baseline-best-28,1,A,input,,114,168,0.001960522278281442,0.011437689979958447,0.03479224057063934,0.039647580518550996,168,0,True
baseline-best-28,1,A,joint,False,146,168,-0.00126555385597913,0.007717477214569741,0.028933150279944364,0.04457632031967229,168,0,True
baseline-best-28,1,B,input,,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,1,B,joint,False,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
baseline-best-28,1,C,input,,168,168,-0.0001425363134443395,0.002004025190615797,0.006833558457712607,0.0068492784755526115,168,0,True
baseline-best-28,1,C,joint,False,168,168,-2.5534367133417827e-05,0.00011406691276322933,0.00025730174361127123,0.00029316126555289923,168,0,True
baseline-recovery-32,0,A,input,,114,168,0.001959360623826723,0.011436301698015364,0.03478820518805392,0.03963725086954106,168,0,True
baseline-recovery-32,0,A,joint,True,115,168,0.003231313833036981,0.011470651222517036,0.041251681703072585,0.05447114187997659,168,0,True
baseline-recovery-32,0,B,input,,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0,B,joint,True,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0,C,input,,168,168,-0.00014241448986427964,0.00200409115575487,0.0068332168200465615,0.006848880696822657,168,0,True
baseline-recovery-32,0,C,joint,True,168,168,-0.00011589382892785143,0.0006373117496747581,0.002014986903134286,0.0021716993191800427,168,0,True
baseline-recovery-32,0.1,A,input,,114,168,0.001959360623826723,0.011436301698015364,0.03478820518805392,0.03963725086954106,168,0,True
baseline-recovery-32,0.1,A,joint,True,115,168,0.0023458868619482807,0.009112308662487887,0.020677053200346407,0.021304043246713533,168,0,True
