state_id,alpha,qualified,reason,branch_sensitive,stationarity,objective,selected_seed,seconds,design_nonzeros,variance,primary_iterations,reference_iterations,grid_rmse,matched_sample_rmse,rank,condition,minimum_singular,effective_n,maximum_row_share,top_one_percent_share,underflow_count,design_rank,design_condition,design_minimum_singular
baseline-best-28,0.0,True,qualified,False,1.4479039207826553e-11,-5.92499633042285,0,58.373130875,5245432,4.179643365771161e-07,1,0,0.000646501613746715,0.0008753232574976484,336,15.659639140018426,0.15090811660656828,602995.0,1.658388543851939e-06,0.010000082919427193,0,336,15.659639140018022,0.1509081166065712
baseline-best-28,0.1,True,qualified,False,8.354484468184722e-09,-8.343080132389066,1,330.136912625,5245432,2.6435235017033484e-07,63,20,0.0009621801979988477,0.001502721493646335,336,15.656132148507137,0.15100857076929874,593079.7787307305,1.7569366202775428e-06,0.010594311054324096,0,336,15.659639140018022,0.1509081166065712
baseline-best-28,0.5,False,budget-exhausted,False,0.006341472479829624,-50.39715766337991,0,343.493097167,5245432,4.2610525990676104e-08,100,0,0.0027244032523244584,0.0041241973129191355,336,16.341210907227065,0.14719955874083432,456438.277152343,2.477209624375083e-06,0.014937366189211992,6265,336,15.659639140018022,0.1509081166065712
baseline-best-28,1.0,False,budget-exhausted,False,0.0013073019409845248,-956.9193509728384,0,356.768477125,5245432,2.6476431666842024e-08,100,0,0.002931887594041814,0.004459957635173195,336,15.443107475704782,0.1560651824739417,382450.48622881866,3.021262959566192e-06,0.018217735953195306,29065,336,15.659639140018022,0.1509081166065712
baseline-recovery-32,0.0,True,qualified,False,1.3677655058806213e-11,-5.925067339410619,0,55.749925292,5245432,4.1790498234297224e-07,1,0,0.0006464557079514226,0.0008752593749620642,336,15.659639160179747,0.15090811660585937,602995.0,1.658388543851939e-06,0.010000082919427193,0,336,15.659639160179914,0.15090811660585945
baseline-recovery-32,0.1,True,qualified,False,9.517774790807789e-09,-8.343247164444888,1,330.228097958,5245432,2.6429397187086845e-07,63,20,0.0009621996069364909,0.0015027564298989906,336,15.656133001453037,0.15100859817549112,593078.6644586688,1.7569397109890498e-06,0.010594329831142077,0,336,15.659639160179914,0.15090811660585945
baseline-recovery-32,0.5,False,budget-exhausted,False,0.006328143611959613,-50.39917712850001,0,351.558175583,5245432,4.259800708314191e-08,100,0,0.0027241250631699306,0.004123776715073148,336,16.340924282187565,0.14720079639381367,456426.44734406576,2.4772609602759725e-06,0.014937675271741302,6272,336,15.659639160179914,0.15090811660585945
baseline-recovery-32,1.0,False,budget-exhausted,False,0.0013062872144620128,-956.9988685944621,0,345.556837125,5245432,2.6473591280787913e-08,100,0,0.002931317101803998,0.004459120274896242,336,15.442632578180007,0.15606692540267514,382455.21468333824,3.021231385132788e-06,0.018217546010812453,29053,336,15.659639160179914,0.15090811660585945
failed-only-best-6,0.0,True,qualified,False,1.5567045197920424e-11,-5.993888637770337,1,59.082046875,5245432,3.641666144796777e-07,0,0,0.0006034621897680699,0.0008164071206380234,336,15.659722861780406,0.1509084626844997,602995.0,1.658388543851939e-06,0.010000082919427193,0,336,15.65972286178042,0.1509084626844997
