state_id,alpha,serial_id,qualified,A,truth_A,input_A,error_A,B,truth_B,input_B,error_B,C,truth_C,input_C,error_C
baseline-best-28,0,1,True,7.02193029266171,7.0,7.014983454261828,0.021930292661710205,0.5006700895866601,0.5,0.5006700895866601,0.0006700895866601497,-0.5924569879603302,-0.592,-0.5930831725930814,-0.00045698796033022404
baseline-best-28,0,2,True,5.994490391825485,6.0,5.9911146565021225,-0.005509608174515179,0.49973866680794166,0.5,0.49973866680794166,-0.00026133319205834393,0.2428943119657146,0.244,0.24515494342880295,-0.0011056880342854014
baseline-best-28,0,3,True,6.033325537473295,6.0,6.018750736346137,0.03332553747329481,0.5010547590387352,0.5,0.5010547590387352,0.001054759038735198,0.5587366589625915,0.559,0.5615401618309154,-0.00026334103740854875
baseline-best-28,0,4,True,7.993086588194563,8.0,8.000017983317747,-0.006913411805436809,0.4998623423840209,0.5,0.4998623423840209,-0.0001376576159791143,-0.6648616375052454,-0.665,-0.6675525948377169,0.00013836249475462914
baseline-best-28,0,5,True,6.012757989901904,6.0,6.020044223588184,0.012757989901904132,0.5004618081522624,0.5,0.5004618081522624,0.00046180815226237737,-0.27358337778793496,-0.274,-0.27592169482640605,0.00041662221206506533
baseline-best-28,0,6,True,6.009566610389118,6.0,6.014140818106266,0.009566610389118324,0.5002793496992273,0.5,0.5002793496992273,0.0002793496992272715,0.07232023815083369,0.073,0.07241739042966526,-0.0006797618491663077
baseline-best-28,0,7,True,16.006891205905657,16.0,16.004920537409042,0.006891205905656506,0.5000584211641425,0.5,0.5000584211641425,5.8421164142452575e-05,-0.1415843941598694,-0.141,-0.1410880220852972,-0.0005843941598694113
baseline-best-28,0,8,True,6.002933240302075,6.0,6.00324317981215,0.0029332403020747577,0.5001007016307941,0.5,0.5001007016307941,0.00010070163079411998,-0.06986845215283582,-0.07,-0.07018134995555728,0.00013154784716418177
baseline-best-28,0,9,True,7.012073723015502,7.0,7.0163979412176385,0.012073723015501692,0.5004557912719491,0.5,0.5004557912719491,0.00045579127194905755,-0.5899938330522282,-0.589,-0.5917472431261869,-0.0009938330522282213
baseline-best-28,0,10,True,5.992256294211545,6.0,5.991432004078723,-0.007743705788454847,0.49971507655631664,0.5,0.49971507655631664,-0.0002849234436833603,0.2353214012672383,0.235,0.23614193964111108,0.00032140126723831375
baseline-best-28,0,11,True,6.0056418557691975,6.0,6.007855572415117,0.005641855769197512,0.5001919524017013,0.5,0.5001919524017013,0.0001919524017013341,0.5588775065744014,0.559,0.5600298444661562,-0.00012249342559866871
baseline-best-28,0,12,True,8.002442900536362,8.0,8.002095805827139,0.0024429005363622025,0.5000695910924838,0.5,0.5000695910924838,6.959109248383388e-05,-0.6560760270510043,-0.656,-0.6565552178636033,-7.602705100429041e-05
baseline-best-28,0,13,True,5.991874166444722,6.0,5.992402145543509,-0.00812583355527785,0.49973767969807315,0.5,0.49973767969807315,-0.00026232030192685496,-0.1550991924589728,-0.156,-0.1558177907235096,0.0009008075410271987
baseline-best-28,0,14,True,6.009049781278308,6.0,6.008579772181128,0.009049781278307911,0.5003433251834623,0.5,0.5003433251834623,0.0003433251834622508,0.00651381950329384,0.007,0.006249303535987528,-0.00048618049670615983
baseline-best-28,0,15,True,6.006617851685251,6.0,6.004883154460864,0.006617851685250642,0.5002282548410959,0.5,0.5002282548410959,0.00022825484109589844,-0.20423401727934534,-0.204,-0.20415580891952737,-0.00023401727934535543
baseline-best-28,0,16,True,6.009782275740141,6.0,6.006806121791227,0.009782275740141344,0.5003124298826342,0.5,0.5003124298826342,0.0003124298826342464,-0.20579750340080363,-0.205,-0.20483740713516602,-0.0007975034008036452
baseline-best-28,0,17,True,6.0038716011194015,6.0,6.003412188510764,0.0038716011194015465,0.5001161001708639,0.5,0.5001161001708639,0.00011610017086394198,-0.17730038259372746,-0.177,-0.17748371439361021,-0.0003003825937274718
baseline-best-28,0,18,True,6.001415922016553,6.0,6.003161455030835,0.0014159220165526065,0.5000337406215977,0.5,0.5000337406215977,3.3740621597666554e-05,-0.1788758588583906,-0.179,-0.17961841650639468,0.00012414114160938516
baseline-best-28,0,19,True,6.0043135364794615,6.0,6.005784928528115,0.004313536479461533,0.5001486479475465,0.5,0.5001486479475465,0.00014864794754654298,-0.18204064275542264,-0.182,-0.1817884143057506,-4.06427554226485e-05
baseline-best-28,0,20,True,7.013591686178411,7.0,7.002774916227775,0.013591686178410889,0.5004411766584764,0.5,0.5004411766584764,0.0004411766584764276,-0.590783187356487,-0.59,-0.5922422527389682,-0.0007831873564870806
baseline-best-28,0,21,True,6.009423297003109,6.0,6.00191231796303,0.009423297003109177,0.5002906388560376,0.5,0.5002906388560376,0.0002906388560376394,0.2395306337932812,0.24,0.23952245717827536,-0.0004693662067187798
baseline-best-28,0,22,True,5.9964517683998,6.0,5.984881625455935,-0.0035482316001997916,0.49987146340634914,0.5,0.49987146340634914,-0.00012853659365086312,0.5576170787815402,0.558,0.5630537607707612,-0.00038292121845984184
baseline-best-28,0,23,True,7.990360496318984,8.0,7.991642808845202,-0.00963950368101596,0.4997648204881326,0.5,0.4997648204881326,-0.0002351795118674116,-0.6569167364181796,-0.658,-0.6592100995526017,0.0010832635818204261
baseline-best-28,0,24,True,5.993181295560526,6.0,6.00271250119292,-0.006818704439473855,0.4997446284199284,0.5,0.4997446284199284,-0.0002553715800716061,-0.2146833438450447,-0.215,-0.21637781486550667,0.0003166561549552971
