dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-weak,mixed-double,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.230050916,0.58094075,0.23541541600000004,0.2326055,46.8960715,44.305746042,212533248
regular-weak,mixed-double,assembled,24,14902,sum-of-components,18,16,18,13,103,0,13,1,0,0,0.219386958,0,0,0.248546125,46.858153292,44.278661958,220839936
regular-weak,mixed-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.076341375,0.12848675,0.054743667999999995,0.0739145,1.215190541,0.194176416,221036544
regular-weak,mixed-double,01:weak-1e-4:1,12,7451,this-search,11,10,11,13,103,1,13,1,0,0,0.084012917,0.201261417,0.08134120999999998,0.06281425,1.260998959,0.203051584,221184000
regular-weak,first-stage-float32,monolithic,24,14902,this-search,8,6,9,13,103,0,13,1,0,0,0.2189595,0.50764675,0.238551919,0.223783333,46.883083375,44.342205875,212893696
regular-weak,first-stage-float32,assembled,24,14902,sum-of-components,14,10,15,13,103,0,13,1,0,0,0.200171,0,0,0.2314005,47.057858709,44.439014708,214351872
regular-weak,first-stage-float32,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.074194958,0.107386709,0.04605325,0.076529166,1.184990667,0.190867334,214646784
regular-weak,first-stage-float32,01:weak-1e-4:1,12,7451,this-search,8,6,9,13,103,1,13,1,0,0,0.080480125,0.167741125,0.070673999,0.084969042,1.275757167,0.214807541,214810624
regular-weak,narrower-float32,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.229211334,0.585544416,0.254801333,0.240774583,47.067264416,44.501658875,207028224
regular-weak,narrower-float32,assembled,24,14902,sum-of-components,17,13,17,13,103,0,13,1,0,0,0.213113958,0,0,0.240451958,47.153131375,44.458246334,208617472
regular-weak,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,103,1,13,1,0,0,0.078753584,0.13532125,0.059372041,0.078894166,1.224621958,0.195349,208846848
regular-weak,narrower-float32,01:weak-1e-4:1,12,7451,this-search,10,8,10,13,103,1,13,1,0,0,0.080271792,0.175258416,0.069474332,0.072507459,1.241920166,0.206532334,208961536
regular-weak,wider-float32,monolithic,24,14902,this-search,11,9,11,13,103,0,13,1,0,0,0.236664125,0.666004584,0.274130711,0.20761475,47.3056035,44.700584625,201572352
regular-weak,wider-float32,assembled,24,14902,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.206824917,0,0,0.235074209,47.086747875,44.589226125,207224832
regular-weak,wider-float32,00:baseline:1,12,7451,this-search,8,6,8,13,103,1,13,1,0,0,0.069022583,0.143893083,0.055551248,0.073508667,1.254001875,0.192645959,207716352
regular-weak,wider-float32,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.090795334,0.224025,0.096858583,0.090311042,1.283007917,0.225015167,208502784
regular-weak,mixed-float32,monolithic,24,14902,this-search,10,8,11,13,103,0,13,1,0,0,0.210787791,0.616404958,0.2888265830000001,0.239488458,47.527964917,44.912637708,192610304
regular-weak,mixed-float32,assembled,24,14902,sum-of-components,18,15,18,13,103,0,13,1,0,0,0.188278458,0,0,0.250430584,47.112146,44.48027075,215613440
regular-weak,mixed-float32,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.073436333,0.12920275,0.052757707,0.0639885,1.266441917,0.201753292,217628672
regular-weak,mixed-float32,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.080501334,0.217045625,0.08565583400000001,0.073639292,1.28501225,0.215947417,218480640
regular-zero,first-stage-double,monolithic,24,14902,this-search,6,5,6,13,103,0,13,1,0,0,0.238324209,0.363190541,0.15576141599999999,0.245096833,47.488279166,44.753038666,209616896
regular-zero,first-stage-double,assembled,24,14902,sum-of-components,12,8,12,13,103,0,13,1,0,0,0.22871225,0,0,0.242613291,48.257255959,45.3862385,222855168
regular-zero,first-stage-double,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.08972825,0.101436291,0.044148916,0.076490375,1.197704125,0.199419542,224444416
regular-zero,first-stage-double,01:zero-signal:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.09241925,0.111707833,0.052076374,0.075021834,1.441717167,0.240238375,225542144
regular-zero,narrower-double,monolithic,24,14902,this-search,7,6,7,13,103,0,13,0,0,0,0.234807708,0.5113205,0.228030918,0.235761792,2.778771166,0,90521600
regular-zero,narrower-double,assembled,24,14902,sum-of-components,14,11,14,13,103,0,13,0,0,0,0.226591333,0,0,0.246175833,2.838343417,0,89587712
regular-zero,narrower-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.073381709,0.132466,0.054993416999999996,0.079075333,0.014320459,0,90554368
regular-zero,narrower-double,01:zero-signal:1,12,7451,this-search,7,6,7,13,103,1,13,0,0,0,0.074181625,0.130111167,0.06269437500000001,0.079144667,1.150269167,0,90554368
regular-zero,wider-double,monolithic,24,14902,this-search,8,6,8,13,103,0,13,0,0,0,0.238997125,0.519952459,0.218412874,0.226825875,2.845814458,0,90570752
regular-zero,wider-double,assembled,24,14902,sum-of-components,16,14,16,13,103,0,13,0,0,0,0.214581833,0,0,0.263010333,2.865470333,0,87031808
regular-zero,wider-double,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.086433125,0.150423042,0.074924959,0.064963917,0.020850541,0,90587136
regular-zero,wider-double,01:zero-signal:1,12,7451,this-search,8,7,8,13,103,1,13,0,0,0,0.080992791,0.1582035,0.07097987300000001,0.076406,1.161757583,0,90587136
regular-zero,mixed-double,monolithic,24,14902,this-search,7,5,7,13,103,0,13,0,0,0,0.226589084,0.405635084,0.16564279199999998,0.237274292,2.846966083,0,90603520
regular-zero,mixed-double,assembled,24,14902,sum-of-components,14,11,14,13,103,0,13,0,0,0,0.2297565,0,0,0.249618917,2.929759583,0,93519872
regular-zero,mixed-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.0590035,0.12764575,0.05656729,0.080042334,0.022212083,0,93782016
regular-zero,mixed-double,01:zero-signal:1,12,7451,this-search,7,6,7,13,103,1,13,0,0,0,0.078372083,0.12215825,0.05186795799999999,0.080593042,1.119233833,0,93814784
regular-zero,first-stage-float32,monolithic,24,14902,this-search,19,10,20,13,103,0,13,1,0,0,0.213446,0.967489208,0.507648749,0.237494917,49.247003709,46.6436555,198279168
regular-zero,first-stage-float32,assembled,24,14902,sum-of-components,22,11,23,13,103,0,13,1,0,0,0.21228,0,0,0.247478708,47.708608458,45.047716916,205586432
regular-zero,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.071617334,0.110895916,0.041761457,0.07451225,1.212758709,0.175712833,206569472
regular-zero,first-stage-float32,01:zero-signal:1,12,7451,this-search,16,6,17,13,103,1,13,1,0,0,0.07303175,0.281413958,0.137453668,0.083073792,1.404104042,0.216253417,207421440
regular-zero,narrower-float32,monolithic,24,14902,this-search,26,14,27,13,103,0,13,0,0,0,0.226852834,1.374040084,0.6931112909999998,0.242487583,2.638920833,0,91209728
regular-zero,narrower-float32,assembled,24,14902,sum-of-components,34,19,36,13,103,0,13,0,0,0,0.218169291,0,0,0.246927125,2.835126875,0,91570176
regular-zero,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.085743666,0.137551958,0.062355706999999996,0.082619416,0.019858792,0,91848704
regular-zero,narrower-float32,01:zero-signal:1,12,7451,this-search,27,14,29,13,103,1,13,0,0,0,0.064614875,0.47453075,0.24123712600000002,0.07483725,1.096730709,0,92094464
regular-zero,wider-float32,monolithic,24,14902,this-search,23,11,24,13,103,0,13,0,0,0,0.232761916,1.143317166,0.615712667,0.232390125,2.976549917,0,91652096
regular-zero,wider-float32,assembled,24,14902,sum-of-components,35,23,35,13,103,0,13,0,0,0,0.224826875,0,0,0.246861875,2.8858745,0,90849280
