dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-three,wider-float32,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.083246083,0.170733084,0.077604834,0.078564125,0.019627334,0,156205056
regular-three,mixed-float32,monolithic,36,22145,this-search,10,9,10,13,1,0,13,0,0,0,0.534214875,1.362300958,0.610086293,0.534148125,0.135973084,0,156205056
regular-three,mixed-float32,assembled,36,22145,sum-of-components,24,18,24,13,1,0,13,0,0,0,0.478605,0,0,0.557895458,0.093084458,0,123420672
regular-three,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.076801334,0.121174834,0.05706621,0.084580958,0.019034,0,156205056
regular-three,mixed-float32,01:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.074689833,0.139342458,0.074575583,0.069583292,0.023804875,0,156205056
regular-three,mixed-float32,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.075544542,0.180468,0.08630720900000001,0.072782084,0.020228083,0,156205056
regular-two,first-stage-double,monolithic,24,14902,this-search,9,7,9,13,103,0,13,1,0,0,0.226229958,0.499512084,0.20654675,0.22552475,46.719212167,44.223066375,202850304
regular-two,first-stage-double,assembled,24,14902,sum-of-components,23,19,23,13,103,0,13,1,0,0,0.221371709,0,0,0.23846825,46.966374625,44.522051834,226738176
regular-two,first-stage-double,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.064721917,0.115330625,0.038402001,0.069504,1.236123417,0.215466625,227229696
regular-two,first-stage-double,01:weak-1e-2:1,12,7451,this-search,17,15,17,13,103,1,13,1,0,0,0.075862417,0.293846791,0.122747293,0.075797834,1.171850875,0.207771833,227360768
regular-two,narrower-double,monolithic,24,14902,this-search,8,7,8,13,1,0,13,0,0,0,0.209086333,0.434313958,0.195985043,0.206161125,0.0567915,0,95748096
regular-two,narrower-double,assembled,24,14902,sum-of-components,15,12,15,13,1,0,13,0,0,0,0.24344625,0,0,0.226717,0.052520042,0,76414976
regular-two,narrower-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.078126291,0.106532166,0.04979212399999999,0.076285625,0.015088584,0,95748096
regular-two,narrower-double,01:weak-1e-2:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.070889333,0.14917525,0.061229916,0.069373458,0.018939334,0,95748096
