dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
near-0.10,mixed-double,True,True,True,none,True,False,True,False,True,1.7616339194323576e-27,4.9317220202702265e-16,1.6653345369377348e-16,9.820086652373215e-17,1.9884102426380338e-16,10,8,-7.401486830834377e-16,4.905125646631375e-15,1.0658141036401503e-14,1.0658141036401503e-14,12,1.3877787807814457e-17,3.583229404124382e-17,5.551115123125783e-17,5.551115123125783e-17,12,-4.625929269271485e-18,2.4643658598716796e-16,5.273559366969494e-16,5.273559366969494e-16,12
near-0.10,first-stage-float32,True,True,True,none,True,False,False,True,True,6.211964656679018e-12,2.928567547264124e-08,2.7755575615628914e-16,1.047697821050464e-16,1.7763702903761403e-16,7,6,2.0718502913297243e-08,9.729699186703318e-08,2.0963388980277387e-07,2.0963388980277387e-07,12,5.496102924625509e-10,6.181799004691132e-09,1.5413248566353843e-08,1.5413248566353843e-08,12,-3.6616794318877766e-10,1.938462776597525e-09,5.238152578357358e-09,5.238152578357358e-09,12
near-0.10,narrower-float32,True,True,True,none,True,False,False,True,True,6.21196465544646e-12,2.9285675469735853e-08,2.220446049250313e-16,9.188615531470266e-17,2.225341128361921e-16,12,11,2.0718505577832502e-08,9.729699584702607e-08,2.0963390134909332e-07,2.0963390134909332e-07,12,5.496102924625509e-10,6.181799067253942e-09,1.5413248677376146e-08,1.5413248677376146e-08,12,-3.6616802414253985e-10,1.938462708430878e-09,5.23815268937966e-09,5.23815268937966e-09,12
near-0.10,wider-float32,True,True,True,none,True,False,False,True,True,6.211964655967781e-12,2.9285675470964712e-08,2.914335439641036e-16,1.049989075541092e-16,3.3267488213644507e-16,10,8,2.07185039495054e-08,9.72969915135435e-08,2.0963388447370335e-07,2.0963388447370335e-07,12,5.496102878366216e-10,6.181798938754043e-09,1.5413248344309238e-08,1.5413248344309238e-08,12,-3.6616799638696424e-10,1.9384627863418336e-09,5.238152661624085e-09,5.238152661624085e-09,12
near-0.10,mixed-float32,True,True,True,none,True,False,False,True,True,6.2119646540928165e-12,2.9285675466545043e-08,2.7755575615628914e-16,1.1348058730365751e-16,3.348205962062713e-16,10,8,2.0718504023520268e-08,9.729699214133492e-08,2.0963388891459545e-07,2.0963388891459545e-07,12,5.496103017144094e-10,6.181799027093007e-09,1.5413248566353843e-08,1.5413248566353843e-08,12,-3.6616794318877766e-10,1.9384628075898648e-09,5.238152633868509e-09,5.238152633868509e-09,12
near-0.02,first-stage-double,True,True,False,derivative-unverified,True,False,True,False,True,1.384133339444469e-27,4.3714923445949504e-16,2.220446049250313e-16,1.0165445514708834e-16,1.263484832234875e-15,10,9,-7.401486830834377e-16,6.290828409564787e-15,1.4210854715202004e-14,1.4210854715202004e-14,12,-1.3877787807814457e-17,6.206335383118183e-17,1.6653345369377348e-16,1.6653345369377348e-16,12,5.551115123125783e-17,1.9262982703065677e-16,4.718447854656915e-16,4.718447854656915e-16,12
near-0.02,narrower-double,True,True,False,inner-solve,,False,False,False,False,0.2063440874450564,0.00533748628377613,1.6893306198362268e-11,0.0004981693334079944,,5,3,3.2063873519856416e+17,1.1107251604770729e+18,3.84766482238277e+18,3.84766482238277e+18,6,487.6323382934257,1689.208611910001,5851.590280821143,5851.590280821143,11,-745047636.2040423,2580920719.9416814,8940571634.492476,8940571634.492476,10
near-0.02,wider-double,True,True,False,derivative-unverified,True,False,True,False,True,1.3775392181569793e-27,4.361066844229696e-16,1.6653345369377348e-16,7.813647014866623e-17,1.1479383538657294e-16,20,18,-1.1102230246251565e-15,1.3000517256771047e-14,3.108624468950438e-14,3.108624468950438e-14,12,9.25185853854297e-18,1.827095665330967e-16,4.440892098500626e-16,4.440892098500626e-16,12,3.932039878880763e-17,2.337353476814848e-16,4.163336342344337e-16,4.163336342344337e-16,12
near-0.02,mixed-double,True,True,False,derivative-unverified,True,False,True,False,True,2.4261864784671468e-27,5.787657816156998e-16,3.3306690738754696e-16,1.387407869748036e-16,1.1773420058017893e-15,12,11,-5.921189464667501e-16,4.021398830883446e-15,8.881784197001252e-15,8.881784197001252e-15,12,9.25185853854297e-18,3.065703529144609e-16,7.771561172376096e-16,7.771561172376096e-16,12,9.251858538542972e-17,2.5438405243138006e-16,7.216449660063518e-16,7.216449660063518e-16,12
near-0.02,first-stage-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.002458958099899e-12,2.8787593201085478e-08,3.608224830031759e-16,7.309019908176646e-17,1.197372186666958e-15,10,9,3.8900277073613175e-08,7.878539579340535e-07,2.052908328664671e-06,2.052908328664671e-06,12,-2.053032790068817e-10,3.861345720764146e-08,9.677942425234676e-08,9.677942425234676e-08,12,-2.3079969185824112e-10,3.2032485985034392e-09,7.127490597724773e-09,7.127490597724773e-09,12
near-0.02,narrower-float32,True,True,False,inner-solve,,False,False,False,False,0.20634399500768405,0.005337485088240876,5.6421409211360185e-11,0.0004981691991391053,,5,3,3.206370135597742e+17,1.11071919654536e+18,3.8476441627172905e+18,3.8476441627172905e+18,6,487.6317968842241,1689.206736413437,5851.583783910467,5851.583783910467,11,-745045290.0196706,2580912592.5206103,8940543480.280016,8940543480.280016,10
near-0.02,wider-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.002458956714388e-12,2.8787593197763048e-08,2.7755575615628914e-16,1.2358587795591605e-16,7.084769477792825e-13,20,17,3.8900357749819627e-08,7.878591477037903e-07,2.052921487027959e-06,2.052921487027959e-06,12,-2.0530328363281095e-10,3.861360221663075e-08,9.677978074495996e-08,9.677978074495996e-08,12,-2.3079993009359848e-10,3.203249272464455e-09,7.127493983904998e-09,7.127493983904998e-09,12
near-0.02,mixed-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.002458958025575e-12,2.878759320090725e-08,1.942890293094024e-16,6.679935943415535e-17,8.887627361131984e-14,12,10,3.890028773175421e-08,7.878546294281331e-07,2.052910024197274e-06,2.052910024197274e-06,12,-2.0530329751059875e-10,3.861347574175306e-08,9.677946988251307e-08,9.677946988251307e-08,12,-2.3079975662125088e-10,3.2032484737581045e-09,7.12749004261326e-09,7.12749004261326e-09,12
duplicate,first-stage-double,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,narrower-double,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,wider-double,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,mixed-double,True,True,False,derivative-unverified,False,True,,,True,1.917549547163144e-27,5.145339724214558e-16,1.8735013540549517e-16,6.421315401127136e-17,3.7911072245103997e-16,16,8,1.0288066694859784e-14,2.449489742783181,6.000000000000066,6.000000000000066,10,0.024522753472414713,0.0849493099114167,0.2942730416689763,0.2942730416689763,11,7.632783294297951e-17,0.08164965809279459,0.2000000000000541,0.2000000000000541,10
duplicate,first-stage-float32,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,narrower-float32,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,wider-float32,True,True,False,inner-solve,,True,,,,,,,,,,,,,,,,,,,,,,,,,
duplicate,mixed-float32,True,True,False,derivative-unverified,False,True,,,True,5.94965761691359e-12,2.866069678315166e-08,1.942890293094024e-16,3.0069889305090442e-15,7.372166739249822e-14,32,19,4.170850701849342e-09,2.449489759234373,6.0000000805940665,6.0000000805940665,10,24.573611722247566,85.12548805814244,294.8833406716009,294.8833406716009,11,2.3657464702740252e-07,0.08165024349621186,0.20000285211518212,0.20000285211518212,10
